category,fiscal_month,amount
general,1,1535.8
grants_revenue,1,1120.3
community_development,1,-2.1
vehicle_rental_tax,1,8.2
hospital_assessment_fund,1,22.2
housing_trust_fund,1,84.7
budget_stabilization_fund,1,0.0
other_funds,1,14.7
total_operating_funds,1,2783.9
capital_improvement,1,350.9
industrial_and_commercial_dev,1,10.2
total_capital_funds,1,361.1
total_fund_equity,1,3145.0
general,2,1584.6
grants_revenue,2,1312.8
community_development,2,-7.9
vehicle_rental_tax,2,9.0
hospital_assessment_fund,2,21.4
housing_trust_fund,2,114.0
budget_stabilization_fund,2,0.0
other_funds,2,14.5
total_operating_funds,2,3048.3
capital_improvement,2,339.5
industrial_and_commercial_dev,2,10.3
total_capital_funds,2,349.8
total_fund_equity,2,3398.2
general,3,1433.0
grants_revenue,3,1414.4
community_development,3,-12.7
vehicle_rental_tax,3,2.7
hospital_assessment_fund,3,31.1
housing_trust_fund,3,113.2
budget_stabilization_fund,3,40.1
other_funds,3,15.3
total_operating_funds,3,3037.1
capital_improvement,3,326.3
industrial_and_commercial_dev,3,10.3
total_capital_funds,3,336.6
total_fund_equity,3,3373.7
general,4,1491.5
grants_revenue,4,1412.7
community_development,4,-12.4
vehicle_rental_tax,4,3.3
hospital_assessment_fund,4,23.0
housing_trust_fund,4,104.5
budget_stabilization_fund,4,40.1
other_funds,4,14.8
total_operating_funds,4,3077.5
capital_improvement,4,326.8
industrial_and_commercial_dev,4,10.3
total_capital_funds,4,337.0
total_fund_equity,4,3414.5
general,5,1472.4
grants_revenue,5,1287.8
community_development,5,-10.3
vehicle_rental_tax,5,3.9
hospital_assessment_fund,5,22.1
housing_trust_fund,5,103.5
budget_stabilization_fund,5,40.1
other_funds,5,15.1
total_operating_funds,5,2934.8
capital_improvement,5,319.6
industrial_and_commercial_dev,5,10.3
total_capital_funds,5,329.9
total_fund_equity,5,3264.7
general,6,1067.6
grants_revenue,6,1282.2
community_development,6,-30.5
vehicle_rental_tax,6,4.5
hospital_assessment_fund,6,34.8
housing_trust_fund,6,101.9
budget_stabilization_fund,6,40.1
other_funds,6,15.2
total_operating_funds,6,2515.9
capital_improvement,6,366.8
industrial_and_commercial_dev,6,10.4
total_capital_funds,6,377.1
total_fund_equity,6,2893.1
general,7,1085.2
grants_revenue,7,1234.2
community_development,7,-31.6
vehicle_rental_tax,7,5.0
hospital_assessment_fund,7,19.3
housing_trust_fund,7,100.7
budget_stabilization_fund,7,40.1
other_funds,7,14.9
total_operating_funds,7,2467.9
capital_improvement,7,434.1
industrial_and_commercial_dev,7,10.4
total_capital_funds,7,444.5
total_fund_equity,7,2912.3
general,8,1080.9
grants_revenue,8,1234.7
community_development,8,-3.0
vehicle_rental_tax,8,5.0
hospital_assessment_fund,8,18.4
housing_trust_fund,8,87.5
budget_stabilization_fund,8,40.1
other_funds,8,11.3
total_operating_funds,8,2474.8
capital_improvement,8,419.1
industrial_and_commercial_dev,8,10.4
total_capital_funds,8,429.5
total_fund_equity,8,2904.3
general,9,1107.0
grants_revenue,9,859.7
community_development,9,-2.0
vehicle_rental_tax,9,5.4
hospital_assessment_fund,9,25.1
housing_trust_fund,9,85.4
budget_stabilization_fund,9,40.1
other_funds,9,11.1
total_operating_funds,9,2131.8
capital_improvement,9,404.1
industrial_and_commercial_dev,9,10.4
total_capital_funds,9,414.5
total_fund_equity,9,2546.2
general,10,1560.8
grants_revenue,10,984.7
community_development,10,3.0
vehicle_rental_tax,10,5.7
hospital_assessment_fund,10,19.8
housing_trust_fund,10,83.3
budget_stabilization_fund,10,40.1
other_funds,10,11.0
total_operating_funds,10,2708.4
capital_improvement,10,389.1
industrial_and_commercial_dev,10,10.4
total_capital_funds,10,399.5
total_fund_equity,10,3107.9
general,11,1541.2
grants_revenue,11,931.3
community_development,11,2.5
vehicle_rental_tax,11,6.1
hospital_assessment_fund,11,47.2
housing_trust_fund,11,81.2
budget_stabilization_fund,11,40.1
other_funds,11,10.8
total_operating_funds,11,2660.3
capital_improvement,11,374.1
industrial_and_commercial_dev,11,10.4
total_capital_funds,11,384.5
total_fund_equity,11,3044.8
general,12,1358.6
grants_revenue,12,864.2
community_development,12,0.0
vehicle_rental_tax,12,6.6
hospital_assessment_fund,12,22.7
housing_trust_fund,12,79.1
budget_stabilization_fund,12,65.1
other_funds,12,10.7
total_operating_funds,12,2407.0
capital_improvement,12,359.1
industrial_and_commercial_dev,12,10.4
total_capital_funds,12,369.5
total_fund_equity,12,2776.4
