category,fiscal_month,amount
general,1,276.2
grants_revenue,1,-62.0
community_development,1,-7.9
vehicle_rental_tax,1,6.7
hospital_assessment_fund,1,11.0
housing_trust_fund,1,19.9
other_funds,1,7.2
total_operating_funds,1,251.2
capital_improvement,1,33.2
industrial_and_commercial_dev,1,4.5
total_capital_funds,1,37.7
total_fund_equity,1,288.9
general,2,522.2
grants_revenue,2,-81.5
community_development,2,-6.1
vehicle_rental_tax,2,7.2
hospital_assessment_fund,2,10.2
housing_trust_fund,2,20.7
other_funds,2,7.4
total_operating_funds,2,480.3
capital_improvement,2,26.7
industrial_and_commercial_dev,2,4.5
total_capital_funds,2,31.3
total_fund_equity,2,511.5
general,3,522.3
grants_revenue,3,-67.4
community_development,3,-5.1
vehicle_rental_tax,3,1.8
hospital_assessment_fund,3,9.7
housing_trust_fund,3,21.2
other_funds,3,6.6
total_operating_funds,3,489.1
capital_improvement,3,21.5
industrial_and_commercial_dev,3,4.5
total_capital_funds,3,26.1
total_fund_equity,3,515.2
general,4,401.7
grants_revenue,4,-221.9
community_development,4,-1.7
vehicle_rental_tax,4,2.3
hospital_assessment_fund,4,8.8
housing_trust_fund,4,16.0
other_funds,4,6.6
total_operating_funds,4,211.8
capital_improvement,4,214.7
industrial_and_commercial_dev,4,4.2
total_capital_funds,4,218.9
total_fund_equity,4,430.7
general,5,446.1
grants_revenue,5,-253.2
community_development,5,-5.4
vehicle_rental_tax,5,2.8
hospital_assessment_fund,5,8.2
housing_trust_fund,5,22.9
other_funds,5,7.3
total_operating_funds,5,228.7
capital_improvement,5,203.4
industrial_and_commercial_dev,5,4.9
total_capital_funds,5,208.3
total_fund_equity,5,437.0
general,6,389.2
grants_revenue,6,-306.8
community_development,6,-3.4
vehicle_rental_tax,6,3.2
hospital_assessment_fund,6,7.6
housing_trust_fund,6,23.1
other_funds,6,7.1
total_operating_funds,6,120.0
capital_improvement,6,191.4
industrial_and_commercial_dev,6,4.9
total_capital_funds,6,196.3
total_fund_equity,6,316.2
general,7,395.8
grants_revenue,7,-163.2
community_development,7,-6.5
vehicle_rental_tax,7,3.6
hospital_assessment_fund,7,12.9
housing_trust_fund,7,22.9
other_funds,7,7.0
total_operating_funds,7,272.6
capital_improvement,7,169.2
industrial_and_commercial_dev,7,4.9
total_capital_funds,7,174.1
total_fund_equity,7,446.7
general,8,725.0
grants_revenue,8,-172.1
community_development,8,-4.1
vehicle_rental_tax,8,6.5
hospital_assessment_fund,8,7.9
housing_trust_fund,8,15.1
other_funds,8,18.4
total_operating_funds,8,596.7
capital_improvement,8,161.7
industrial_and_commercial_dev,8,3.8
total_capital_funds,8,165.5
total_fund_equity,8,762.2
general,9,336.5
grants_revenue,9,-179.5
community_development,9,-6.3
vehicle_rental_tax,9,5.8
hospital_assessment_fund,9,20.8
housing_trust_fund,9,14.9
other_funds,9,1.8
total_operating_funds,9,194.0
capital_improvement,9,154.2
industrial_and_commercial_dev,9,3.8
total_capital_funds,9,158.0
total_fund_equity,9,351.9
general,10,452.1
grants_revenue,10,-180.9
community_development,10,-2.8
vehicle_rental_tax,10,6.3
hospital_assessment_fund,10,8.8
housing_trust_fund,10,14.6
other_funds,10,14.1
total_operating_funds,10,312.1
capital_improvement,10,146.7
industrial_and_commercial_dev,10,3.6
total_capital_funds,10,150.3
total_fund_equity,10,462.5
general,11,337.2
grants_revenue,11,-162.1
community_development,11,-3.2
vehicle_rental_tax,11,5.7
hospital_assessment_fund,11,25.5
housing_trust_fund,11,14.5
other_funds,11,16.8
total_operating_funds,11,234.3
capital_improvement,11,139.2
industrial_and_commercial_dev,11,3.6
total_capital_funds,11,142.8
total_fund_equity,11,377.1
general,12,303.2
grants_revenue,12,-112.0
community_development,12,-6.0
vehicle_rental_tax,12,6.1
hospital_assessment_fund,12,19.1
housing_trust_fund,12,14.1
other_funds,12,33.2
total_operating_funds,12,257.8
capital_improvement,12,131.7
industrial_and_commercial_dev,12,3.7
total_capital_funds,12,135.4
total_fund_equity,12,393.2
