category,fiscal_month,amount
general,1,268.3
grants_revenue,1,-80.8
community_development,1,-7.6
vehicle_rental_tax,1,6.4
hospital_assessment_fund,1,10.3
housing_trust_fund,1,12.2
other_funds,1,25.2
total_operating_funds,1,234.1
capital_improvement,1,96.8
industrial_and_commercial_dev,1,3.8
total_capital_funds,1,100.6
total_fund_equity,1,334.7
general,2,213.0
grants_revenue,2,34.0
community_development,2,-5.1
vehicle_rental_tax,2,7.0
hospital_assessment_fund,2,9.6
housing_trust_fund,2,12.5
other_funds,2,30.9
total_operating_funds,2,301.8
capital_improvement,2,91.5
industrial_and_commercial_dev,2,3.8
total_capital_funds,2,95.3
total_fund_equity,2,397.1
general,3,270.2
grants_revenue,3,41.6
community_development,3,-4.4
vehicle_rental_tax,3,7.5
hospital_assessment_fund,3,11.4
housing_trust_fund,3,13.0
other_funds,3,28.3
total_operating_funds,3,367.6
capital_improvement,3,90.1
industrial_and_commercial_dev,3,3.8
total_capital_funds,3,93.9
total_fund_equity,3,461.5
general,4,222.7
grants_revenue,4,-8.6
community_development,4,2.6
vehicle_rental_tax,4,7.9
hospital_assessment_fund,4,10.8
housing_trust_fund,4,13.6
other_funds,4,39.3
total_operating_funds,4,288.3
capital_improvement,4,74.6
industrial_and_commercial_dev,4,4.1
total_capital_funds,4,78.7
total_fund_equity,4,367.0
general,5,144.2
grants_revenue,5,-69.9
community_development,5,-4.1
vehicle_rental_tax,5,5.1
hospital_assessment_fund,5,5.5
housing_trust_fund,5,15.8
other_funds,5,21.4
total_operating_funds,5,118.0
capital_improvement,5,67.6
industrial_and_commercial_dev,5,3.5
total_capital_funds,5,71.1
total_fund_equity,5,189.2
general,6,351.8
grants_revenue,6,-122.8
community_development,6,-2.8
vehicle_rental_tax,6,5.5
hospital_assessment_fund,6,7.4
housing_trust_fund,6,14.7
other_funds,6,23.6
total_operating_funds,6,277.4
capital_improvement,6,60.6
industrial_and_commercial_dev,6,3.5
total_capital_funds,6,64.1
total_fund_equity,6,341.5
general,7,378.3
grants_revenue,7,-140.3
community_development,7,-4.6
vehicle_rental_tax,7,5.8
hospital_assessment_fund,7,7.5
housing_trust_fund,7,14.3
other_funds,7,11.3
total_operating_funds,7,272.3
capital_improvement,7,53.6
industrial_and_commercial_dev,7,3.5
total_capital_funds,7,57.1
total_fund_equity,7,329.4
general,8,624.7
grants_revenue,8,-185.5
community_development,8,-4.5
vehicle_rental_tax,8,6.2
hospital_assessment_fund,8,7.2
housing_trust_fund,8,14.4
other_funds,8,20.5
total_operating_funds,8,483.0
capital_improvement,8,46.6
industrial_and_commercial_dev,8,3.5
total_capital_funds,8,50.1
total_fund_equity,8,533.1
general,9,288.4
grants_revenue,9,-130.1
community_development,9,-4.4
vehicle_rental_tax,9,5.0
hospital_assessment_fund,9,16.5
housing_trust_fund,9,13.9
other_funds,9,5.5
total_operating_funds,9,194.8
capital_improvement,9,39.6
industrial_and_commercial_dev,9,3.5
total_capital_funds,9,43.1
total_fund_equity,9,237.9
general,10,374.3
grants_revenue,10,-162.0
community_development,10,-4.3
vehicle_rental_tax,10,5.5
hospital_assessment_fund,10,8.7
housing_trust_fund,10,13.4
other_funds,10,11.9
total_operating_funds,10,247.5
capital_improvement,10,32.6
industrial_and_commercial_dev,10,3.5
total_capital_funds,10,36.1
total_fund_equity,10,283.6
general,11,298.3
grants_revenue,11,-198.3
community_development,11,-6.5
vehicle_rental_tax,11,4.9
hospital_assessment_fund,11,26.3
housing_trust_fund,11,13.3
other_funds,11,11.3
total_operating_funds,11,149.3
capital_improvement,11,25.6
industrial_and_commercial_dev,11,3.5
total_capital_funds,11,29.1
total_fund_equity,11,178.5
general,12,252.6
grants_revenue,12,-127.7
community_development,12,-7.1
vehicle_rental_tax,12,5.3
hospital_assessment_fund,12,16.6
housing_trust_fund,12,13.7
other_funds,12,21.8
total_operating_funds,12,175.2
capital_improvement,12,18.6
industrial_and_commercial_dev,12,3.6
total_capital_funds,12,22.2
total_fund_equity,12,197.4
