sector,aug_2020,aug_2019,aug_2018,aug_2017,growth_yoy_2020,growth_yoy_2019,growth_yoy_2018,growth_3yr,net_change,parent_sector
Construction,6750518,5735189,5761001,5282451,17.7,-0.4,9.1,8.5,1015329,
Manufacturing,10046991,8125169,8845258,8104478,23.7,-8.1,9.1,7.4,1921822,
"Chemicals, Petroleum Refining",1113325,1402365,1832707,1432694,-20.6,-23.5,27.9,-8.1,-289040,Manufacturing
Pharmaceuticals,2380541,1518239,1436953,1425382,56.8,5.7,0.8,18.6,862302,Manufacturing
Transportation Equipment,870315,755725,811375,896761,15.2,-6.9,-9.5,-1.0,114589,Manufacturing
Food & Beverage Products,1503721,1238046,1368712,1258888,21.5,-9.5,8.7,6.1,265674,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",1179280,678831,656737,640101,73.7,3.4,2.6,22.6,500449,Manufacturing
Metal Manufacturing,816149,786930,903945,671420,3.7,-12.9,34.6,6.7,29219,Manufacturing
Miscellaneous Manufacturing,2183661,1745033,1834829,1779232,25.1,-4.9,3.1,7.1,438628,Manufacturing
Public Utilities,1152637,1147620,1090514,1178047,0.4,5.2,-7.4,-0.7,5016,
Transportation and Warehousing,5506938,5197845,5786467,5559422,5.9,-10.2,4.1,-0.3,309093,
Telecommunication,3126947,3934366,3740683,3325163,-20.5,5.2,12.5,-2.0,-807419,
"Publishing, Broadcasting, and Other Information",2683559,1809471,1797924,1729982,48.3,0.6,3.9,15.8,874088,
Wholesale Trade,3779425,2821048,3164025,3171545,34.0,-10.8,-0.2,6.0,958378,
Retail Trade,9176696,7034100,7234533,6857652,30.5,-2.8,5.5,10.2,2142596,
Banking & Credit Unions,3089788,2604273,2875464,2605375,18.6,-9.4,10.4,5.8,485515,
Securities / Financial Investments,3651950,3703439,3830847,4007381,-1.4,-3.3,-4.4,-3.0,-51489,
Insurance,3992805,4742363,5023219,4821782,-15.8,-5.6,4.2,-6.1,-749558,
"Real Estate, Rental and Leasing",2683104,2124482,2276428,2119118,26.3,-6.7,7.4,8.2,558622,
Health and Social Services,45089465,34182426,35425913,30780088,31.9,-3.5,15.1,13.6,10907039,
Hospitals,22371688,18229783,18805288,15594659,22.7,-3.1,20.6,12.8,4141905,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",4362813,3687169,4021642,3865252,18.3,-8.3,4.0,4.1,675644,Health and Social Services
Outpatient Care Centers and Other Health Services,7124738,4950484,5052830,4852547,43.9,-2.0,4.1,13.7,2174255,Health and Social Services
Nursing & Personal Care Facilities,4005879,3128628,3305472,3014715,28.0,-5.4,9.6,9.9,877251,Health and Social Services
Social Services,7224346,4186362,4240682,3452916,72.6,-1.3,22.8,27.9,3037984,Health and Social Services
Education,13266783,15771964,15677530,15188264,-15.9,0.6,3.2,-4.4,-2505181,
College and Universities,9479945,12771564,12644528,12184673,-25.8,1.0,3.8,-8.0,-3291619,Education
"Elementary, Secondary Schools",2566379,2031307,2093197,2099288,26.3,-3.0,-0.3,6.9,535072,Education
Other Educational Services,1220459,969093,939805,904302,25.9,3.1,3.9,10.5,251366,Education
Professional Services,21162060,16329813,16854694,15294889,29.6,-3.1,10.2,11.4,4832247,
Legal Services,5059566,4988556,5704576,5257903,1.4,-12.6,8.5,-1.3,71010,Professional Services
Management Consulting,4496748,3089707,3123792,2875222,45.5,-1.1,8.6,16.1,1407041,Professional Services
Engineering & Architectural Services,2325563,1892059,1856219,1659237,22.9,1.9,11.9,11.9,433504,Professional Services
Computer,2087776,1477346,1523029,1327731,41.3,-3.0,14.7,16.3,610430,Professional Services
"Accounting, Auditing, Bookkeeping",2223467,1999639,1902117,1861623,11.2,5.1,2.2,6.1,223828,Professional Services
Advertising and Other Professional Services,4968940,2882506,2744961,2313173,72.4,5.0,18.7,29.0,2086434,Professional Services
Hotels,347004,896982,1020134,987651,-61.3,-12.1,3.3,-29.4,-549978,
Restaurants,3094308,3904208,4179790,4126803,-20.7,-6.6,1.3,-9.2,-809901,
Sport Teams,2043528,1895856,1214752,1487810,7.8,56.1,-18.4,11.2,147672,
"Arts, Entertainment, and Other Recreation",1011621,1222208,1247850,1242806,-17.2,-2.1,0.4,-6.6,-210587,
Other Sectors,13977481,10632486,11036725,10527000,31.5,-3.7,4.8,9.9,3344995,
Membership Organizations,4165594,2849332,2908578,2760628,46.2,-2.0,5.4,14.7,1316262,Other Sectors
Employment/Outsourcing Agencies,2554628,2654171,2714145,2689896,-3.8,-2.2,0.9,-1.7,-99543,Other Sectors
Security and Investigation Services,972684,738109,755004,705135,31.8,-2.2,7.1,11.3,234575,Other Sectors
Services to Buildings,1212488,839862,871454,909415,44.4,-3.6,-4.2,10.1,372626,Other Sectors
Miscellaneous Sectors,5072087,3551012,3787544,3461926,42.8,-6.2,9.4,13.6,1521074,Other Sectors
Government,16804514,15350280,16156933,18481121,9.5,-5.0,-12.6,-3.1,1454233,
State Government (PA),1275635,1045248,1043462,1023468,22.0,0.2,2.0,7.6,230388,Government
"City, School District, Local Quasi Govt.",9976036,10080961,10876810,13148290,-1.0,-7.3,-17.3,-8.8,-104925,Government
Federal Government,5242287,4024887,4043682,4115400,30.2,-0.5,-1.7,8.4,1217400,Government
Other Governments,310555,199185,192979,193963,55.9,3.2,-0.5,17.0,111371,Government
Unclassified Accounts,533333,190265,120601,152408,180.3,57.8,-20.9,51.8,343069,
