sector,feb_2014,feb_2013,feb_2012,feb_2011,growth_yoy_2014,growth_yoy_2013,growth_yoy_2012,growth_3yr,net_change,parent_sector
Construction,3744421,3716636,3060015,3464214,0.7,21.5,-11.7,2.6,27785,
Manufacturing,8418800,7502831,8022669,7480054,12.2,-6.5,7.3,4.0,915968,
"Chemicals, Petroleum Refining",1790940,1573228,1594098,1317863,13.8,-1.3,21.0,10.8,217712,Manufacturing
Pharmaceuticals,1503772,1238587,1452429,1445305,21.4,-14.7,0.5,1.3,265185,Manufacturing
Transportation Equipment,759003,759610,886580,755682,-0.1,-14.3,17.3,0.1,-607,Manufacturing
Food & Beverage Products,1101315,954261,1121636,1072149,15.4,-14.9,4.6,0.9,147055,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",742637,667067,739737,650568,11.3,-9.8,13.7,4.5,75571,Manufacturing
Metal Manufacturing,674785,603946,608456,562691,11.7,-0.7,8.1,6.2,70839,Manufacturing
Miscellaneous Manufacturing,1846346,1706133,1619734,1675795,8.2,5.3,-3.3,3.3,140213,Manufacturing
Public Utilities,1298663,1720088,1636405,1806308,-24.5,5.1,-9.4,-10.4,-421425,
Transportation and Warehousing,4414148,3691442,4509155,3794207,19.6,-18.1,18.8,5.2,722707,
Telecommunication,2575135,2412736,3148846,2180404,6.7,-23.4,44.4,5.7,162398,
"Publishing, Broadcasting, and Other Information",1795085,1640355,2849132,1467303,9.4,-42.4,94.2,7.0,154730,
Wholesale Trade,2944418,2510085,2421157,2554021,17.3,3.7,-5.2,4.9,434332,
Retail Trade,6240716,5721513,5649496,4675755,9.1,1.3,20.8,10.1,519203,
Banking & Credit Unions,3135056,2885802,4377038,2943499,8.6,-34.1,48.7,2.1,249254,
Securities / Financial Investments,4762032,4293539,3630528,3745084,10.9,18.3,-3.1,8.3,468493,
Insurance,4160818,4158545,4461489,3782247,0.1,-6.8,18.0,3.2,2273,
"Real Estate, Rental and Leasing",2058762,1788102,1820760,1687551,15.1,-1.8,7.9,6.9,270660,
Health and Social Services,26454268,24699303,25820242,23285838,7.1,-4.3,10.9,4.3,1754965,
Hospitals,14491374,13904177,14865474,12409903,4.2,-6.5,19.8,5.3,587197,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",3027828,2751369,3106023,3004274,10.0,-11.4,3.4,0.3,276459,Health and Social Services
Outpatient Care Centers and Other Health Services,3823535,3276614,3294433,3240004,16.7,-0.5,1.7,5.7,546921,Health and Social Services
Nursing & Personal Care Facilities,2827143,2678005,2448721,2528457,5.6,9.4,-3.2,3.8,149138,Health and Social Services
Social Services,2284388,2089137,2105591,2103200,9.3,-0.8,0.1,2.8,195251,Health and Social Services
Education,12570144,11857360,11386979,10944428,6.0,4.1,4.0,4.7,712784,
College and Universities,9653934,9287560,9041377,8505152,3.9,2.7,6.3,4.3,366374,Education
"Elementary, Secondary Schools",2002733,1733443,1615868,1759214,15.5,7.3,-8.1,4.4,269290,Education
Other Educational Services,913478,836357,729734,680062,9.2,14.6,7.3,10.3,77121,Education
Professional Services,13268490,12254123,12278502,11344848,8.3,-0.2,8.2,5.4,1014367,
Legal Services,4859667,4756929,5061368,4441424,2.2,-6.0,14.0,3.0,102738,Professional Services
Management Consulting,2618998,2332271,2311681,2256704,12.3,0.9,2.4,5.1,286727,Professional Services
Engineering & Architectural Services,1428491,1266213,1215436,1222353,12.8,4.2,-0.6,5.3,162278,Professional Services
Computer,1190408,1044721,983913,827063,13.9,6.2,19.0,12.9,145687,Professional Services
"Accounting, Auditing, Bookkeeping",1459125,1328903,1257926,1174413,9.8,5.6,7.1,7.5,130222,Professional Services
Advertising and Other Professional Services,1711801,1525086,1448178,1422891,12.2,5.3,1.8,6.4,186715,Professional Services
Hotels,832438,805783,754236,701292,3.3,6.8,7.5,5.9,26655,
Restaurants,3556902,3202036,1320805,2714334,11.1,142.4,-51.3,9.4,354866,
Sport Teams,895501,737436,1012526,969648,21.4,-27.2,4.4,-2.6,158065,
"Arts, Entertainment, and Other Recreation",756942,684345,626146,673214,10.6,9.3,-7.0,4.0,72597,
Other Sectors,9176205,8446709,7777033,7879892,8.6,8.6,-1.3,5.2,729496,
Membership Organizations,2568900,2410555,2375168,2262927,6.6,1.5,5.0,4.3,158345,Other Sectors
Employment/Outsourcing Agencies,1959176,1818119,1635533,2005061,7.8,11.2,-18.4,-0.8,141057,Other Sectors
Security and Investigation Services,822055,694743,583008,536834,18.3,19.2,8.6,15.3,127312,Other Sectors
Services to Buildings,949014,828059,737464,811744,14.6,12.3,-9.2,5.3,120955,Other Sectors
Miscellaneous Sectors,2877061,2695232,2445860,2263326,6.7,10.2,8.1,8.3,181828,Other Sectors
Government,13245876,13152159,14391298,16503317,0.7,-8.6,-12.8,-7.1,93717,
State Government (PA),1068477,962004,895355,1409033,11.1,7.4,-36.5,-8.8,106473,Government
"City, School District, Local Quasi Govt.",8828754,8795460,10647922,9308267,0.4,-17.4,14.4,-1.7,33294,Government
Federal Government,3177945,3241843,2693267,5605249,-2.0,20.4,-52.0,-17.2,-63898,Government
Other Governments,170701,152852,154755,180767,11.7,-1.2,-14.4,-1.9,17848,Government
Unclassified Accounts,384175,222415,211150,191049,72.7,5.3,10.5,26.2,161759,
