sector,oct_2020,oct_2019,oct_2018,oct_2017,growth_yoy_2020,growth_yoy_2019,growth_yoy_2018,growth_3yr,net_change,parent_sector
Construction,5783529,7344688,7333295,6489125,-21.3,0.2,13.0,-3.8,-1561160,
Manufacturing,8016695,11211042,10479954,9633373,-28.5,7.0,8.8,-5.9,-3194348,
"Chemicals, Petroleum Refining",937474,2007918,1607431,1217691,-53.3,24.9,32.0,-8.3,-1070444,Manufacturing
Pharmaceuticals,1633677,2240309,2061606,1983620,-27.1,8.7,3.9,-6.3,-606632,Manufacturing
Transportation Equipment,734514,1050628,1075113,787838,-30.1,-2.3,36.5,-2.3,-316114,Manufacturing
Food & Beverage Products,1779980,1904544,1587599,1699825,-6.5,20.0,-6.6,1.5,-124564,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",639664,1009816,1031038,927111,-36.7,-2.1,11.2,-11.6,-370151,Manufacturing
Metal Manufacturing,573552,664527,827040,790198,-13.7,-19.7,4.7,-10.1,-90975,Manufacturing
Miscellaneous Manufacturing,1717832,2333300,2290126,2227090,-26.4,1.9,2.8,-8.3,-615468,Manufacturing
Public Utilities,926987,1121304,896949,1051850,-17.3,25.0,-14.7,-4.1,-194317,
Transportation and Warehousing,4771769,6916044,6654438,5520152,-31.0,3.9,20.5,-4.7,-2144275,
Telecommunication,2489936,5358828,4743821,3066205,-53.5,13.0,54.7,-6.7,-2868893,
"Publishing, Broadcasting, and Other Information",1768636,3131903,2784306,2317847,-43.5,12.5,20.1,-8.6,-1363267,
Wholesale Trade,2822160,4262902,4345814,4355169,-33.8,-1.9,-0.2,-13.5,-1440742,
Retail Trade,8114316,10326515,9811284,8922079,-21.4,5.3,10.0,-3.1,-2212199,
Banking & Credit Unions,2414798,3412520,3506797,2893413,-29.2,-2.7,21.2,-5.8,-997722,
Securities / Financial Investments,2751014,3423600,3262223,3115059,-19.6,4.9,4.7,-4.1,-672586,
Insurance,2824140,5617000,5548975,5134920,-49.7,1.2,8.1,-18.1,-2792860,
"Real Estate, Rental and Leasing",1779678,2984014,3027543,2771129,-40.4,-1.4,9.3,-13.7,-1204336,
Health and Social Services,33406945,47474985,43958700,37011788,-29.6,8.0,18.8,-3.4,-14068040,
Hospitals,16832323,23152552,22239130,18402097,-27.3,4.1,20.9,-2.9,-6320229,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",3541560,5010722,5137434,4588298,-29.3,-2.5,12.0,-8.3,-1469162,Health and Social Services
Outpatient Care Centers and Other Health Services,5032809,7681742,7137207,5995244,-34.5,7.6,19.0,-5.7,-2648933,Health and Social Services
Nursing & Personal Care Facilities,3295781,4540714,4069205,3714303,-27.4,11.6,9.6,-3.9,-1244933,Health and Social Services
Social Services,4704472,7089255,5375725,4311846,-33.6,31.9,24.7,2.9,-2384783,Health and Social Services
Education,14008360,18037658,14050694,15749094,-22.3,28.4,-10.8,-3.8,-4029299,
College and Universities,10698227,13661334,10090979,12013073,-21.7,35.4,-16.0,-3.8,-2963107,Education
"Elementary, Secondary Schools",2353284,2853785,2741054,2499582,-17.5,4.1,9.7,-2.0,-500502,Education
Other Educational Services,956849,1522539,1218661,1236440,-37.2,24.9,-1.4,-8.2,-565690,Education
Professional Services,15180245,24934762,22572904,21418799,-39.1,10.5,5.4,-10.8,-9754518,
Legal Services,3906535,6866848,6292824,5887982,-43.1,9.1,6.9,-12.8,-2960313,Professional Services
Management Consulting,2759753,5007294,4285795,3958204,-44.9,16.8,8.3,-11.3,-2247541,Professional Services
Engineering & Architectural Services,1869212,2759004,2459824,2351653,-32.3,12.2,4.6,-7.4,-889793,Professional Services
Computer,1553713,2294271,2172972,2012908,-32.3,5.6,8.0,-8.3,-740558,Professional Services
"Accounting, Auditing, Bookkeeping",2103503,3421022,3116416,2863482,-38.5,9.8,8.8,-9.8,-1317518,Professional Services
Advertising and Other Professional Services,2987528,4586323,4245074,4344570,-34.9,8.0,-2.3,-11.7,-1598795,Professional Services
Hotels,385224,1277344,1282593,981971,-69.8,-0.4,30.6,-26.8,-892120,
Restaurants,3064353,6445252,5781847,5360382,-52.5,11.5,7.9,-17.0,-3380899,
Sport Teams,2388226,2439271,2496424,2286038,-2.1,-2.3,9.2,1.5,-51044,
"Arts, Entertainment, and Other Recreation",748974,1646698,1610021,1475840,-54.5,2.3,9.1,-20.2,-897725,
Other Sectors,10335327,16333665,15189256,14764564,-36.7,7.5,2.9,-11.2,-5998339,
Membership Organizations,2896816,4323823,4190617,4091765,-33.0,3.2,2.4,-10.9,-1427007,Other Sectors
Employment/Outsourcing Agencies,2236260,3441516,3317853,2975262,-35.0,3.7,11.5,-9.1,-1205256,Other Sectors
Security and Investigation Services,781579,867188,803589,850085,-9.9,7.9,-5.5,-2.8,-85609,Other Sectors
Services to Buildings,801681,1280392,1216943,1284936,-37.4,5.2,-5.3,-14.6,-478711,Other Sectors
Miscellaneous Sectors,3618990,6420746,5660254,5562517,-43.6,13.4,1.8,-13.3,-2801756,Other Sectors
Government,16946672,18323202,16394442,18580980,-7.5,11.8,-11.8,-3.0,-1376530,
State Government (PA),1033110,1076178,1029521,1188589,-4.0,4.5,-13.4,-4.6,-43068,Government
"City, School District, Local Quasi Govt.",10391686,13195906,9990085,11980506,-21.3,32.1,-16.6,-4.6,-2804220,Government
Federal Government,5319334,3778513,5110964,5175307,40.8,-26.1,-1.2,0.9,1540821,Government
Other Governments,202542,272605,263871,236579,-25.7,3.3,11.5,-5.0,-70063,Government
Unclassified Accounts,341659,220082,165721,247964,55.2,32.8,-33.2,11.3,121577,
