sector,jun_2017,jun_2016,jun_2015,jun_2014,growth_yoy_2017,growth_yoy_2016,growth_yoy_2015,growth_3yr,net_change,parent_sector
Construction,4980703,4576401,4103241.0,3800395.0,8.8,11.5,8.0,9.4,404302.0,
Manufacturing,8871367,8716087,7638456.0,7823306.0,1.8,14.1,-2.4,4.3,155280.0,
"Chemicals, Petroleum Refining",2004263,1795210,1441837.0,1414513.0,11.6,24.5,1.9,12.3,209053.0,Manufacturing
Pharmaceuticals,1602372,1558186,1349870.0,1560848.0,2.8,15.4,-13.5,0.9,44186.0,Manufacturing
Transportation Equipment,1012321,1125997,813770.0,738456.0,-10.1,38.4,10.2,11.1,-113676.0,Manufacturing
Food & Beverage Products,1283274,1271399,1112787.0,1087612.0,0.9,14.3,2.3,5.7,11875.0,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",648848,697204,699386.0,697061.0,-6.9,-0.3,0.3,-2.4,-48356.0,Manufacturing
Metal Manufacturing,674556,644646,639123.0,616202.0,4.6,0.9,3.7,3.1,29910.0,Manufacturing
Miscellaneous Manufacturing,1645733,1623446,1581682.0,1708614.0,1.4,2.6,-7.4,-1.2,22288.0,Manufacturing
Public Utilities,949889,899340,454617.0,939750.0,5.6,97.8,-51.6,0.4,50549.0,
Transportation and Warehousing,4698289,5213775,4276138.0,4142849.0,-9.9,21.9,3.2,4.3,-515486.0,
Telecommunication,4488360,3808216,2334632.0,2082177.0,17.9,63.1,12.1,29.2,680144.0,
"Publishing, Broadcasting, and Other Information",1632947,1858832,1520247.0,1684947.0,-12.2,22.3,-9.8,-1.0,-225885.0,
Wholesale Trade,2747252,2951981,2761760.0,2878310.0,-6.9,6.9,-4.0,-1.5,-204730.0,
Retail Trade,6625675,6738296,6137526.0,6014531.0,-1.7,9.8,2.0,3.3,-112621.0,
Banking & Credit Unions,3165812,2637921,2201563.0,2446559.0,20.0,19.8,-10.0,9.0,527890.0,
Securities / Financial Investments,6168374,5749919,,7.3,-1.7,-2283.3,-384.5,418455.0,,
Insurance,4846985,5199634,3425523.0,3999390.0,-6.8,51.8,-14.3,6.6,-352650.0,
"Real Estate, Rental and Leasing",1897338,1732498,1732099.0,1737208.0,9.5,0.0,-0.3,3.0,164841.0,
Health and Social Services,33793360,30008332,25696946.0,25205888.0,12.6,16.8,1.9,10.3,3785028.0,
Hospitals,19215138,16226770,13514182.0,13588505.0,18.4,20.1,-0.5,12.2,2988368.0,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",3831936,3188426,3001154.0,3003884.0,20.2,6.2,-0.1,8.5,643510.0,Health and Social Services
Outpatient Care Centers and Other Health Services,4733504,4952113,4121199.0,3411092.0,-4.4,20.2,20.8,11.5,-218608.0,Health and Social Services
Nursing & Personal Care Facilities,2938987,3025824,2687492.0,2849808.0,-2.9,12.6,-5.7,1.0,-86838.0,Health and Social Services
Social Services,3073796,2615199,2372918.0,2352598.0,17.5,10.2,0.9,9.3,458596.0,Health and Social Services
Education,14707429,14123789,13220870.0,13132303.0,4.1,6.8,0.7,3.8,583640.0,
College and Universities,11488644,10944734,10117955.0,9977583.0,5.0,8.2,1.4,4.8,543910.0,Education
"Elementary, Secondary Schools",2299852,2232578,2182087.0,2179659.0,3.0,2.3,0.1,1.8,67274.0,Education
Other Educational Services,918934,946477,920828.0,975060.0,-2.9,2.8,-5.6,-2.0,-27543.0,Education
Professional Services,15027435,13872995,12469283.0,12137963.0,8.3,11.3,2.7,7.4,1154439.0,
Legal Services,5200565,5040797,4242319.0,4129299.0,3.2,18.8,2.7,8.0,159768.0,Professional Services
Management Consulting,2346208,2337333,2251994.0,2337685.0,0.4,3.8,-3.7,0.1,8875.0,Professional Services
Engineering & Architectural Services,1761501,1539760,1434625.0,1441011.0,14.4,7.3,-0.4,6.9,221741.0,Professional Services
Computer,1472420,1351453,1312368.0,1181999.0,9.0,3.0,11.0,7.6,120967.0,Professional Services
"Accounting, Auditing, Bookkeeping",1901322,1635515,1400758.0,1259134.0,16.3,16.8,11.2,14.7,265808.0,Professional Services
Advertising and Other Professional Services,2345419,1968138,1827219.0,1788835.0,19.2,7.7,2.1,9.5,377281.0,Professional Services
Hotels,927453,904701,1066829.0,941520.0,2.5,-15.2,13.3,-0.5,22752.0,
Restaurants,3933677,3739421,3183598.0,3021375.0,5.2,17.5,5.4,9.2,194257.0,
Sport Teams,1410663,1743081,975709.0,1433041.0,-19.1,78.6,-31.9,-0.5,-332418.0,
"Arts, Entertainment, and Other Recreation",1157392,1207491,1039889.0,987628.0,-4.1,16.1,5.3,5.4,-50099.0,
Other Sectors,9490160,8974296,8647567.0,8426835.0,5.7,3.8,2.6,4.0,515864.0,
Membership Organizations,2708776,2558159,2547276.0,2498044.0,5.9,0.4,2.0,2.7,150617.0,Other Sectors
Employment/Outsourcing Agencies,2208428,2192157,2014293.0,1904927.0,0.7,8.8,5.7,5.1,16271.0,Other Sectors
Security and Investigation Services,719903,655695,601545.0,584332.0,9.8,9.0,2.9,7.2,64208.0,Other Sectors
Services to Buildings,807977,869792,932975.0,898164.0,-7.1,-6.8,3.9,-3.5,-61815.0,Other Sectors
Miscellaneous Sectors,3045076,2698492,2551477.0,2541367.0,12.8,5.8,0.4,6.2,346584.0,Other Sectors
Government,13477911,13725322,23863958.0,20884230.0,-1.8,-42.5,14.3,-13.6,-247411.0,
State Government (PA),998955,973197,1213050.0,1158449.0,2.6,-19.8,4.7,-4.8,25758.0,Government
"City, School District, Local Quasi Govt.",8477017,8858164,11016157.0,8503972.0,-4.3,-19.6,29.5,-0.1,-381147.0,Government
Federal Government,3847274,3680441,11473597.0,11064450.0,4.5,-67.9,3.7,-29.7,166833.0,Government
Other Governments,154666,213521,161155.0,157358.0,-27.6,32.5,2.4,-0.6,-58855.0,Government
Unclassified Accounts,123849,119783,77097.0,110371.0,3.4,55.4,-30.1,3.9,4067.0,
