sector,apr_2017,apr_2016,apr_2015,apr_2014,growth_yoy_2017,growth_yoy_2016,growth_yoy_2015,growth_3yr,net_change,parent_sector
Construction,5292589,5080581,5051019,4285314,4.2,0.6,17.9,7.3,212007,
Manufacturing,9369217,9007040,11812455,10973024,4.0,-23.7,7.6,-5.1,362178,
"Chemicals, Petroleum Refining",1806536,1865076,2438800,2280323,-3.1,-23.5,6.9,-7.5,-58540,Manufacturing
Pharmaceuticals,2029559,2020585,2828117,2367927,0.4,-28.6,19.4,-5.0,8974,Manufacturing
Transportation Equipment,826610,911424,955437,1011606,-9.3,-4.6,-5.6,-6.5,-84813,Manufacturing
Food & Beverage Products,1180014,1089999,1409063,1374654,8.3,-22.6,2.5,-5.0,90015,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",749148,685803,932213,936771,9.2,-26.4,-0.5,-7.2,63345,Manufacturing
Metal Manufacturing,741452,652550,942954,816376,13.6,-30.8,15.5,-3.2,88901,Manufacturing
Miscellaneous Manufacturing,2035899,1781603,2305870,2185367,14.3,-22.7,5.5,-2.3,254296,Manufacturing
Public Utilities,1302529,1230119,1433382,1442222,5.9,-14.2,-0.6,-3.3,72411,
Transportation and Warehousing,4981855,4635450,5285824,5068347,7.5,-12.3,4.3,-0.6,346405,
Telecommunication,6089237,5430383,6108443,6632500,12.1,-11.1,-7.9,-2.8,658853,
"Publishing, Broadcasting, and Other Information",1835862,1883816,2514946,2276071,-2.5,-25.1,10.5,-6.9,-47954,
Wholesale Trade,3389144,2894589,4314613,4637656,17.1,-32.9,-7.0,-9.9,494555,
Retail Trade,7812455,7160114,8857634,7688023,9.1,-19.2,15.2,0.5,652341,
Banking & Credit Unions,3719273,3837623,4451813,4231274,-3.1,-13.8,5.2,-4.2,-118350,
Securities / Financial Investments,5397397,5636870,5993379,5000797,-4.2,-5.9,19.8,2.6,-239473,
Insurance,5854158,5494540,7351853,6288836,6.5,-25.3,16.9,-2.4,359617,
"Real Estate, Rental and Leasing",2528141,2147487,2798878,2703695,17.7,-23.3,3.5,-2.2,380654,
Health and Social Services,31186793,28219443,32278164,29221025,10.5,-12.6,10.5,2.2,2967350,
Hospitals,16668328,15637488,17007074,15453422,6.6,-8.1,10.1,2.6,1030840,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",3373404,3028495,4170765,3984183,11.4,-27.4,4.7,-5.4,344909,Health and Social Services
Outpatient Care Centers and Other Health Services,4736256,3962046,5109191,4241450,19.5,-22.5,20.5,3.7,774210,Health and Social Services
Nursing & Personal Care Facilities,3322193,3041420,3029368,2931570,9.2,0.4,3.3,4.3,280774,Health and Social Services
Social Services,3086611,2549994,2961767,2610400,21.0,-13.9,13.5,5.7,536618,Health and Social Services
Education,14203016,15687217,13923206,13404864,-9.5,12.7,3.9,1.9,-1484200,
College and Universities,11046637,12711113,10420788,10125015,-13.1,22.0,2.9,2.9,-1664476,Education
"Elementary, Secondary Schools",2129378,1994114,2390636,2222702,6.8,-16.6,7.6,-1.4,135264,Education
Other Educational Services,1027002,981989,1111782,1057147,4.6,-11.7,5.2,-1.0,45012,Education
Professional Services,16096468,14542999,17502870,16472740,10.7,-16.9,6.3,-0.8,1553469,
Legal Services,4941416,4423909,5630898,5417772,11.7,-21.4,3.9,-3.0,517508,Professional Services
Management Consulting,2970743,2888322,3623750,3476555,2.9,-20.3,4.2,-5.1,82421,Professional Services
Engineering & Architectural Services,1875662,1884005,1876230,1704615,-0.4,0.4,10.1,3.2,-8343,Professional Services
Computer,1476260,1299226,1700213,1600682,13.6,-23.6,6.2,-2.7,177034,Professional Services
"Accounting, Auditing, Bookkeeping",1973333,1808023,1707214,1563863,9.1,5.9,9.2,8.1,165310,Professional Services
Advertising and Other Professional Services,2859055,2239514,2964566,2709252,27.7,-24.5,9.4,1.8,619540,Professional Services
Hotels,797454,777714,952021,971733,2.5,-18.3,-2.0,-6.4,19740,
Restaurants,3979393,3717528,4582229,3804049,7.0,-18.9,20.5,1.5,261865,
Sport Teams,861680,993556,1305539,1928163,-13.3,-23.9,-32.3,-23.5,-131876,
"Arts, Entertainment, and Other Recreation",1198274,1047577,1206250,1149891,14.4,-13.2,4.9,1.4,150697,
Other Sectors,10880459,9562345,12878921,10369213,13.8,-25.8,24.2,1.6,1318114,
Membership Organizations,3115575,2835351,3246259,3167649,9.9,-12.7,2.5,-0.6,280223,Other Sectors
Employment/Outsourcing Agencies,2380043,2192525,2612699,2161095,8.6,-16.1,20.9,3.3,187518,Other Sectors
Security and Investigation Services,797433,651373,709775,627091,22.4,-8.2,13.2,8.3,146060,Other Sectors
Services to Buildings,823865,865351,1032491,1017335,-4.8,-16.2,1.5,-6.8,-41486,Other Sectors
Miscellaneous Sectors,3763544,3017746,5277698,3396042,24.7,-42.8,55.4,3.5,745798,Other Sectors
Government,22065580,12556997,14798346,26367546,75.7,-15.1,-43.9,-5.8,9508583,
State Government (PA),1232870,959534,974107,917626,28.5,-1.5,6.2,10.3,273336,Government
"City, School District, Local Quasi Govt.",8900693,8732455,10652780,12691826,1.9,-18.0,-16.1,-11.2,168238,Government
Federal Government,11732476,2737416,2950667,12589888,328.6,-7.2,-76.6,-2.3,8995060,Government
Other Governments,199541,127592,220793,168206,56.4,-42.2,31.3,5.9,71949,Government
Unclassified Accounts,870518,132696,213569,288955,556.0,-37.9,-26.1,44.4,737822,
