sector,apr_2018,apr_2017,apr_2016,apr_2015,growth_yoy_2018,growth_yoy_2017,growth_yoy_2016,growth_3yr,net_change,parent_sector
Construction,6050268,5313656,5083198,5046067,13.9,4.5,0.7,6.2,736612,
Manufacturing,10975719,9396957,9018434,11807625,16.8,4.2,-23.6,-2.4,1578762,
"Chemicals, Petroleum Refining",1708039,1808455,1870575,2438954,-5.6,-3.3,-23.3,-11.2,-100416,Manufacturing
Pharmaceuticals,2573214,2037393,2021686,2828195,26.3,0.8,-28.5,-3.1,535821,Manufacturing
Transportation Equipment,763379,826843,911523,957471,-7.7,-9.3,-4.8,-7.3,-63464,Manufacturing
Food & Beverage Products,1547928,1189333,1093579,1414698,30.2,8.8,-22.7,3.0,358595,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",1069266,752773,684286,914006,42.0,10.0,-25.1,5.4,316493,Manufacturing
Metal Manufacturing,885921,743328,653051,944785,19.2,13.8,-30.9,-2.1,142593,Manufacturing
Miscellaneous Manufacturing,2427972,2038832,1783734,2309515,19.1,14.3,-22.8,1.7,389140,Manufacturing
Public Utilities,1497451,1303001,1230594,1442952,14.9,5.9,-14.7,1.2,194450,
Transportation and Warehousing,5923772,5043992,4672721,5317042,17.4,7.9,-12.1,3.7,879780,
Telecommunication,6553301,6092251,5431707,6110628,7.6,12.2,-11.1,2.4,461050,
"Publishing, Broadcasting, and Other Information",3138123,1840172,1898579,2543635,70.5,-3.1,-25.4,7.3,1297951,
Wholesale Trade,4916808,3393202,2899257,4294962,44.9,17.0,-32.5,4.6,1523606,
Retail Trade,10029666,7834699,7214701,8862099,28.0,8.6,-18.6,4.2,2194966,
Banking & Credit Unions,3903065,3719841,3850232,4470551,4.9,-3.4,-13.9,-4.4,183224,
Securities / Financial Investments,7215654,5379360,5639250,5990572,34.1,-4.6,-5.9,6.4,1836294,
Insurance,7512905,5958688,5526344,7386529,26.1,7.8,-25.2,0.6,1554217,
"Real Estate, Rental and Leasing",3479090,2525732,2133044,2792502,37.7,18.4,-23.6,7.6,953357,
Health and Social Services,39131017,31245729,28253959,32372267,25.2,10.6,-12.7,6.5,7885288,
Hospitals,19412498,16668431,15637590,17012944,16.5,6.6,-8.1,4.5,2744068,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",4384959,3383703,3043313,4184004,29.6,11.2,-27.3,1.6,1001257,Health and Social Services
Outpatient Care Centers and Other Health Services,6666804,4756935,3963886,5160728,40.1,20.0,-23.2,8.9,1909869,Health and Social Services
Nursing & Personal Care Facilities,3981826,3324321,3042126,3034964,19.8,9.3,0.2,9.5,657505,Health and Social Services
Social Services,4684929,3112339,2567045,2979628,50.5,21.2,-13.8,16.3,1572590,Health and Social Services
Education,15311160,14203092,15687450,13926227,7.8,-9.5,12.6,3.2,1108068,
College and Universities,11484184,11046637,12711220,10420788,4.0,-13.1,22.0,3.3,437547,Education
"Elementary, Secondary Schools",2530002,2129381,1994114,2390636,18.8,6.8,-16.6,1.9,400620,Education
Other Educational Services,1296974,1027074,982116,1114803,26.3,4.6,-11.9,5.2,269900,Education
Professional Services,21335351,16095807,14543676,17434538,32.6,10.7,-16.6,7.0,5239545,
Legal Services,5711815,4945826,4428095,5587495,15.5,11.7,-20.7,0.7,765989,Professional Services
Management Consulting,4401902,2940563,2728577,3448338,49.7,7.8,-20.9,8.5,1461338,Professional Services
Engineering & Architectural Services,2488813,1877418,1889216,1879859,32.6,-0.6,0.5,9.8,611395,Professional Services
Computer,2159073,1484898,1304399,1702520,45.4,13.8,-23.4,8.2,674174,Professional Services
"Accounting, Auditing, Bookkeeping",2154016,1975561,1808814,1707412,9.0,9.2,5.9,8.1,178455,Professional Services
Advertising and Other Professional Services,4419732,2871539,2384576,3108914,53.9,20.4,-23.3,12.4,1548193,Professional Services
Hotels,1011254,847513,777736,952251,19.3,9.0,-18.3,2.0,163741,
Restaurants,5321196,4017623,3756922,4654680,32.4,6.9,-19.3,4.6,1303573,
Sport Teams,2494253,861012,993556,1305051,189.7,-13.3,-23.9,24.1,1633240,
"Arts, Entertainment, and Other Recreation",1478391,1201497,1037815,1199935,23.0,15.8,-13.5,7.2,276895,
Other Sectors,15066261,10849782,9554821,12887343,38.9,13.6,-25.9,5.3,4216479,
Membership Organizations,4244386,3151465,2842401,3244752,34.7,10.9,-12.4,9.4,1092921,Other Sectors
Employment/Outsourcing Agencies,3345321,2354557,2166701,2603153,42.1,8.7,-16.8,8.7,990764,Other Sectors
Security and Investigation Services,880846,810600,651373,710098,8.7,24.4,-8.3,7.4,70246,Other Sectors
Services to Buildings,983424,826071,866129,1042569,19.0,-4.6,-16.9,-1.9,157354,Other Sectors
Miscellaneous Sectors,5612284,3707088,3028219,5286771,51.4,22.4,-42.7,2.0,1905195,Other Sectors
Government,18892209,22065580,12557302,14798579,-14.4,75.7,-15.1,8.5,-3173371,
State Government (PA),1263428,1232870,959534,974107,2.5,28.5,-1.5,9.1,30558,Government
"City, School District, Local Quasi Govt.",9416036,8896916,8732455,10652780,5.8,1.9,-18.0,-4.0,519121,Government
Federal Government,7941669,11732476,2737416,2950667,-32.3,328.6,-7.2,39.1,-3790808,Government
Other Governments,271076,203319,127897,221025,33.3,59.0,-42.1,7.0,67757,Government
Unclassified Accounts,524166,121950,89629,166887,329.8,36.1,-46.3,46.4,402217,
