sector,oct_2019,oct_2018,oct_2017,oct_2016,growth_yoy_2019,growth_yoy_2018,growth_yoy_2017,growth_3yr,net_change,parent_sector
Construction,7415818,7332312,6489125,6180783,1.1,13.0,5.0,6.3,83506,
Manufacturing,11172320,10449517,9633373,10446566,6.9,8.5,-7.8,2.3,722802,
"Chemicals, Petroleum Refining",2006434,1598198,1217691,1596520,25.5,31.2,-23.7,7.9,408236,Manufacturing
Pharmaceuticals,2219271,2052428,1983620,2055035,8.1,3.5,-3.5,2.6,166843,Manufacturing
Transportation Equipment,1042731,1075113,787838,951317,-3.0,36.5,-17.2,3.1,-32382,Manufacturing
Food & Beverage Products,1904544,1587599,1699825,1855005,20.0,-6.6,-8.4,0.9,316945,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",1005067,1023741,927111,916304,-1.8,10.4,1.2,3.1,-18674,Manufacturing
Metal Manufacturing,663880,826298,790198,759370,-19.7,4.6,4.1,-4.4,-162418,Manufacturing
Miscellaneous Manufacturing,2330392,2286141,2227090,2313013,1.9,2.7,-3.7,0.2,44251,Manufacturing
Public Utilities,1121304,896949,1051850,1070879,25.0,-14.7,-1.8,1.5,224355,
Transportation and Warehousing,6904093,6636664,5520152,5345613,4.0,20.2,3.3,8.9,267429,
Telecommunication,5352759,4744655,3066205,2839560,12.8,54.7,8.0,23.5,608104,
"Publishing, Broadcasting, and Other Information",3022375,2723518,2282320,2143094,11.0,19.3,6.5,12.1,298856,
Wholesale Trade,4278476,4338710,4355169,4333720,-1.4,-0.4,0.5,-0.4,-60234,
Retail Trade,10316949,9785361,8922079,8542700,5.4,9.7,4.4,6.5,531588,
Banking & Credit Unions,3414760,3504873,2893413,3059752,-2.6,21.1,-5.4,3.7,-90113,
Securities / Financial Investments,3423001,3260588,3115059,3250566,5.0,4.7,-4.2,1.7,162413,
Insurance,5612384,5544833,5134920,4674193,1.2,8.0,9.9,6.3,67551,
"Real Estate, Rental and Leasing",2993944,3019902,2771129,2712542,-0.9,9.0,2.2,3.3,-25958,
Health and Social Services,47370998,43850632,36953102,33543207,8.0,18.7,10.2,12.2,3520365,
Hospitals,23151831,22239036,18402097,16348905,4.1,20.9,12.6,12.3,912795,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",4903039,5043749,4529612,4422918,-2.8,11.4,2.4,3.5,-140710,Health and Social Services
Outpatient Care Centers and Other Health Services,7654844,7123575,5995244,5473960,7.5,18.8,9.5,11.8,531269,Health and Social Services
Nursing & Personal Care Facilities,4562931,4094688,3714303,3732286,11.4,10.2,-0.5,6.9,468244,Health and Social Services
Social Services,7098352,5349585,4311846,3565138,32.7,24.1,20.9,25.8,1748768,Health and Social Services
Education,18035315,14040563,15749094,15886716,28.5,-10.8,-0.9,4.3,3994753,
College and Universities,13677484,10090979,12013073,12251600,35.5,-16.0,-1.9,3.7,3586505,Education
"Elementary, Secondary Schools",2843063,2733872,2499582,2436082,4.0,9.4,2.6,5.3,109192,Education
Other Educational Services,1514768,1215712,1236440,1199034,24.6,-1.7,3.1,8.1,299056,Education
Professional Services,25447286,22524933,21396651,20237825,13.0,5.3,5.7,7.9,2922353,
Legal Services,6866398,6289980,5887982,5700784,9.2,6.8,3.3,6.4,576418,Professional Services
Management Consulting,5097731,4341515,4016891,3916996,17.4,8.1,2.6,9.2,756217,Professional Services
Engineering & Architectural Services,2682258,2379011,2270818,2264747,12.7,4.8,0.3,5.8,303247,Professional Services
Computer,2801530,2167500,2012908,1887726,29.3,7.7,6.6,14.1,634030,Professional Services
"Accounting, Auditing, Bookkeeping",3417070,3115497,2863482,2694928,9.7,8.8,6.3,8.2,301573,Professional Services
Advertising and Other Professional Services,4582298,4231429,4344570,3772645,8.3,-2.6,15.2,6.7,350868,Professional Services
Hotels,1277344,1281928,981971,960644,-0.4,30.5,2.2,10.0,-4585,
Restaurants,6479299,5772095,5360382,5007616,12.3,7.7,7.0,9.0,707204,
Sport Teams,2449505,2497099,2286038,2070043,-1.9,9.2,10.4,5.8,-47595,
"Arts, Entertainment, and Other Recreation",1755300,1670479,1511367,1572137,5.1,10.5,-3.9,3.7,84821,
Other Sectors,16309768,15275967,14845399,13949325,6.8,2.9,6.4,5.3,1033801,
Membership Organizations,4235904,4206454,4091765,4017540,0.7,2.8,1.8,1.8,29449,Other Sectors
Employment/Outsourcing Agencies,3443669,3314283,2975262,2754977,3.9,11.4,8.0,7.7,129386,Other Sectors
Security and Investigation Services,867188,803411,850085,900233,7.9,-5.5,-5.6,-1.2,63777,Other Sectors
Services to Buildings,1280166,1213348,1284936,1225892,5.5,-5.6,4.8,1.5,66818,Other Sectors
Miscellaneous Sectors,6482841,5738471,5643352,5050683,13.0,1.7,11.7,8.7,744370,Other Sectors
Government,17810683,16394442,18580980,13721965,8.6,-11.8,35.4,9.1,1416241,
State Government (PA),1076178,1029521,1188589,1170922,4.5,-13.4,1.5,-2.8,46656,Government
"City, School District, Local Quasi Govt.",13195906,9990085,11980506,9087381,32.1,-16.6,31.8,13.2,3205821,Government
Federal Government,3266610,5110964,5175307,3211082,-36.1,-1.2,61.2,0.6,-1844354,Government
Other Governments,271989,263871,236579,252580,3.1,11.5,-6.3,2.5,8118,Government
Unclassified Accounts,310030,326069,247964,202294,-4.9,31.5,22.6,15.3,-16039,
