sector,nov_2017,nov_2016,nov_2015,nov_2014,growth_yoy_2017,growth_yoy_2016,growth_yoy_2015,growth_3yr,net_change,parent_sector
Construction,5300035,5268789,6017748,4903088,0.6,-12.4,22.7,2.6,31246,
Manufacturing,8549699,8324622,9578394,8191571,2.7,-13.1,16.9,1.4,225078,
"Chemicals, Petroleum Refining",1762478,1594950,1562569,1577725,10.5,2.1,-1.0,3.8,167528,Manufacturing
Pharmaceuticals,1439074,1377464,1973847,1337054,4.5,-30.2,47.6,2.5,61610,Manufacturing
Transportation Equipment,886705,941524,870305,830116,-5.8,8.2,4.8,2.2,-54819,Manufacturing
Food & Beverage Products,1481800,1311120,1377273,1144828,13.0,-4.8,20.3,9.0,170680,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",628649,676060,848775,792113,-7.0,-20.3,7.2,-7.4,-47412,Manufacturing
Metal Manufacturing,686041,720690,688928,701399,-4.8,4.6,-1.8,-0.7,-34649,Manufacturing
Miscellaneous Manufacturing,1664952,1702814,2256696,1808336,-2.2,-24.5,24.8,-2.7,-37861,Manufacturing
Public Utilities,935931,894825,1036566,967306,4.6,-13.7,7.2,-1.1,41107,
Transportation and Warehousing,5704392,5179419,4964697,4331916,10.1,4.3,14.6,9.6,524972,
Telecommunication,4513768,4227298,3183124,2421804,6.8,32.8,31.4,23.1,286471,
"Publishing, Broadcasting, and Other Information",1885926,1726670,2417429,1787274,9.2,-28.6,35.3,1.8,159256,
Wholesale Trade,3072243,3021323,4379916,3096181,1.7,-31.0,41.5,-0.3,50920,
Retail Trade,6976112,7151409,8101867,6705125,-2.5,-11.7,20.8,1.3,-175296,
Banking & Credit Unions,2941157,2847315,2923790,2493936,3.3,-2.6,17.2,5.7,93842,
Securities / Financial Investments,3257871,2902314,2978626,2704075,12.3,-2.6,10.2,6.4,355557,
Insurance,5299156,4831539,4516370,3692764,9.7,7.0,22.3,12.8,467617,
"Real Estate, Rental and Leasing",1968825,1849100,2476660,1830917,6.5,-25.3,35.3,2.5,119725,
Health and Social Services,34968463,32230622,32410383,29748487,8.5,-0.6,8.9,5.5,2737841,
Hospitals,19554269,17146180,15977666,15786191,14.0,7.3,1.2,7.4,2408089,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",3958639,4147908,4680584,3614734,-4.6,-11.4,29.5,3.1,-189269,Health and Social Services
Outpatient Care Centers and Other Health Services,5191297,5051156,5228900,4841053,2.8,-3.4,8.0,2.4,140140,Health and Social Services
Nursing & Personal Care Facilities,3084865,2950779,3300062,2951697,4.5,-10.6,11.8,1.5,134086,Health and Social Services
Social Services,3179394,2934597,3223171,2554811,8.3,-9.0,26.2,7.6,244796,Health and Social Services
Education,17285044,15911980,15658124,14687378,8.6,1.6,6.6,5.6,1373064,
College and Universities,14053664,12786707,12099715,11518234,9.9,5.7,5.0,6.9,1266957,Education
"Elementary, Secondary Schools",2304794,2127327,2390854,2194570,8.3,-11.0,8.9,1.6,177468,Education
Other Educational Services,926586,997947,1167555,974574,-7.2,-14.5,19.8,-1.7,-71361,Education
Professional Services,18090904,15265473,19244806,13468790,18.5,-20.7,42.9,10.3,2825431,
Legal Services,7957521,5353748,5718593,4734995,48.6,-6.4,20.8,18.9,2603773,Professional Services
Management Consulting,2764314,2694532,4532725,2595457,2.6,-40.6,74.6,2.1,69782,Professional Services
Engineering & Architectural Services,1767792,1748945,2115328,1634813,1.1,-17.3,29.4,2.6,18847,Professional Services
Computer,1350531,1330393,1829055,1166783,1.5,-27.3,56.8,5.0,20139,Professional Services
"Accounting, Auditing, Bookkeeping",1839241,1903033,1875418,1491087,-3.4,1.5,25.8,7.2,-63792,Professional Services
Advertising and Other Professional Services,2411505,2234822,3173688,1845655,7.9,-29.6,72.0,9.3,176682,Professional Services
Hotels,988434,956429,997040,1012410,3.3,-4.1,-1.5,-0.8,32004,
Restaurants,4090503,3940064,5163087,3642706,3.8,-23.7,41.7,3.9,150439,
Sport Teams,2202234,1919141,1777645,1504172,14.8,8.0,18.2,13.6,283093,
"Arts, Entertainment, and Other Recreation",1233559,1156517,1322106,992426,6.7,-12.5,33.2,7.5,77043,
Other Sectors,10648973,10703387,12900962,9676370,-0.5,-17.0,33.3,3.2,-54414,
Membership Organizations,2701014,2868401,3402116,2825911,-5.8,-15.7,20.4,-1.5,-167387,Other Sectors
Employment/Outsourcing Agencies,2751307,2748279,2953275,2249952,0.1,-6.9,31.3,6.9,3028,Other Sectors
Security and Investigation Services,735765,758217,721823,665440,-3.0,5.0,8.5,3.4,-22452,Other Sectors
Services to Buildings,888945,973634,1190291,957448,-8.7,-18.2,24.3,-2.4,-84689,Other Sectors
Miscellaneous Sectors,3571943,3354857,4633456,2977618,6.5,-27.6,55.6,6.3,217086,Other Sectors
Government,14478199,16325744,16016542,13567141,-11.3,1.9,18.1,2.2,-1847545,
State Government (PA),949563,993892,1145639,1153433,-4.5,-13.2,-0.7,-6.3,-44328,Government
"City, School District, Local Quasi Govt.",9527724,11401974,10885171,8597928,-16.4,4.7,26.6,3.5,-1874250,Government
Federal Government,3845281,3775718,3746780,3675833,1.8,0.8,1.9,1.5,69563,Government
Other Governments,155630,154160,238952,139947,1.0,-35.5,70.7,3.6,1471,Government
Unclassified Accounts,294413,153275,213411,202278,92.1,-28.2,5.5,13.3,141138,
