sector,jan_2021,jan_2020,jan_2019,jan_2018,growth_yoy_2021,growth_yoy_2020,growth_yoy_2019,growth_3yr,net_change,parent_sector
Construction,5834701,8445777,7672755,7625958,-30.9,10.1,0.6,-8.5,-2611077,
Manufacturing,8886275,22356551,11242809,11818874,-60.3,98.9,-4.9,-9.1,-13470277,
"Chemicals, Petroleum Refining",1155032,1581528,1794720,1835931,-27.0,-11.9,-2.2,-14.3,-426496,Manufacturing
Pharmaceuticals,1811798,12923059,2157877,2409528,-86.0,498.9,-10.4,-9.1,-11111261,Manufacturing
Transportation Equipment,792357,1071081,997954,955189,-26.0,7.3,4.5,-6.0,-278724,Manufacturing
Food & Beverage Products,1510806,1977386,1636373,1825715,-23.6,20.8,-10.4,-6.1,-466580,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",725876,998147,1109387,1063788,-27.3,-10.0,4.3,-12.0,-272271,Manufacturing
Metal Manufacturing,586999,895077,923690,974160,-34.4,-3.1,-5.2,-15.5,-308078,Manufacturing
Miscellaneous Manufacturing,2303407,2910274,2622807,2754563,-20.9,11.0,-4.8,-5.8,-606867,Manufacturing
Public Utilities,1125216,1280291,1364287,1083826,-12.1,-6.2,25.9,1.3,-155075,
Transportation and Warehousing,5444396,7140219,6718203,6791559,-23.8,6.3,-1.1,-7.1,-1695823,
Telecommunication,2285974,4073753,4263657,4154381,-43.9,-4.5,2.6,-18.1,-1787780,
"Publishing, Broadcasting, and Other Information",2165277,3014317,3025155,2624668,-28.2,-0.4,15.3,-6.2,-849041,
Wholesale Trade,4497890,5535714,5215919,5629105,-18.7,6.1,-7.3,-7.2,-1037824,
Retail Trade,8542316,10947721,10349257,10224730,-22.0,5.8,1.2,-5.8,-2405405,
Banking & Credit Unions,2990936,3704936,3557968,3708040,-19.3,4.1,-4.0,-6.9,-713999,
Securities / Financial Investments,4525595,5824718,6148401,6288497,-22.3,-5.3,-2.2,-10.4,-1299123,
Insurance,3587454,6002220,5803237,5872292,-40.2,3.4,-1.2,-15.1,-2414766,
"Real Estate, Rental and Leasing",2535643,4133749,3486846,3729439,-38.7,18.6,-6.5,-12.1,-1598106,
Health and Social Services,39515795,48676472,45318964,42314195,-18.8,7.4,7.1,-2.3,-9160677,
Hospitals,18564518,22159911,21387133,20100840,-16.2,3.6,6.4,-2.6,-3595394,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",5392573,6110322,6145318,6136667,-11.7,-0.6,0.1,-4.2,-717749,Health and Social Services
Outpatient Care Centers and Other Health Services,6267932,7650884,7600761,6792459,-18.1,0.7,11.9,-2.6,-1382952,Health and Social Services
Nursing & Personal Care Facilities,3634459,4985386,4199100,4100743,-27.1,18.7,2.4,-3.9,-1350926,Health and Social Services
Social Services,5656313,7769968,5986652,5183486,-27.2,29.8,15.5,3.0,-2113656,Health and Social Services
Education,12958865,15749665,14971881,14819771,-17.7,5.2,1.0,-4.4,-2790799,
College and Universities,9146526,11226216,10791896,10429106,-18.5,4.0,3.5,-4.3,-2079691,Education
"Elementary, Secondary Schools",2722097,2970909,2822025,2964080,-8.4,5.3,-4.8,-2.8,-248812,Education
Other Educational Services,1090242,1552540,1357960,1426586,-29.8,14.3,-4.8,-8.6,-462297,Education
Professional Services,28488624,38364102,35021396,34436859,-25.7,9.5,1.7,-6.1,-9875478,
Legal Services,12820538,17284660,16560314,16804150,-25.8,4.4,-1.5,-8.6,-4464122,Professional Services
Management Consulting,4447110,6250296,5384666,5366176,-28.8,16.1,0.3,-6.1,-1803187,Professional Services
Engineering & Architectural Services,3687111,3565483,3026366,2969538,3.4,17.8,1.9,7.5,121627,Professional Services
Computer,1757454,2731167,2233967,2157520,-35.7,22.3,3.5,-6.6,-973714,Professional Services
"Accounting, Auditing, Bookkeeping",1910663,2231754,2572736,2526375,-14.4,-13.3,1.8,-8.9,-321091,Professional Services
Advertising and Other Professional Services,3865749,6300740,5243346,4613100,-38.6,20.2,13.7,-5.7,-2434991,Professional Services
Hotels,377028,1190275,1105781,1137738,-68.3,7.6,-2.8,-30.8,-813248,
Restaurants,2946721,6460379,6149086,5373802,-54.4,5.1,14.4,-18.1,-3513658,
Sport Teams,1270870,2262717,2201578,3001310,-43.8,2.8,-26.6,-24.9,-991848,
"Arts, Entertainment, and Other Recreation",887248,1866466,1533462,1560552,-52.5,21.7,-1.7,-17.2,-979218,
Other Sectors,11928724,18321379,16896453,16382782,-34.9,8.4,3.1,-10.0,-6392655,
Membership Organizations,3473173,4980832,4515130,4414282,-30.3,10.3,2.3,-7.7,-1507658,Other Sectors
Employment/Outsourcing Agencies,2399547,3920266,3618798,3392760,-38.8,8.3,6.7,-10.9,-1520719,Other Sectors
Security and Investigation Services,927090,942931,854687,919187,-1.7,10.3,-7.0,0.3,-15840,Other Sectors
Services to Buildings,970569,1343112,1234613,1350720,-27.7,8.8,-8.6,-10.4,-372543,Other Sectors
Miscellaneous Sectors,4158344,7134238,6673224,6305832,-41.7,6.9,5.8,-13.0,-2975894,Other Sectors
Government,28991949,29554795,29077335,28214088,-1.9,1.6,3.1,0.9,-562847,
State Government (PA),1302011,1079934,1037105,1193291,20.6,4.1,-13.1,2.9,222077,Government
"City, School District, Local Quasi Govt.",10339220,12100595,14846014,11850008,-14.6,-18.5,25.3,-4.4,-1761375,Government
Federal Government,17168327,16057908,12887944,14880360,6.9,24.6,-13.4,4.9,1110419,Government
Other Governments,182390,316358,306272,290429,-42.3,3.3,5.5,-14.4,-133968,Government
Unclassified Accounts,494978,143116,158127,137893,245.9,-9.5,14.7,53.1,351862,
