sector,oct_2015,oct_2014,oct_2013,oct_2012,growth_yoy_2015,growth_yoy_2014,growth_yoy_2013,growth_3yr,net_change,parent_sector
Construction,5172007,5533330,4726778,3393216,-6.5,17.1,39.3,15.1,-361323,
Manufacturing,7678309,9657085,9356744,8575979,-20.5,3.2,9.1,-3.6,-1978776,
"Chemicals, Petroleum Refining",1387860,1498120,1514466,2517734,-7.4,-1.1,-39.8,-18.0,-110260,Manufacturing
Pharmaceuticals,1246785,2163020,1986736,1407093,-42.4,8.9,41.2,-4.0,-916234,Manufacturing
Transportation Equipment,821555,941868,967189,732622,-12.8,-2.6,32.0,3.9,-120313,Manufacturing
Food & Beverage Products,1177328,1429639,1437777,1108646,-17.6,-0.6,29.7,2.0,-252310,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",840378,822304,830798,628855,2.2,-1.0,32.1,10.1,18075,Manufacturing
Metal Manufacturing,619659,664932,663086,599658,-6.8,0.3,10.6,1.1,-45272,Manufacturing
Miscellaneous Manufacturing,1584743,2137203,1956692,1581372,-25.8,9.2,23.7,0.1,-552461,Manufacturing
Public Utilities,873839,1142899,1122021,812353,-23.5,1.9,38.1,2.5,-269060,
Transportation and Warehousing,4209127,5272441,5122274,3903658,-20.2,2.9,31.2,2.5,-1063314,
Telecommunication,2397209,2414244,2269445,2288966,-0.7,6.4,-0.9,1.6,-17034,
"Publishing, Broadcasting, and Other Information",1767605,2237230,2315530,1659407,-21.0,-3.4,39.5,2.1,-469625,
Wholesale Trade,2835795,3793681,3498433,2525806,-25.2,8.4,38.5,3.9,-957886,
Retail Trade,6276122,7553702,7010447,5556901,-16.9,7.7,26.2,4.1,-1277580,
Banking & Credit Unions,2385712,2678920,2765458,2435039,-10.9,-3.1,13.6,-0.7,-293208,
Securities / Financial Investments,2799929,3033294,2753384,2620869,-7.7,10.2,5.1,2.2,-233365,
Insurance,4621236,4780193,4722876,3741949,-3.3,1.2,26.2,7.3,-158957,
"Real Estate, Rental and Leasing",1925724,2322693,1981736,1668382,-17.1,17.2,18.8,4.9,-396969,
Health and Social Services,28724002,30083709,29165568,24021790,-4.5,3.1,21.4,6.1,-1359707,
Hospitals,16180458,15801539,15436522,13341154,2.4,2.4,15.7,6.6,378919,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",3216063,4092137,4307449,2971952,-21.4,-5.0,44.9,2.7,-876074,Health and Social Services
Outpatient Care Centers and Other Health Services,4098989,4383807,3936413,3266004,-6.5,11.4,20.5,7.9,-284817,Health and Social Services
Nursing & Personal Care Facilities,2853846,3018240,2992459,2351724,-5.4,0.9,27.2,6.7,-164394,Health and Social Services
Social Services,2374646,2787986,2492724,2090956,-14.8,11.8,19.2,4.3,-413341,Health and Social Services
Education,14240080,14412398,13453488,12202605,-1.2,7.1,10.3,5.3,-172318,
College and Universities,11453872,11141470,10234579,9685090,2.8,8.9,5.7,5.8,312402,Education
"Elementary, Secondary Schools",1828080,2236658,2148941,1674205,-18.3,4.1,28.4,3.0,-408578,Education
Other Educational Services,958128,1034270,1069967,843310,-7.4,-3.3,26.9,4.3,-76142,Education
Professional Services,13946736,17110163,16058235,12072464,-18.5,6.6,33.0,4.9,-3163427,
Legal Services,4519122,5656366,5567248,4289523,-20.1,1.6,29.8,1.8,-1137244,Professional Services
Management Consulting,2692006,3538560,3049110,2451315,-23.9,16.1,24.4,3.2,-846554,Professional Services
Engineering & Architectural Services,1544817,1742009,1710005,1264242,-11.3,1.9,35.3,6.9,-197191,Professional Services
Computer,1216327,1567219,1473733,1005913,-22.4,6.3,46.5,6.5,-350892,Professional Services
"Accounting, Auditing, Bookkeeping",2072670,1954111,1765775,1575735,6.1,10.7,12.1,9.6,118559,Professional Services
Advertising and Other Professional Services,1901794,2651897,2492363,1485735,-28.3,6.4,67.8,8.6,-750104,Professional Services
Hotels,842645,1040619,1006364,905446,-19.0,3.4,11.1,-2.4,-197973,
Restaurants,3696664,4649363,4258067,2808206,-20.5,9.2,51.6,9.6,-952699,
Sport Teams,1773947,1987074,1962337,1242739,-10.7,1.3,57.9,12.6,-213126,
"Arts, Entertainment, and Other Recreation",964742,1266823,1216660,946040,-23.8,4.1,28.6,0.7,-302081,
Other Sectors,9609107,11564511,10679785,7614786,-16.9,8.3,40.3,8.1,-1955404,
Membership Organizations,2750038,3189769,2991215,2292183,-13.8,6.6,30.5,6.3,-439731,Other Sectors
Employment/Outsourcing Agencies,2248951,2479511,2217770,1659741,-9.3,11.8,33.6,10.7,-230560,Other Sectors
Security and Investigation Services,667630,729382,911797,555695,-8.5,-20.0,64.1,6.3,-61752,Other Sectors
Services to Buildings,840635,1142856,1045580,812361,-26.4,9.3,28.7,1.1,-302220,Other Sectors
Miscellaneous Sectors,3101853,4022993,3513422,2294806,-22.9,14.5,53.1,10.6,-921140,Other Sectors
Government,23161591,24368264,22842429,21337366,-5.0,6.7,7.1,2.8,-1206673,
State Government (PA),924070,928367,933441,905632,-0.5,-0.5,3.1,0.7,-4297,Government
"City, School District, Local Quasi Govt.",9280231,10679623,10551324,8727108,-13.1,1.2,20.9,2.1,-1399392,Government
Federal Government,12781981,12518518,11158593,11522585,2.1,12.2,-3.2,3.5,263463,Government
Other Governments,175308,241755,199071,182041,-27.5,21.4,9.4,-1.2,-66447,Government
Unclassified Accounts,311725,317098,307566,152278,-1.7,3.1,102.0,27.0,-5373,
