sector,jun_2015,jun_2014,jun_2013,jun_2012,growth_yoy_2015,growth_yoy_2014,growth_yoy_2013,growth_3yr,net_change,parent_sector
Construction,4108964.0,3760210,3586377,3212585.0,9.3,4.8,11.6,8.5,348754.0,
Manufacturing,7547781.0,7832444,7556641,8229318.0,-3.6,3.6,-8.2,-2.8,-284663.0,
"Chemicals, Petroleum Refining",1441056.0,1413488,1362747,1417175.0,2.0,3.7,-3.8,0.6,27567.0,Manufacturing
Pharmaceuticals,1263131.0,1555544,1306262,2240533.0,-18.8,19.1,-41.7,-17.4,-292413.0,Manufacturing
Transportation Equipment,813770.0,738120,874908,763405.0,10.2,-15.6,14.6,2.2,75649.0,Manufacturing
Food & Beverage Products,1112133.0,1087845,1054235,1022753.0,2.2,3.2,3.1,2.8,24288.0,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",701348.0,660592,605589,620474.0,6.2,9.1,-2.4,4.2,40756.0,Manufacturing
Metal Manufacturing,630344.0,653672,618261,602886.0,-3.6,5.7,2.6,1.5,-23328.0,Manufacturing
Miscellaneous Manufacturing,1586000.0,1723182,1734639,1562092.0,-8.0,-0.7,11.0,0.5,-137182.0,Manufacturing
Public Utilities,444512.0,939750,1030053,863817.0,-52.7,-8.8,19.2,-19.9,-495238.0,
Transportation and Warehousing,4274619.0,4139295,3928256,3433962.0,3.3,5.4,14.4,7.6,135324.0,
Telecommunication,2334495.0,2082177,2211636,2895286.0,12.1,-5.9,-23.6,-6.9,252319.0,
"Publishing, Broadcasting, and Other Information",1522920.0,1684338,1790500,1794467.0,-9.6,-5.9,-0.2,-5.3,-161418.0,
Wholesale Trade,2773467.0,2876997,2834280,2467493.0,-3.6,1.5,14.9,4.0,-103530.0,
Retail Trade,6101184.0,5961194,5949073,5136597.0,2.3,0.2,15.8,5.9,139991.0,
Banking & Credit Unions,2243998.0,2445775,2532610,2499614.0,-8.3,-3.4,1.3,-3.5,-201777.0,
Securities / Financial Investments,,2486912,2179669,-2249.9,-110.9,14.1,39.0,6122846.0,,
Insurance,3216873.0,3838512,3596875,3379066.0,-16.2,6.7,6.4,-1.6,-621639.0,
"Real Estate, Rental and Leasing",1728634.0,1736996,1694309,1453002.0,-0.5,2.5,16.6,6.0,-8363.0,
Health and Social Services,25871545.0,25785536,25659267,24621902.0,0.3,0.5,4.2,1.7,86008.0,
Hospitals,13513735.0,14003608,14100038,13905304.0,-3.5,-0.7,1.4,-0.9,-489873.0,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",3015064.0,3002588,3019236,2773544.0,0.4,-0.6,8.9,2.8,12476.0,Health and Social Services
Outpatient Care Centers and Other Health Services,4284329.0,3579608,3467469,3085405.0,19.7,3.2,12.4,11.6,704722.0,Health and Social Services
Nursing & Personal Care Facilities,2687180.0,2849415,2849261,2525979.0,-5.7,0.0,12.8,2.1,-162235.0,Health and Social Services
Social Services,2371237.0,2350317,2223264,2331670.0,0.9,5.7,-4.6,0.6,20920.0,Health and Social Services
Education,13219602.0,12715765,12235497,11228601.0,4.0,3.9,9.0,5.6,503836.0,
