sector,nov_2015,nov_2014,nov_2013,nov_2012,growth_yoy_2015,growth_yoy_2014,growth_yoy_2013,growth_3yr,net_change,parent_sector
Construction,5999063,4903088,4115771,4528940,22.4,19.1,-9.1,9.8,1095976,
Manufacturing,9442461,8183740,7673313,8937264,15.4,6.7,-14.1,1.8,1258722,
"Chemicals, Petroleum Refining",1563394,1577725,1470567,1528944,-0.9,7.3,-3.8,0.7,-14330,Manufacturing
Pharmaceuticals,1851161,1329223,1310859,1737755,39.3,1.4,-24.6,2.1,521939,Manufacturing
Transportation Equipment,869811,830116,806707,890958,4.8,2.9,-9.5,-0.8,39695,Manufacturing
Food & Beverage Products,1375125,1144828,1097861,1300528,20.1,4.3,-15.6,1.9,230297,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",854939,792113,675305,802059,7.9,17.3,-15.8,2.2,62826,Manufacturing
Metal Manufacturing,693795,701399,619755,699329,-1.1,13.2,-11.4,-0.3,-7605,Manufacturing
Miscellaneous Manufacturing,2234236,1808336,1692260,1977692,23.6,6.9,-14.4,4.1,425900,Manufacturing
Public Utilities,1026367,967306,925800,1070439,6.1,4.5,-13.5,-1.4,59061,
Transportation and Warehousing,4940022,4331916,3804072,4182869,14.0,13.9,-9.1,5.7,608106,
Telecommunication,3167212,2421804,2235979,2378140,30.8,8.3,-6.0,10.0,745409,
"Publishing, Broadcasting, and Other Information",2403834,1787274,1757476,895621,34.5,1.7,96.2,39.0,616560,
Wholesale Trade,4395139,3096181,2772553,3347572,42.0,11.7,-17.2,9.5,1298958,
Retail Trade,8019288,6664223,5786793,6919489,20.3,15.2,-16.4,5.0,1355065,
Banking & Credit Unions,2909806,2493936,2486930,2700960,16.7,0.3,-7.9,2.5,415870,
Securities / Financial Investments,2979579,2704075,2532144,2613239,10.2,6.8,-3.1,4.5,275504,
Insurance,4505907,3692764,3856592,4513396,22.0,-4.2,-14.6,-0.1,813144,
"Real Estate, Rental and Leasing",2476276,1830917,1653332,1917752,35.2,10.7,-13.8,8.9,645358,
Health and Social Services,32325220,29748487,27471377,30048688,8.7,8.3,-8.6,2.5,2576734,
Hospitals,15966488,15786191,15337800,16788192,1.1,2.9,-8.6,-1.7,180296,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",4643255,3614734,3159112,4125920,28.5,14.4,-23.4,4.0,1028522,Health and Social Services
Outpatient Care Centers and Other Health Services,5222387,4841053,4394852,3849579,7.9,10.2,14.2,10.7,381334,Health and Social Services
Nursing & Personal Care Facilities,3290202,2951697,2605355,2703168,11.5,13.3,-3.6,6.8,338505,Health and Social Services
Social Services,3202888,2554811,1974258,2581830,25.4,29.4,-23.5,7.4,648077,Health and Social Services
Education,15648244,14687378,13592723,13322932,6.5,8.1,2.0,5.5,960866,
College and Universities,12099704,11518234,10771548,10287362,5.0,6.9,4.7,5.6,581470,Education
"Elementary, Secondary Schools",2378558,2194570,1873942,2000428,8.4,17.1,-6.3,5.9,183987,Education
Other Educational Services,1169982,974574,947234,1035142,20.1,2.9,-8.5,4.2,195408,Education
Professional Services,19089017,13476621,12952562,15380380,41.6,4.0,-15.8,7.5,5612395,
Legal Services,5707958,4734995,4545190,5563349,20.5,4.2,-18.3,0.9,972963,Professional Services
Management Consulting,4493719,2595457,2864237,3100008,73.1,-9.4,-7.6,13.2,1898262,Professional Services
Engineering & Architectural Services,2107489,1634813,1453658,1739501,28.9,12.5,-16.4,6.6,472676,Professional Services
Computer,1792837,1166783,1186284,1478431,53.7,-1.6,-19.8,6.6,626053,Professional Services
"Accounting, Auditing, Bookkeeping",1870780,1491087,1306518,1283192,25.5,14.1,1.8,13.4,379694,Professional Services
Advertising and Other Professional Services,3116234,1853486,1596675,2215899,68.1,16.1,-27.9,12.0,1262747,Professional Services
Hotels,996792,1012410,855991,1047399,-1.5,18.3,-18.3,-1.6,-15617,
Restaurants,5133121,3642706,3546043,4256215,40.9,2.7,-16.7,6.4,1490415,
Sport Teams,1744223,1504172,1539680,1514231,16.0,-2.3,1.7,4.8,240051,
"Arts, Entertainment, and Other Recreation",1320060,992426,905506,1027776,33.0,9.6,-11.9,8.7,327634,
Other Sectors,12971982,9717272,8735831,10129047,33.5,11.2,-13.8,8.6,3254710,
Membership Organizations,3397295,2825911,2513891,2926482,20.2,12.4,-14.1,5.1,571384,Other Sectors
Employment/Outsourcing Agencies,2919211,2249952,2047482,2429520,29.7,9.9,-15.7,6.3,669259,Other Sectors
Security and Investigation Services,717003,665440,530881,762164,7.7,25.3,-30.3,-2.0,51562,Other Sectors
Services to Buildings,1147773,957448,869965,1041199,19.9,10.1,-16.4,3.3,190325,Other Sectors
Miscellaneous Sectors,4790700,3018521,2773612,2969682,58.7,8.8,-6.6,17.3,1772179,Other Sectors
Government,16020535,13567141,15546022,16425681,18.1,-12.7,-5.4,-0.8,2453394,
State Government (PA),1145453,1153433,919730,906206,-0.7,25.4,1.5,8.1,-7980,Government
"City, School District, Local Quasi Govt.",10885171,8597928,10342442,10941834,26.6,-16.9,-5.5,-0.2,2287243,Government
Federal Government,3752502,3675833,4133179,4389062,2.1,-11.1,-5.8,-5.1,76669,Government
Other Governments,237408,139947,150671,188579,69.6,-7.1,-20.1,8.0,97461,Government
Unclassified Accounts,573201,202278,184266,352362,183.4,9.8,-47.7,17.6,370923,
