sector,aug_2017,aug_2016,aug_2015,aug_2014,growth_yoy_2017,growth_yoy_2016,growth_yoy_2015,growth_3yr,net_change,parent_sector
Construction,5251333,6368355,5297713,4369914,-17.5,20.2,21.2,6.3,-1117022,
Manufacturing,8093888,9874614,8698110,7868612,-18.0,13.5,10.5,0.9,-1780726,
"Chemicals, Petroleum Refining",1431993,1592401,1585030,1379927,-10.1,0.5,14.9,1.2,-160408,Manufacturing
Pharmaceuticals,1425248,1756956,1496353,1572794,-18.9,17.4,-4.9,-3.2,-331708,Manufacturing
Transportation Equipment,896256,1027496,801073,819033,-12.8,28.3,-2.2,3.0,-131240,Manufacturing
Food & Beverage Products,1297578,1588909,1147819,1056762,-18.3,38.4,8.6,7.1,-291331,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",641094,870642,739820,687797,-26.4,17.7,7.6,-2.3,-229548,Manufacturing
Metal Manufacturing,669891,782762,706600,599837,-14.4,10.8,17.8,3.8,-112871,Manufacturing
Miscellaneous Manufacturing,1731828,2255447,2221415,1752463,-23.2,1.5,26.8,-0.4,-523619,Manufacturing
Public Utilities,1176296,1021596,971462,963471,15.1,5.2,0.8,6.9,154699,
Transportation and Warehousing,5534665,5598034,4444708,3945499,-1.1,25.9,12.7,11.9,-63369,
Telecommunication,3323569,3347528,2635466,2390209,-0.7,27.0,10.3,11.6,-23959,
"Publishing, Broadcasting, and Other Information",1743971,2317960,1688273,1613833,-24.8,37.3,4.6,2.6,-573988,
Wholesale Trade,3188609,4361385,3221521,2854219,-26.9,35.4,12.9,3.8,-1172776,
Retail Trade,6821672,8438311,6592883,5915139,-19.2,28.0,11.5,4.9,-1616639,
Banking & Credit Unions,2603891,3389416,2813731,2355402,-23.2,20.5,19.5,3.4,-785525,
Securities / Financial Investments,4018459,3665341,3172913,2947501,9.6,15.5,7.6,10.9,353118,
Insurance,4819534,5337788,4092420,3766117,-9.7,30.4,8.7,8.6,-518254,
"Real Estate, Rental and Leasing",2101530,2797021,1910205,1659206,-24.9,46.4,15.1,8.2,-695491,
Health and Social Services,30702514,36748241,28118029,27365439,-16.5,30.7,2.8,3.9,-6045728,
Hospitals,15593775,18444326,14888959,14736308,-15.5,23.9,1.0,1.9,-2850551,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",3807285,4820738,3668306,2945114,-21.0,31.4,24.6,8.9,-1013453,Health and Social Services
Outpatient Care Centers and Other Health Services,4934384,6356494,4152657,4634842,-22.4,53.1,-10.4,2.1,-1422110,Health and Social Services
Nursing & Personal Care Facilities,3095090,3415582,2843154,2756762,-9.4,20.1,3.1,3.9,-320492,Health and Social Services
Social Services,3271980,3711101,2564953,2292413,-11.8,44.7,11.9,12.6,-439121,Health and Social Services
Education,15164662,15203647,14058534,13365209,-0.3,8.1,5.2,4.3,-38985,
College and Universities,12226050,11777434,11192052,10799887,3.8,5.2,3.6,4.2,448616,Education
"Elementary, Secondary Schools",2063763,2303897,1940516,1809774,-10.4,18.7,7.2,4.5,-240134,Education
Other Educational Services,874849,1122316,925966,755549,-22.0,21.2,22.6,5.0,-247467,Education
Professional Services,15173379,19186075,14132518,12630270,-20.9,35.8,11.9,6.3,-4012695,
Legal Services,5183123,5758381,4693540,4324650,-10.0,22.7,8.5,6.2,-575258,Professional Services
Management Consulting,2840784,4063938,2824400,2421083,-30.1,43.9,16.7,5.5,-1223154,Professional Services
Engineering & Architectural Services,1660914,2221036,1592357,1390707,-25.2,39.5,14.5,6.1,-560123,Professional Services
Computer,1335908,1813352,1248144,1159486,-26.3,45.3,7.6,4.8,-477444,Professional Services
"Accounting, Auditing, Bookkeeping",1859369,2042752,1736251,1697577,-9.0,17.7,2.3,3.1,-183383,Professional Services
Advertising and Other Professional Services,2293282,3286616,2037825,1636768,-30.2,61.3,24.5,11.9,-993334,Professional Services
Hotels,985225,1132750,833092,930442,-13.0,36.0,-10.5,1.9,-147525,
Restaurants,4106099,5228392,3348638,3149979,-21.5,56.1,6.3,9.2,-1122293,
Sport Teams,1487810,1644219,923158,1139847,-9.5,78.1,-19.0,9.3,-156409,
"Arts, Entertainment, and Other Recreation",1239659,1482345,992259,894770,-16.4,49.4,10.9,11.5,-242686,
Other Sectors,10499299,13977416,10058626,9073359,-24.9,39.0,10.9,5.0,-3478116,
Membership Organizations,2765479,3811315,2889286,2662167,-27.4,31.9,8.5,1.3,-1045836,Other Sectors
Employment/Outsourcing Agencies,2702906,3020333,2392847,2127679,-10.5,26.2,12.5,8.3,-317427,Other Sectors
Security and Investigation Services,693735,769870,784381,690116,-9.9,-1.8,13.7,0.2,-76135,Other Sectors
Services to Buildings,896196,1302005,1041166,873565,-31.2,25.1,19.2,0.9,-405808,Other Sectors
Miscellaneous Sectors,3440983,5073893,2950946,2719831,-32.2,71.9,8.5,8.2,-1632909,Other Sectors
Government,18482716,17998990,14337861,14486549,2.7,25.5,-1.0,8.5,483726,
State Government (PA),1023245,1146358,1112715,935019,-10.7,3.0,19.0,3.1,-123113,Government
"City, School District, Local Quasi Govt.",13150045,11605200,8885155,8631520,13.3,30.6,2.9,15.1,1544845,Government
Federal Government,4115798,4975927,4180086,4778452,-17.3,19.0,-12.5,-4.9,-860129,Government
Other Governments,193628,271505,159906,141558,-28.7,69.8,13.0,11.0,-77877,Government
Unclassified Accounts,411385,248854,122267,221872,65.3,103.5,-44.9,22.9,162531,
