sector,may_2018,may_2017,may_2016,may_2015,growth_yoy_2018,growth_yoy_2017,growth_yoy_2016,growth_3yr,net_change,parent_sector
Construction,5262989,6190390,5945307,4542456,-15.0,4.1,30.9,5.0,-927401,
Manufacturing,9032875,9254033,9491926,8103307,-2.4,-2.5,17.1,3.7,-221158,
"Chemicals, Petroleum Refining",1979277,1227053,1139946,1603123,61.3,7.6,-28.9,7.3,752225,Manufacturing
Pharmaceuticals,1481904,1895796,1836981,1334915,-21.8,3.2,37.6,3.5,-413892,Manufacturing
Transportation Equipment,860434,938876,897880,848620,-8.4,4.6,5.8,0.5,-78442,Manufacturing
Food & Beverage Products,1295621,1324457,1345415,1308242,-2.2,-1.6,2.8,-0.3,-28836,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",660104,849283,843012,652759,-22.3,0.7,29.1,0.4,-189179,Manufacturing
Metal Manufacturing,714705,795775,1170393,583310,-10.2,-32.0,100.6,7.0,-81071,Manufacturing
Miscellaneous Manufacturing,2040830,2222792,2258298,1772336,-8.2,-1.6,27.4,4.8,-181962,Manufacturing
Public Utilities,976488,1058848,1031613,988349,-7.8,2.6,4.4,-0.4,-82360,
Transportation and Warehousing,5850589,5661990,4991118,4379191,3.3,13.4,14.0,10.1,188599,
Telecommunication,4955475,3752168,3076881,2929839,32.1,21.9,5.0,19.1,1203307,
"Publishing, Broadcasting, and Other Information",1957324,2173188,2334024,1836790,-9.9,-6.9,27.1,2.1,-215863,
Wholesale Trade,2993152,4444021,4319561,2841652,-32.6,2.9,52.0,1.7,-1450870,
Retail Trade,7716789,8320509,8209560,6442413,-7.3,1.4,27.4,6.2,-603720,
Banking & Credit Unions,3245911,3124006,3004573,2488594,3.9,4.0,20.7,9.3,121904,
Securities / Financial Investments,5340195,2206025,3076734,3228609,142.1,-28.3,-4.7,18.3,3134170,
Insurance,4945774,4688509,4721919,3919462,5.5,-0.7,20.5,8.1,257265,
"Real Estate, Rental and Leasing",2041083,2508632,2420252,1685188,-18.6,3.7,43.6,6.6,-467549,
Health and Social Services,32709881,33181958,31030759,25857749,-1.4,6.9,20.0,8.2,-472078,
Hospitals,16967892,15814963,15051535,14005458,7.3,5.1,7.5,6.6,1152929,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",3854948,4357430,4334194,3007650,-11.5,0.5,44.1,8.6,-502482,Health and Social Services
Outpatient Care Centers and Other Health Services,5316265,6174135,5256142,3703745,-13.9,17.5,41.9,12.8,-857870,Health and Social Services
Nursing & Personal Care Facilities,3151336,3109394,3005848,2767581,1.3,3.4,8.6,4.4,41942,Health and Social Services
Social Services,3419440,3726036,3383039,2373315,-8.2,10.1,42.5,12.9,-306596,Health and Social Services
Education,17888400,14634959,14424313,12923464,22.2,1.5,11.6,11.4,3253440,
College and Universities,14704170,10912945,10853895,10342309,34.7,0.5,4.9,12.4,3791224,Education
"Elementary, Secondary Schools",2252037,2606225,2401993,1682977,-13.6,8.5,42.7,10.2,-354188,Education
Other Educational Services,932193,1115789,1168426,898179,-16.5,-4.5,30.1,1.2,-183596,Education
Professional Services,16656576,19121412,18240700,13581176,-12.9,4.8,34.3,7.0,-2464836,
Legal Services,5856943,5377705,5193302,4459767,8.9,3.6,16.4,9.5,479238,Professional Services
Management Consulting,2930047,3711667,3678425,2539842,-21.1,0.9,44.8,4.9,-781620,Professional Services
Engineering & Architectural Services,1851969,2292185,2046984,1521614,-19.2,12.0,34.5,6.8,-440216,Professional Services
Computer,1510897,1824090,1848980,1298186,-17.2,-1.3,42.4,5.2,-313194,Professional Services
"Accounting, Auditing, Bookkeeping",1751879,2206394,2083972,1756748,-20.6,5.9,18.6,-0.1,-454515,Professional Services
Advertising and Other Professional Services,2754841,3709370,3389037,2005020,-25.7,9.5,69.0,11.2,-954529,Professional Services
Hotels,1007783,1002553,973555,825927,0.5,3.0,17.9,6.9,5230,
Restaurants,4504184,5034918,4777745,3496944,-10.5,5.4,36.6,8.8,-530734,
Sport Teams,1519179,1449494,941257,1412310,4.8,54.0,-33.4,2.5,69685,
"Arts, Entertainment, and Other Recreation",1236577,1275485,1332229,989543,-3.1,-4.3,34.6,7.7,-38909,
Other Sectors,10855664,13515032,12854653,9284979,-19.7,5.1,38.4,5.3,-2659368,
Membership Organizations,2797831,3590131,3634798,2652484,-22.1,-1.2,37.0,1.8,-792300,Other Sectors
Employment/Outsourcing Agencies,2593862,2908920,2554067,2196418,-10.8,13.9,16.3,5.7,-315058,Other Sectors
Security and Investigation Services,704650,787537,683494,598167,-10.5,15.2,14.3,5.6,-82887,Other Sectors
Services to Buildings,842717,979954,1090580,861918,-14.0,-10.1,26.5,-0.7,-137237,Other Sectors
Miscellaneous Sectors,3916604,5248489,4891714,2975991,-25.4,7.3,64.4,9.6,-1331885,Other Sectors
Government,17053553,16504295,16415878,14126656,3.3,0.5,16.2,6.5,549258,
State Government (PA),1029187,996934,1179022,978539,3.2,-15.4,20.5,1.7,32254,Government
"City, School District, Local Quasi Govt.",11954051,11350024,10915222,9486273,5.3,4.0,15.1,8.0,604027,Government
Federal Government,3868382,3950492,4117835,3346533,-2.1,-4.1,23.0,4.9,-82110,Government
Other Governments,201933,206846,203798,315311,-2.4,1.5,-35.4,-13.8,-4913,Government
Unclassified Accounts,410379,272915,211609,138383,50.4,29.0,52.9,43.7,137464,
