sector,nov_2020,nov_2019,nov_2018,nov_2017,growth_yoy_2020,growth_yoy_2019,growth_yoy_2018,growth_3yr,net_change,parent_sector
Construction,7022694,5800995,5650588,5287983,21.1,2.7,6.9,9.9,1221699,
Manufacturing,9793972,8111814,7816906,8555334,20.7,3.8,-8.6,4.6,1682158,
"Chemicals, Petroleum Refining",981573,1164442,1500182,1763503,-15.7,-22.4,-14.9,-17.7,-182869,Manufacturing
Pharmaceuticals,2346059,1656788,1423193,1439258,41.6,16.4,-1.1,17.7,689271,Manufacturing
Transportation Equipment,778512,670922,758024,886911,16.0,-11.5,-14.5,-4.3,107590,Manufacturing
Food & Beverage Products,1677433,1307976,1182821,1440696,28.2,10.6,-17.9,5.2,369457,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",1009783,719225,644366,629540,40.4,11.6,2.4,17.1,290558,Manufacturing
Metal Manufacturing,702479,648743,592835,686213,8.3,9.4,-13.6,0.8,53736,Manufacturing
Miscellaneous Manufacturing,2298133,1943717,1715485,1709213,18.2,13.3,0.4,10.4,354416,Manufacturing
Public Utilities,1192732,1123027,988355,936133,6.2,13.6,5.6,8.4,69705,
Transportation and Warehousing,5603647,5369296,5207395,5712807,4.4,3.1,-8.8,-0.6,234351,
Telecommunication,3265479,4143463,3795373,4513877,-21.2,9.2,-15.9,-10.2,-877984,
"Publishing, Broadcasting, and Other Information",2680426,2112320,1835532,1931079,26.9,15.1,-4.9,11.5,568107,
Wholesale Trade,4240414,3020395,2996341,3053662,40.4,0.8,-1.9,11.6,1220019,
Retail Trade,9961806,7583591,6800214,7018311,31.4,11.5,-3.1,12.4,2378215,
Banking & Credit Unions,3419587,2643300,2447928,2952572,29.4,8.0,-17.1,5.0,776287,
Securities / Financial Investments,3253644,4647328,3137307,3264088,-30.0,48.1,-3.9,-0.1,-1393685,
Insurance,3611227,5081938,4666134,5299975,-28.9,8.9,-12.0,-12.0,-1470711,
"Real Estate, Rental and Leasing",2716880,2156814,1896937,1985522,26.0,13.7,-4.5,11.0,560066,
Health and Social Services,43931174,33849647,31614227,35086665,29.8,7.1,-9.9,7.8,10081527,
Hospitals,20007806,17806122,16526451,19554698,12.4,7.7,-15.5,0.8,2201684,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",4787341,3666833,3461755,4041048,30.6,5.9,-14.3,5.8,1120509,Health and Social Services
Outpatient Care Centers and Other Health Services,7579691,5248129,5040961,5097355,44.4,4.1,-1.1,14.1,2331562,Health and Social Services
Nursing & Personal Care Facilities,4062344,2915561,2741119,2978312,39.3,6.4,-8.0,10.9,1146783,Health and Social Services
Social Services,7493991,4213002,3843941,3415251,77.9,9.6,12.6,29.9,3280988,Health and Social Services
Education,14736979,17507959,17324242,17305095,-15.8,1.1,0.1,-5.2,-2770980,
College and Universities,10344572,14140812,14132412,14016900,-26.8,0.1,0.8,-9.6,-3796240,Education
"Elementary, Secondary Schools",3013944,2348293,2244756,2337467,28.3,4.6,-4.0,8.8,665651,Education
Other Educational Services,1378463,1018854,947075,950729,35.3,7.6,-0.4,13.2,359609,Education
Professional Services,21299234,17981499,16288883,18072975,18.5,10.4,-9.9,5.6,3317735,
Legal Services,5029834,5476029,4950187,7958131,-8.1,10.6,-37.8,-14.2,-446195,Professional Services
Management Consulting,5100485,3248763,3425166,2675432,57.0,-5.2,28.0,24.0,1851722,Professional Services
Engineering & Architectural Services,2421829,1999815,1892789,1840302,21.1,5.7,2.9,9.6,422015,Professional Services
Computer,2124286,1565818,1449631,1343151,35.7,8.0,7.9,16.5,558468,Professional Services
"Accounting, Auditing, Bookkeeping",1628331,2177614,1841320,1838089,-25.2,18.3,0.2,-4.0,-549283,Professional Services
Advertising and Other Professional Services,4994468,3513460,2729789,2417870,42.2,28.7,12.9,27.4,1481008,Professional Services
Hotels,414482,957863,887075,994676,-56.7,8.0,-10.8,-25.3,-543381,
Restaurants,3824737,5347017,4759426,4099994,-28.5,12.3,16.1,-2.3,-1522280,
Sport Teams,1916642,2022938,1955897,2202092,-5.3,3.4,-11.2,-4.5,-106296,
"Arts, Entertainment, and Other Recreation",1005460,1338589,1152303,1180871,-24.9,16.2,-2.4,-5.2,-333129,
Other Sectors,14119699,11231847,10707183,10597236,25.7,4.9,1.0,10.0,2887853,
Membership Organizations,4146071,3004259,2836751,2720756,38.0,5.9,4.3,15.1,1141811,Other Sectors
Employment/Outsourcing Agencies,2739514,2714795,2674532,2763426,0.9,1.5,-3.2,-0.3,24720,Other Sectors
Security and Investigation Services,974544,852947,739376,747320,14.3,15.4,-1.1,9.3,121596,Other Sectors
Services to Buildings,1253161,892276,798619,900704,40.4,11.7,-11.3,11.6,360885,Other Sectors
Miscellaneous Sectors,5006410,3767570,3657905,3465030,32.9,3.0,5.6,13.1,1238840,Other Sectors
Government,17933612,16033151,15011885,14477479,11.9,6.8,3.7,7.4,1900461,
State Government (PA),1222350,1066262,1028849,949563,14.6,3.6,8.3,8.8,156088,Government
"City, School District, Local Quasi Govt.",11615943,10263533,9829918,9527724,13.2,4.4,3.2,6.8,1352410,Government
Federal Government,4830083,4507247,3998409,3844561,7.2,12.7,4.0,7.9,322836,Government
Other Governments,265237,196109,154708,155630,35.2,26.8,-0.6,19.4,69128,Government
Unclassified Accounts,435053,140322,97702,161039,210.0,43.6,-39.3,39.3,294731,
