sector,oct_2017,oct_2016,oct_2015,oct_2014,growth_yoy_2017,growth_yoy_2016,growth_yoy_2015,growth_3yr,net_change,parent_sector
Construction,6469732,6177764,5175532,5533330,4.7,19.4,-6.5,5.3,291968,
Manufacturing,9585365,10402435,7695885,9662320,-7.9,35.2,-20.4,-0.3,-817070,
"Chemicals, Petroleum Refining",1211856,1593616,1395743,1498120,-24.0,14.2,-6.8,-6.8,-381760,Manufacturing
Pharmaceuticals,1982850,2054247,1255410,2168255,-3.5,63.6,-42.1,-2.9,-71397,Manufacturing
Transportation Equipment,787673,951317,821555,941868,-17.2,15.8,-12.8,-5.8,-163644,Manufacturing
Food & Beverage Products,1710577,1855721,1179089,1429639,-7.8,57.4,-17.5,6.2,-145144,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",891625,911586,817008,822304,-2.2,11.6,-0.6,2.7,-19961,Manufacturing
Metal Manufacturing,788015,760370,627689,664932,3.6,21.1,-5.6,5.8,27645,Manufacturing
Miscellaneous Manufacturing,2212769,2275578,1599393,2137203,-2.8,42.3,-25.2,1.2,-62809,Manufacturing
Public Utilities,1049673,1070588,886465,1142899,-2.0,20.8,-22.4,-2.8,-20915,
Transportation and Warehousing,5502414,5310431,4224751,5272441,3.6,25.7,-19.9,1.4,191982,
Telecommunication,3064862,2839464,2399791,2414244,7.9,18.3,-0.6,8.3,225398,
"Publishing, Broadcasting, and Other Information",2475337,2273161,1779894,2237230,8.9,27.7,-20.4,3.4,202176,
Wholesale Trade,4404133,4360147,2831744,3793681,1.0,54.0,-25.4,5.1,43986,
Retail Trade,8810356,8495273,6326078,7569586,3.7,34.3,-16.4,5.2,315084,
Banking & Credit Unions,2863869,3059752,2367338,2678920,-6.4,29.2,-11.6,2.3,-195882,
Securities / Financial Investments,3109629,3256811,2805798,3033294,-4.5,16.1,-7.5,0.8,-147183,
Insurance,5125127,4673898,4663797,4780193,9.7,0.2,-2.4,2.3,451228,
"Real Estate, Rental and Leasing",2749191,2713967,1924366,2322693,1.3,41.0,-17.1,5.8,35224,
Health and Social Services,36872133,33536217,28800827,30083709,9.9,16.4,-4.3,7.0,3335916,
Hospitals,18395410,16200364,16182490,15801539,13.5,0.1,2.4,5.2,2195046,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",4519958,4579079,3234346,4092137,-1.3,41.6,-21.0,3.4,-59121,Health and Social Services
Outpatient Care Centers and Other Health Services,6269250,5624756,4138846,4383807,11.5,35.9,-5.6,12.7,644494,Health and Social Services
Nursing & Personal Care Facilities,3554671,3617403,2861003,3018240,-1.7,26.4,-5.2,5.6,-62732,Health and Social Services
Social Services,4132844,3514614,2384140,2787986,17.6,47.4,-14.5,14.0,618230,Health and Social Services
Education,15715015,15869291,14241389,14412398,-1.0,11.4,-1.2,2.9,-154277,
College and Universities,12046533,12251600,11453872,11141470,-1.7,7.0,2.8,2.6,-205067,Education
"Elementary, Secondary Schools",2463701,2427843,1838521,2236658,1.5,32.1,-17.8,3.3,35858,Education
Other Educational Services,1204781,1189848,948996,1034270,1.3,25.4,-8.2,5.2,14932,Education
Professional Services,21135779,20113595,14029048,17104927,5.1,43.4,-18.0,7.3,1022184,
Legal Services,5874734,5702675,4524360,5656366,3.0,26.0,-20.0,1.3,172058,Professional Services
Management Consulting,4018954,4079359,2694582,3538560,-1.5,51.4,-23.9,4.3,-60405,Professional Services
Engineering & Architectural Services,2272864,2267538,1548358,1742009,0.2,46.4,-11.1,9.3,5326,Professional Services
Computer,2008884,1896017,1239810,1567219,6.0,52.9,-20.9,8.6,112867,Professional Services
"Accounting, Auditing, Bookkeeping",2855652,2699643,2076037,1954111,5.8,30.0,6.2,13.5,156008,Professional Services
Advertising and Other Professional Services,4104691,3468362,1945900,2646662,18.3,78.2,-26.5,15.8,636329,Professional Services
Hotels,976929,941085,842872,1040619,3.8,11.7,-19.0,-2.1,35844,
Restaurants,5329760,5000948,3719940,4649363,6.6,34.4,-20.0,4.7,328812,
Sport Teams,2295655,2070043,1808286,1987074,10.9,14.5,-9.0,4.9,225612,
"Arts, Entertainment, and Other Recreation",1498856,1570667,960206,1266823,-4.6,63.6,-24.2,5.8,-71811,
Other Sectors,14695013,13981216,9517715,11548626,5.1,46.9,-17.6,8.4,713797,
Membership Organizations,4088015,4024784,2755485,3189769,1.6,46.1,-13.6,8.6,63231,Other Sectors
Employment/Outsourcing Agencies,2909982,2751992,2255831,2479511,5.7,22.0,-9.0,5.5,157990,Other Sectors
Security and Investigation Services,818609,885947,672698,729382,-7.6,31.7,-7.8,3.9,-67339,Other Sectors
Services to Buildings,1266067,1223255,876425,1142856,3.5,39.6,-23.3,3.5,42812,Other Sectors
Miscellaneous Sectors,5612341,5095237,2957275,4007109,10.1,72.3,-26.2,11.9,517104,Other Sectors
Government,18581952,13722526,23157622,24368264,35.4,-40.7,-5.0,-8.6,4859426,
State Government (PA),1188589,1170922,924070,928367,1.5,26.7,-0.5,8.6,17667,Government
"City, School District, Local Quasi Govt.",11984089,9092188,9280231,10679623,31.8,-2.0,-13.1,3.9,2891901,Government
Federal Government,5175750,3211082,12777645,12518518,61.2,-74.9,2.1,-25.5,1964667,Government
Other Governments,233525,248334,175676,241755,-6.0,41.4,-27.3,-1.1,-14810,Government
Unclassified Accounts,463082,213543,104832,317098,116.9,103.7,-66.9,13.5,249539,
