sector,mar_2021,mar_2020,mar_2019,mar_2018,growth_yoy_2021,growth_yoy_2020,growth_yoy_2019,growth_3yr,net_change,parent_sector
Construction,4871667,5124102,5275970,4570920,-4.9,-2.9,15.4,2.1,-252435,
Manufacturing,11575010,13225696,12896257,12834017,-12.5,2.6,0.5,-3.4,-1650686,
"Chemicals, Petroleum Refining",2395132,3344054,3341905,3614392,-28.4,0.1,-7.5,-12.8,-948922,Manufacturing
Pharmaceuticals,3518916,4549373,4299730,3931286,-22.7,5.8,9.4,-3.6,-1030458,Manufacturing
Transportation Equipment,1083454,794221,761252,800858,36.4,4.3,-4.9,10.6,289233,Manufacturing
Food & Beverage Products,1553862,1336503,1202847,1220759,16.3,11.1,-1.5,8.4,217359,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",681944,732054,640348,683109,-6.8,14.3,-6.3,-0.1,-50110,Manufacturing
Metal Manufacturing,535553,630084,660433,934545,-15.0,-4.6,-29.3,-16.9,-94532,Manufacturing
Miscellaneous Manufacturing,1806150,1839407,1989743,1649069,-1.8,-7.6,20.7,3.1,-33257,Manufacturing
Public Utilities,2185456,2137567,2065828,2032458,2.2,3.5,1.6,2.4,47889,
Transportation and Warehousing,5794338,5494235,5422927,5881423,5.5,1.3,-7.8,-0.5,300103,
Telecommunication,6997849,11408255,9583434,7837003,-38.7,19.0,22.3,-3.7,-4410406,
"Publishing, Broadcasting, and Other Information",2010721,2357239,2396590,2092061,-14.7,-1.6,14.6,-1.3,-346518,
Wholesale Trade,2973868,3285189,3110017,3078570,-9.5,5.6,1.0,-1.1,-311321,
Retail Trade,8233146,7304485,7407733,6781201,12.7,-1.4,9.2,6.7,928661,
Banking & Credit Unions,5392266,4466893,5136397,5243159,20.7,-13.0,-2.0,0.9,925373,
Securities / Financial Investments,8008903,6131842,5940291,5938162,30.6,3.2,0.0,10.5,1877062,
Insurance,8449264,13740000,12511355,11959096,-38.5,9.8,4.6,-10.9,-5290736,
"Real Estate, Rental and Leasing",2359760,3157375,2788847,2515406,-25.3,13.2,10.9,-2.1,-797615,
Health and Social Services,34873544,31279996,30051698,28520142,11.5,4.1,5.4,6.9,3593548,
Hospitals,18058341,16146543,15550994,14730952,11.8,3.8,5.6,7.0,1911798,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",3500635,3174901,3213209,3134098,10.3,-1.2,2.5,3.8,325734,Health and Social Services
Outpatient Care Centers and Other Health Services,5444267,4815567,5003310,4670599,13.1,-3.8,7.1,5.2,628699,Health and Social Services
Nursing & Personal Care Facilities,3133313,2903642,2610232,2597857,7.9,11.2,0.5,6.4,229670,Health and Social Services
Social Services,4736988,4239342,3673953,3386637,11.7,15.4,8.5,11.8,497646,Health and Social Services
Education,12865688,15858031,15259248,14560580,-18.9,3.9,4.8,-4.0,-2992344,
College and Universities,9743663,12464387,12087191,11635923,-21.8,3.1,3.9,-5.7,-2720724,Education
"Elementary, Secondary Schools",2375251,2380836,2187530,2016294,-0.2,8.8,8.5,5.6,-5586,Education
Other Educational Services,746774,1012808,984527,908363,-26.3,2.9,8.4,-6.3,-266034,Education
Professional Services,13151583,19105305,17689168,16773738,-31.2,8.0,5.5,-7.8,-5953723,
Legal Services,2378924,5474526,5187721,5385256,-56.5,5.5,-3.7,-23.8,-3095602,Professional Services
Management Consulting,2985510,4220427,4087639,3546547,-29.3,3.2,15.3,-5.6,-1234917,Professional Services
Engineering & Architectural Services,1441612,2104842,1879178,1825144,-31.5,12.0,3.0,-7.6,-663230,Professional Services
Computer,1518613,1729507,1776125,1623765,-12.2,-2.6,9.4,-2.2,-210893,Professional Services
"Accounting, Auditing, Bookkeeping",1732413,2153515,1923029,1743281,-19.6,12.0,10.3,-0.2,-421102,Professional Services
Advertising and Other Professional Services,3094511,3422488,2835475,2649745,-9.6,20.7,7.0,5.3,-327977,Professional Services
Hotels,496254,905983,972991,872268,-45.2,-6.9,11.5,-17.1,-409729,
Restaurants,2267620,3709021,3730745,4321326,-38.9,-0.6,-13.7,-19.3,-1441401,
Sport Teams,1177036,1469379,1873511,1313588,-19.9,-21.6,42.6,-3.6,-292343,
"Arts, Entertainment, and Other Recreation",818234,1454393,1172581,1029151,-43.7,24.0,13.9,-7.4,-636159,
Other Sectors,8524228,10433216,10284666,9082620,-18.3,1.4,13.2,-2.1,-1908988,
Membership Organizations,1291354,2893586,2742936,2484632,-55.4,5.5,10.4,-19.6,-1602232,Other Sectors
Employment/Outsourcing Agencies,2567464,2612159,2618187,2213585,-1.7,-0.2,18.3,5.1,-44695,Other Sectors
Security and Investigation Services,756240,777790,764942,705360,-2.8,1.7,8.4,2.3,-21550,Other Sectors
Services to Buildings,816603,738164,706758,666895,10.6,4.4,6.0,7.0,78439,Other Sectors
Miscellaneous Sectors,3092567,3411517,3451843,3012147,-9.3,-1.2,14.6,0.9,-318950,Other Sectors
Government,17556796,26188373,22781500,21494231,-33.0,15.0,6.0,-6.5,-8631577,
State Government (PA),1060050,1076153,1103730,1051656,-1.5,-2.5,5.0,0.3,-16103,Government
"City, School District, Local Quasi Govt.",12579908,12827922,9828201,9333675,-1.9,30.5,5.3,10.5,-248015,Government
Federal Government,3738968,12116513,11674083,10974391,-69.1,3.8,6.4,-30.2,-8377546,Government
Other Governments,177870,167783,175486,134510,6.0,-4.4,30.5,9.8,10087,Government
Unclassified Accounts,847380,47543,51467,51218,1682.4,-7.6,0.5,154.8,799837,
