sector,feb_2017,feb_2016,feb_2015,feb_2014,growth_yoy_2017,growth_yoy_2016,growth_yoy_2015,growth_3yr,net_change,parent_sector
Construction,5001096,6200873,5046998,3791516,-19.3,22.9,33.1,9.7,-1199777,
Manufacturing,7608576,9568956,9280316,8432708,-20.5,3.1,10.1,-3.4,-1960380,
"Chemicals, Petroleum Refining",1761475,1521188,2289305,1817350,15.8,-33.6,26.0,-1.0,240288,Manufacturing
Pharmaceuticals,1271799,2084016,1447746,1504147,-39.0,43.9,-3.7,-5.4,-812217,Manufacturing
Transportation Equipment,747163,895402,760153,759125,-16.6,17.8,0.1,-0.5,-148239,Manufacturing
Food & Beverage Products,1175875,1362959,1154845,1101822,-13.7,18.0,4.8,2.2,-187084,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",606646,831852,789289,770403,-27.1,5.4,2.5,-7.7,-225207,Manufacturing
Metal Manufacturing,633079,723069,690589,645494,-12.4,4.7,7.0,-0.6,-89991,Manufacturing
Miscellaneous Manufacturing,1412539,2150469,2148389,1834369,-34.3,0.1,17.1,-8.3,-737931,Manufacturing
Public Utilities,1583904,1330514,1294484,1298663,19.0,2.8,-0.3,6.8,253390,
Transportation and Warehousing,4738485,5004313,5288628,4420731,-5.3,-5.4,19.6,2.3,-265827,
Telecommunication,4000860,2709141,2757607,2568582,47.7,-1.8,7.4,15.9,1291719,
"Publishing, Broadcasting, and Other Information",1545426,2262156,1955620,1795500,-31.7,15.7,8.9,-4.9,-716730,
Wholesale Trade,3243646,3944386,3366032,2900663,-17.8,17.2,16.0,3.8,-700739,
Retail Trade,6393891,8252635,7080233,6284531,-22.5,16.6,12.7,0.6,-1858744,
Banking & Credit Unions,3689999,3193597,3397347,3142220,15.5,-6.0,8.1,5.5,496402,
Securities / Financial Investments,6201891,5410127,5054380,4763565,14.6,7.0,6.1,9.2,791764,
Insurance,3691986,5165444,4312367,4312880,-28.5,19.8,0.0,-5.0,-1473458,
"Real Estate, Rental and Leasing",1801330,2675951,2108049,1858221,-32.7,26.9,13.4,-1.0,-874621,
Health and Social Services,28040948,31377930,28872721,25921695,-10.6,8.7,11.4,2.7,-3336983,
Hospitals,14857171,14553119,13695022,14093678,2.1,6.3,-2.8,1.8,304053,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",3178417,4547296,3882640,3045358,-30.1,17.1,27.5,1.4,-1368878,Health and Social Services
Outpatient Care Centers and Other Health Services,4487584,5568732,5594507,3659441,-19.4,-0.5,52.9,7.0,-1081147,Health and Social Services
Nursing & Personal Care Facilities,2736177,3400129,3004262,2827779,-19.5,13.2,6.2,-1.1,-663951,Health and Social Services
Social Services,2781597,3308655,2696291,2295439,-15.9,22.7,17.5,6.6,-527058,Health and Social Services
Education,13833038,14181080,13848745,12998346,-2.5,2.4,6.5,2.1,-348042,
College and Universities,10970915,10881403,10498761,10038012,0.8,3.6,4.6,3.0,89512,Education
"Elementary, Secondary Schools",1981547,2170755,2292093,2032871,-8.7,-5.3,12.8,-0.8,-189207,Education
Other Educational Services,880576,1128923,1057892,927462,-22.0,6.7,14.1,-1.7,-248347,Education
Professional Services,15599141,18848536,16611494,13304359,-17.2,13.5,24.9,5.4,-3249395,
Legal Services,5157681,6248098,5911764,4865722,-17.5,5.7,21.5,2.0,-1090418,Professional Services
Management Consulting,3221293,3901141,3614475,2607548,-17.4,7.9,38.6,7.3,-679847,Professional Services
Engineering & Architectural Services,1552029,1976311,1660817,1420918,-21.5,19.0,16.9,3.0,-424282,Professional Services
Computer,1451870,1631772,1346304,1199617,-11.0,21.2,12.2,6.6,-179902,Professional Services
"Accounting, Auditing, Bookkeeping",1790805,1964458,1691630,1470135,-8.8,16.1,15.1,6.8,-173653,Professional Services
Advertising and Other Professional Services,2425463,3126756,2386505,1740418,-22.4,31.0,37.1,11.7,-701293,Professional Services
Hotels,751715,1103625,855203,835752,-31.9,29.0,2.3,-3.5,-351910,
Restaurants,5076175,4847674,4037487,3572924,4.7,20.1,13.0,12.4,228501,
Sport Teams,1103370,2147218,914169,895501,-48.6,134.9,2.1,7.2,-1043848,
"Arts, Entertainment, and Other Recreation",1059364,1347995,1191386,965515,-21.4,13.1,23.4,3.1,-288630,
Other Sectors,10379259,12941763,11382863,9174228,-19.8,13.7,24.1,4.2,-2562505,
Membership Organizations,2693199,3538943,3009634,2540286,-23.9,17.6,18.5,2.0,-845744,Other Sectors
Employment/Outsourcing Agencies,2963382,2836205,2584257,1962620,4.5,9.7,31.7,14.7,127177,Other Sectors
Security and Investigation Services,647320,660197,817551,822760,-2.0,-19.2,-0.6,-7.7,-12877,Other Sectors
Services to Buildings,709144,1090708,1133501,1011727,-35.0,-3.8,12.0,-11.2,-381565,Other Sectors
Miscellaneous Sectors,3366214,4815710,3837920,2836835,-30.1,25.5,35.3,5.9,-1449496,Other Sectors
Government,13759625,14765784,15935619,13245876,-6.8,-7.3,20.3,1.3,-1006159,
State Government (PA),1008320,964556,1118224,1068477,4.5,-13.7,4.7,-1.9,43765,Government
"City, School District, Local Quasi Govt.",9278978,9081382,8937093,8828754,2.2,1.6,1.2,1.7,197595,Government
Federal Government,3333018,4495137,5718331,3177945,-25.9,-21.4,79.9,1.6,-1162120,Government
Other Governments,139310,224709,161971,170701,-38.0,38.7,-5.1,-6.5,-85399,Government
Unclassified Accounts,346774,320476,284880,218120,8.2,12.5,30.6,16.7,26297,
