sector,aug_2016,aug_2015,aug_2014,aug_2013,growth_yoy_2016,growth_yoy_2015,growth_yoy_2014,growth_3yr,net_change,parent_sector
Construction,6383296,5290566,4369914,3857857,20.7,21.1,13.3,18.3,1092730,
Manufacturing,9846093,8707454,7863339,7012777,13.1,10.7,12.1,12.0,1138639,
"Chemicals, Petroleum Refining",1592401,1585030,1379927,1181356,0.5,14.9,16.8,10.5,7372,Manufacturing
Pharmaceuticals,1754005,1495801,1567520,1172455,17.3,-4.6,33.7,14.4,258204,Manufacturing
Transportation Equipment,1026454,801073,819033,790029,28.1,-2.2,3.7,9.1,225380,Manufacturing
Food & Beverage Products,1583856,1144465,1056762,970694,38.4,8.3,8.9,17.7,439391,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",874919,747630,687797,614520,17.0,8.7,11.9,12.5,127289,Manufacturing
Metal Manufacturing,763584,713751,599837,572760,7.0,19.0,4.7,10.1,49833,Manufacturing
Miscellaneous Manufacturing,2250874,2219704,1752463,1710965,1.4,26.7,2.4,9.6,31170,Manufacturing
Public Utilities,1011794,962549,963471,853052,5.1,-0.1,12.9,5.9,49245,
Transportation and Warehousing,5568670,4431326,3945499,3649329,25.7,12.3,8.1,15.1,1137344,
Telecommunication,3319454,2633838,2390209,2201313,26.0,10.2,8.6,14.7,685616,
"Publishing, Broadcasting, and Other Information",2301749,1679243,1613833,1668494,37.1,4.1,-3.3,11.3,622506,
Wholesale Trade,4373095,3238016,2854219,2673457,35.1,13.4,6.8,17.8,1135079,
Retail Trade,8398356,6550521,5915139,5601640,28.2,10.7,5.6,14.5,1847835,
Banking & Credit Unions,3384878,2810249,2355402,2472758,20.4,19.3,-4.7,11.0,574629,
Securities / Financial Investments,3665378,3174844,2947501,2665551,15.5,7.7,10.6,11.2,490534,
Insurance,5316734,4070776,3766117,3957934,30.6,8.1,-4.8,10.3,1245957,
"Real Estate, Rental and Leasing",2793921,1911204,1659206,1691211,46.2,15.2,-1.9,18.2,882717,
Health and Social Services,36694573,28097102,27365439,26088391,30.6,2.7,4.9,12.0,8597471,
Hospitals,18499705,14888814,14736308,14149796,24.3,1.0,4.1,9.3,3610891,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",4740441,3653959,2945114,2761443,29.7,24.1,6.7,19.7,1086482,Health and Social Services
Outpatient Care Centers and Other Health Services,6341408,4151531,4634842,4584207,52.7,-10.4,1.1,11.4,2189878,Health and Social Services
Nursing & Personal Care Facilities,3410186,2838461,2756762,2637470,20.1,3.0,4.5,8.9,571725,Health and Social Services
Social Services,3702833,2564337,2292413,1955475,44.4,11.9,17.2,23.7,1138495,Health and Social Services
Education,15200117,14058534,13365209,11837335,8.1,5.2,12.9,8.7,1141582,
College and Universities,11773829,11192052,10799887,9511230,5.2,3.6,13.5,7.4,581777,Education
"Elementary, Secondary Schools",2304327,1940516,1809774,1582373,18.7,7.2,14.4,13.3,363811,Education
Other Educational Services,1121961,925966,755549,743731,21.2,22.6,1.6,14.7,195995,Education
Professional Services,19140898,14151963,12635544,11948795,35.3,12.0,5.7,17.0,4988934,
Legal Services,5751893,4686759,4324650,4258788,22.7,8.4,1.5,10.5,1065133,Professional Services
Management Consulting,4065863,2857069,2421083,2387324,42.3,18.0,1.4,19.4,1208794,Professional Services
Engineering & Architectural Services,2214129,1590553,1390707,1319158,39.2,14.4,5.4,18.8,623576,Professional Services
Computer,1791372,1245342,1159486,1097792,43.8,7.4,5.6,17.7,546030,Professional Services
"Accounting, Auditing, Bookkeeping",2040046,1734818,1697577,1318257,17.6,2.2,28.8,15.7,305229,Professional Services
Advertising and Other Professional Services,3277595,2037422,1642041,1567476,60.9,24.1,4.8,27.9,1240173,Professional Services
Hotels,1130687,833092,930442,783903,35.7,-10.5,18.7,13.0,297596,
Restaurants,5224568,3345480,3149979,3070242,56.2,6.2,2.6,19.4,1879088,
Sport Teams,1644219,923158,1139847,1307101,78.1,-19.0,-12.8,7.9,721061,
"Arts, Entertainment, and Other Recreation",1488325,1001695,894770,866291,48.6,12.0,3.3,19.8,486630,
Other Sectors,13907281,10072469,9073359,8301718,38.1,11.0,9.3,18.8,3834812,
Membership Organizations,3790183,2883356,2662167,2522697,31.5,8.3,5.5,14.5,906827,Other Sectors
Employment/Outsourcing Agencies,3002398,2387560,2127679,1776392,25.8,12.2,19.8,19.1,614838,Other Sectors
Security and Investigation Services,769039,783629,690116,518829,-1.9,13.6,33.0,14.0,-14589,Other Sectors
Services to Buildings,1295389,1040364,873565,857321,24.5,19.1,1.9,14.7,255025,Other Sectors
Miscellaneous Sectors,5050271,2977560,2719831,2626479,69.6,9.5,3.6,24.4,2072711,Other Sectors
Government,17997600,14337541,14486549,13337139,25.5,-1.0,8.6,10.5,3660060,
State Government (PA),1146358,1112715,935019,926547,3.0,19.0,0.9,7.4,33643,Government
"City, School District, Local Quasi Govt.",11604925,8885155,8631520,8529184,30.6,2.9,1.2,10.8,2719770,Government
Federal Government,4975927,4180086,4778452,3706655,19.0,-12.5,28.9,10.3,795841,Government
Other Governments,270391,159585,141558,174754,69.4,12.7,-19.0,15.7,110805,Government
Unclassified Accounts,435057,167709,221872,176155,159.4,-24.4,26.0,35.2,267348,
