sector,mar_2019,mar_2018,mar_2017,mar_2016,growth_yoy_2019,growth_yoy_2018,growth_yoy_2017,growth_3yr,net_change,parent_sector
Construction,5267539,4567925,5001834,4822704,15.3,-8.7,3.7,3.0,699615,
Manufacturing,12867303,12749000,13214598,13739950,0.9,-3.5,-3.8,-2.2,118303,
"Chemicals, Petroleum Refining",3441635,3699679,3381932,3726331,-7.0,9.4,-9.2,-2.6,-258044,Manufacturing
Pharmaceuticals,4185462,3818592,4040764,4208581,9.6,-5.5,-4.0,-0.2,366871,Manufacturing
Transportation Equipment,761252,800858,934256,935392,-4.9,-14.3,-0.1,-6.6,-39606,Manufacturing
Food & Beverage Products,1203159,1143926,1338116,1308689,5.2,-14.5,2.2,-2.8,59234,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",627068,627561,713272,687114,-0.1,-12.0,3.8,-3.0,-492,Manufacturing
Metal Manufacturing,659641,933981,1033266,1003952,-29.4,-9.6,2.9,-13.1,-274340,Manufacturing
Miscellaneous Manufacturing,1989085,1724404,1772992,1869892,15.3,-2.7,-5.2,2.1,264681,Manufacturing
Public Utilities,2059629,2032458,1987356,2072757,1.3,2.3,-4.1,-0.2,27171,
Transportation and Warehousing,5522496,5876322,5511675,5668868,-6.0,6.6,-2.8,-0.9,-353826,
Telecommunication,9583434,7836981,8303590,7415815,22.3,-5.6,12.0,8.9,1746453,
"Publishing, Broadcasting, and Other Information",2256294,2026879,1949069,1926122,11.3,4.0,1.2,5.4,229415,
Wholesale Trade,3107529,3063141,3156737,3130986,1.4,-3.0,0.8,-0.3,44388,
Retail Trade,7254883,6786291,6881701,6820362,6.9,-1.4,0.9,2.1,468592,
Banking & Credit Unions,5127847,5244415,4881145,4373699,-2.2,7.4,11.6,5.4,-116568,
Securities / Financial Investments,5916742,5936571,6500509,5904077,-0.3,-8.7,10.1,0.1,-19829,
Insurance,12506232,11958512,11420327,11205705,4.6,4.7,1.9,3.7,547720,
"Real Estate, Rental and Leasing",2780761,2509685,2439869,2342178,10.8,2.9,4.2,5.9,271077,
Health and Social Services,29914181,28461307,30246368,29539127,5.1,-5.9,2.4,0.4,1452873,
Hospitals,15545718,14730952,15719164,15931625,5.5,-6.3,-1.3,-0.8,814766,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",3121857,3074768,3416604,2933187,1.5,-10.0,16.5,2.1,47089,Health and Social Services
Outpatient Care Centers and Other Health Services,4996717,4669128,4865853,4761422,7.0,-4.0,2.2,1.6,327589,Health and Social Services
Nursing & Personal Care Facilities,2794107,2708783,3053081,3034206,3.1,-11.3,0.6,-2.7,85324,Health and Social Services
Social Services,3455781,3277676,3191666,2878686,5.4,2.7,10.9,6.3,178105,Health and Social Services
Education,15249970,14553375,14730377,14393964,4.8,-1.2,2.3,1.9,696594,
College and Universities,12087191,11671611,11623320,11254777,3.6,0.4,3.3,2.4,415579,Education
"Elementary, Secondary Schools",2180031,1984250,2137855,2121281,9.9,-7.2,0.8,0.9,195781,Education
Other Educational Services,982748,897514,969202,1017907,9.5,-7.4,-4.8,-1.2,85234,Education
Professional Services,17749106,16633257,17816670,16567676,6.7,-6.6,7.5,2.3,1115849,
Legal Services,5185325,5383127,6091046,5560361,-3.7,-11.6,9.5,-2.3,-197802,Professional Services
Management Consulting,4256152,3602899,3685224,3235550,18.1,-2.2,13.9,9.6,653254,Professional Services
Engineering & Architectural Services,1799089,1758432,1783973,1766666,2.3,-1.4,1.0,0.6,40657,Professional Services
Computer,1767086,1621346,1726366,1569071,9.0,-6.1,10.0,4.0,145741,Professional Services
"Accounting, Auditing, Bookkeeping",1923025,1743281,1707251,1793450,10.3,2.1,-4.8,2.4,179744,Professional Services
Advertising and Other Professional Services,2818429,2524174,2822809,2642578,11.7,-10.6,6.8,2.2,294255,Professional Services
Hotels,972261,872127,984612,1031055,11.5,-11.4,-4.5,-1.9,100134,
Restaurants,3756650,4325284,3825314,3850128,-13.1,13.1,-0.6,-0.8,-568634,
Sport Teams,1879421,1313588,1664621,1815615,43.1,-21.1,-8.3,1.2,565833,
"Arts, Entertainment, and Other Recreation",1310922,1094610,1227566,1115091,19.8,-10.8,10.1,5.5,216311,
Other Sectors,10371553,9155200,9664666,9450865,13.3,-5.3,2.3,3.1,1216352,
Membership Organizations,2752905,2494238,2709032,2524375,10.4,-7.9,7.3,2.9,258667,Other Sectors
Employment/Outsourcing Agencies,2604427,2211462,2415683,2350056,17.8,-8.5,2.8,3.5,392965,Other Sectors
Security and Investigation Services,767675,691964,713618,653546,10.9,-3.0,9.2,5.5,75711,Other Sectors
Services to Buildings,705402,665909,751937,960847,5.9,-11.4,-21.7,-9.8,39493,Other Sectors
Miscellaneous Sectors,3541144,3091627,3074395,2962041,14.5,0.6,3.8,6.1,449517,Other Sectors
Government,22781900,21495538,15826482,22076873,6.0,35.8,-28.3,1.1,1286361,
State Government (PA),1103730,1051656,1049706,993587,5.0,0.2,5.6,3.6,52074,Government
"City, School District, Local Quasi Govt.",9828201,9333675,11005874,10744758,5.3,-15.2,2.4,-2.9,494527,Government
Federal Government,11674777,10975698,3611122,10142980,6.4,203.9,-64.4,4.8,699079,Government
Other Governments,175192,134510,159781,195549,30.2,-15.8,-18.3,-3.6,40682,Government
Unclassified Accounts,270834,124790,65465,54006,117.0,90.6,21.2,71.2,146044,
