sector,nov_2016,nov_2015,nov_2014,nov_2013,growth_yoy_2016,growth_yoy_2015,growth_yoy_2014,growth_3yr,net_change,parent_sector
Construction,5262549,6016463,4903088,4115771,-12.5,22.7,19.1,8.5,-753913,
Manufacturing,8316604,9589940,8183740,7673313,-13.3,17.2,6.7,2.7,-1273337,
"Chemicals, Petroleum Refining",1594950,1562569,1577725,1470567,2.1,-1.0,7.3,2.7,32380,Manufacturing
Pharmaceuticals,1376468,1971882,1329223,1310859,-30.2,48.3,1.4,1.6,-595414,Manufacturing
Transportation Equipment,941306,869811,830116,806707,8.2,4.8,2.9,5.3,71495,Manufacturing
Food & Beverage Products,1307945,1377263,1144828,1097861,-5.0,20.3,4.3,6.0,-69318,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",677270,856772,792113,675305,-21.0,8.2,17.3,0.1,-179502,Manufacturing
Metal Manufacturing,719947,695565,701399,619755,3.5,-0.8,13.2,5.1,24383,Manufacturing
Miscellaneous Manufacturing,1698717,2256078,1808336,1692260,-24.7,24.8,6.9,0.1,-557361,Manufacturing
Public Utilities,894608,1026912,967306,925800,-12.9,6.2,4.5,-1.1,-132303,
Transportation and Warehousing,5175648,4945649,4331916,3804072,4.7,14.2,13.9,10.8,229999,
Telecommunication,4225224,3176085,2421804,2235979,33.0,31.1,8.3,23.6,1049140,
"Publishing, Broadcasting, and Other Information",1720476,2406533,1787274,1757476,-28.5,34.6,1.7,-0.7,-686057,
Wholesale Trade,3010900,4400244,3096181,2772553,-31.6,42.1,11.7,2.8,-1389344,
Retail Trade,7183033,8104164,6664223,5786793,-11.4,21.6,15.2,7.5,-921130,
Banking & Credit Unions,2843062,2911429,2493936,2486930,-2.3,16.7,0.3,4.6,-68367,
Securities / Financial Investments,2900596,2982421,2704075,2532144,-2.7,10.3,6.8,4.6,-81825,
Insurance,4815595,4507374,3692764,3856592,6.8,22.1,-4.2,7.7,308222,
"Real Estate, Rental and Leasing",1848660,2476934,1830917,1653332,-25.4,35.3,10.7,3.8,-628274,
Health and Social Services,32202365,32384221,29748487,27471377,-0.6,8.9,8.3,5.4,-181855,
Hospitals,17187458,15977614,15786191,15337800,7.6,1.2,2.9,3.9,1209844,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",4091233,4666911,3614734,3159112,-12.3,29.1,14.4,9.0,-575677,Health and Social Services
Outpatient Care Centers and Other Health Services,5043334,5227239,4841053,4394852,-3.5,8.0,10.2,4.7,-183905,Health and Social Services
Nursing & Personal Care Facilities,2946007,3291547,2951697,2605355,-10.5,11.5,13.3,4.2,-345540,Health and Social Services
Social Services,2934333,3220910,2554811,1974258,-8.9,26.1,29.4,14.1,-286577,Health and Social Services
Education,15911617,15657994,14687378,13592723,1.6,6.6,8.1,5.4,253623,
College and Universities,12786707,12099715,11518234,10771548,5.7,5.0,6.9,5.9,686992,Education
"Elementary, Secondary Schools",2126899,2390724,2194570,1873942,-11.0,8.9,17.1,4.3,-263825,Education
Other Educational Services,998011,1167555,974574,947234,-14.5,19.8,2.9,1.8,-169544,Education
Professional Services,15081490,19221370,13476621,12952562,-21.5,42.6,4.0,5.2,-4139880,
Legal Services,5349573,5716934,4734995,4545190,-6.4,20.7,4.2,5.6,-367361,Professional Services
Management Consulting,2700025,4523447,2595457,2864237,-40.3,74.3,-9.4,-1.9,-1823422,Professional Services
Engineering & Architectural Services,1745640,2111661,1634813,1453658,-17.3,29.2,12.5,6.3,-366021,Professional Services
Computer,1311089,1819529,1166783,1186284,-27.9,55.9,-1.6,3.4,-508441,Professional Services
"Accounting, Auditing, Bookkeeping",1902376,1874810,1491087,1306518,1.5,25.7,14.1,13.3,27566,Professional Services
Advertising and Other Professional Services,2072788,3174989,1853486,1596675,-34.7,71.3,16.1,9.1,-1102201,Professional Services
Hotels,955887,996792,1012410,855991,-4.1,-1.5,18.3,3.7,-40905,
Restaurants,3932764,5146487,3642706,3546043,-23.6,41.3,2.7,3.5,-1213723,
Sport Teams,1919141,1778135,1504172,1539680,7.9,18.2,-2.3,7.6,141006,
"Arts, Entertainment, and Other Recreation",1164380,1329072,992426,905506,-12.4,33.9,9.6,8.7,-164691,
Other Sectors,10638390,12884905,9717272,8735831,-17.4,32.6,11.2,6.8,-2246515,
Membership Organizations,2862911,3402364,2825911,2513891,-15.9,20.4,12.4,4.4,-539454,Other Sectors
Employment/Outsourcing Agencies,2736110,2947188,2249952,2047482,-7.2,31.0,9.9,10.1,-211078,Other Sectors
Security and Investigation Services,758007,721509,665440,530881,5.1,8.4,25.3,12.6,36498,Other Sectors
Services to Buildings,968753,1187906,957448,869965,-18.4,24.1,10.1,3.7,-219153,Other Sectors
Miscellaneous Sectors,3312609,4625938,3018521,2773612,-28.4,53.3,8.8,6.1,-1313329,Other Sectors
Government,16324168,16016143,13567141,15546022,1.9,18.1,-12.7,1.6,308025,
State Government (PA),993892,1145639,1153433,919730,-13.2,-0.7,25.4,2.6,-151747,Government
"City, School District, Local Quasi Govt.",11401888,10885171,8597928,10342442,4.7,26.6,-16.9,3.3,516717,Government
Federal Government,3775718,3746780,3675833,4133179,0.8,1.9,-11.1,-3.0,28938,Government
Other Governments,152670,238553,139947,150671,-36.0,70.5,-7.1,0.4,-85883,Government
Unclassified Accounts,499361,310935,202278,184266,60.6,53.7,9.8,39.4,188426,
