sector,dec_2018,dec_2017,dec_2016,dec_2015,growth_yoy_2018,growth_yoy_2017,growth_yoy_2016,growth_3yr,net_change,parent_sector
Construction,5210257,4828140,4718851,4397811,7.9,2.3,7.3,5.8,382117,
Manufacturing,8912430,8313259,6629718,7803116,7.2,25.4,-15.0,4.5,599171,
"Chemicals, Petroleum Refining",1584734,1581046,1119789,1618626,0.2,41.2,-30.8,-0.7,3688,Manufacturing
Pharmaceuticals,1596309,1427303,1043640,1204977,11.8,36.8,-13.4,9.8,169006,Manufacturing
Transportation Equipment,706624,867008,647811,814356,-18.5,33.8,-20.5,-4.6,-160383,Manufacturing
Food & Beverage Products,1340856,1350845,1034329,1193903,-0.7,30.6,-13.4,3.9,-9989,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",742900,657155,577575,671675,13.0,13.8,-14.0,3.4,85745,Manufacturing
Metal Manufacturing,737800,680833,591762,620108,8.4,15.1,-4.6,6.0,56967,Manufacturing
Miscellaneous Manufacturing,2203206,1749069,1614813,1679470,26.0,8.3,-3.8,9.5,454137,Manufacturing
Public Utilities,1118160,1088320,890837,895764,2.7,22.2,-0.6,7.7,29840,
Transportation and Warehousing,5895895,5292179,4710910,5120204,11.4,12.3,-8.0,4.8,603716,
Telecommunication,3325249,3394106,1615764,2419113,-2.0,110.1,-33.2,11.2,-68857,
"Publishing, Broadcasting, and Other Information",2043095,1776183,1518327,1674118,15.0,17.0,-9.3,6.9,266912,
Wholesale Trade,3442267,3368958,2946271,3114055,2.2,14.3,-5.4,3.4,73309,
Retail Trade,7285144,6545182,5745722,5949752,11.3,13.9,-3.4,7.0,739962,
Banking & Credit Unions,3151013,2932677,2133149,2370863,7.4,37.5,-10.0,9.9,218336,
Securities / Financial Investments,4591988,4471964,3487987,3596677,2.7,28.2,-3.0,8.5,120023,
Insurance,4659605,4240329,3272671,3536515,9.9,29.6,-7.5,9.6,419275,
"Real Estate, Rental and Leasing",2041806,1884851,1626597,1663663,8.3,15.9,-2.2,7.1,156955,
Health and Social Services,32227171,29694950,26713610,27099403,8.5,11.2,-1.4,5.9,2532220,
Hospitals,15726699,15548544,14603698,15005641,1.1,6.5,-2.7,1.6,178155,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",3516727,3312407,3040143,3009494,6.2,9.0,1.0,5.3,204320,Health and Social Services
Outpatient Care Centers and Other Health Services,5652964,4796343,3834398,4213070,17.9,25.1,-9.0,10.3,856621,Health and Social Services
Nursing & Personal Care Facilities,3197311,2934581,2626354,2621286,9.0,11.7,0.2,6.8,262730,Health and Social Services
Social Services,4133470,3103075,2609018,2249911,33.2,18.9,16.0,22.5,1030394,Health and Social Services
Education,17671096,16603979,13396148,13801181,6.4,23.9,-2.9,8.6,1067117,
College and Universities,14058534,13649748,10468316,10938739,3.0,30.4,-4.3,8.7,408786,Education
"Elementary, Secondary Schools",2556498,2013724,2035863,1981569,27.0,-1.1,2.7,8.9,542774,Education
Other Educational Services,1056064,940507,891969,880873,12.3,5.4,1.3,6.2,115557,Education
Professional Services,19524603,16635134,15377509,14161103,17.4,8.2,8.6,11.3,2889469,
Legal Services,7224234,5849100,5089350,4848325,23.5,14.9,5.0,14.2,1375135,Professional Services
Management Consulting,3772697,3463805,3121436,2907320,8.9,11.0,7.4,9.1,308892,Professional Services
Engineering & Architectural Services,2257828,1979546,1787787,1771284,14.1,10.7,0.9,8.4,278282,Professional Services
Computer,1645980,1437398,1332833,1167629,14.5,7.8,14.1,12.1,208583,Professional Services
"Accounting, Auditing, Bookkeeping",1721759,1572143,1605712,1494165,9.5,-2.1,7.5,4.8,149616,Professional Services
Advertising and Other Professional Services,2902104,2333143,2440391,1972380,24.4,-4.4,23.7,13.7,568962,Professional Services
Hotels,961540,823269,740283,911280,16.8,11.2,-18.8,1.8,138271,
Restaurants,4204889,4185187,3515663,3683566,0.5,19.0,-4.6,4.5,19701,
Sport Teams,2171685,2158676,1415564,2245573,0.6,52.5,-37.0,-1.1,13009,
"Arts, Entertainment, and Other Recreation",1257501,1125308,997647,961431,11.7,12.8,3.8,9.4,132193,
Other Sectors,11292988,9823800,9191614,8529161,15.0,6.9,7.8,9.8,1469188,
Membership Organizations,3001302,2820290,2802029,2486696,6.4,0.7,12.7,6.5,181012,Other Sectors
Employment/Outsourcing Agencies,2960348,2486428,2274248,2229409,19.1,9.3,2.0,9.9,473921,Other Sectors
Security and Investigation Services,846456,753162,709728,639960,12.4,6.1,10.9,9.8,93294,Other Sectors
Services to Buildings,830511,855295,794974,784416,-2.9,7.6,1.3,1.9,-24784,Other Sectors
Miscellaneous Sectors,3654371,2908626,2610635,2388679,25.6,11.4,9.3,15.2,745744,Other Sectors
Government,17448417,14979865,15095056,15119436,16.5,-0.8,-0.2,4.9,2468552,
State Government (PA),1204572,997409,980222,938258,20.8,1.8,4.5,8.7,207163,Government
"City, School District, Local Quasi Govt.",11120927,9432759,9102456,8781123,17.9,3.6,3.7,8.2,1688168,Government
Federal Government,4924356,4398114,4877923,5247652,12.0,-9.8,-7.0,-2.1,526241,Government
Other Governments,198563,151584,134456,152402,31.0,12.7,-11.8,9.2,46979,Government
Unclassified Accounts,163484,132919,55090,54143,23.0,141.3,1.7,44.5,30565,
