sector,nov_2014,nov_2013,nov_2012,nov_2011,growth_yoy_2014,growth_yoy_2013,growth_yoy_2012,growth_3yr,net_change,parent_sector
Construction,4808508,4068286,4528940,3430284,18.2,-10.2,32.0,11.9,740222,
Manufacturing,8173765,7681522,8937264,7500277,6.4,-14.1,19.2,2.9,492243,
"Chemicals, Petroleum Refining",1573988,1467278,1528944,1313096,7.3,-4.0,16.4,6.2,106710,Manufacturing
Pharmaceuticals,1328847,1310859,1737755,1390621,1.4,-24.6,25.0,-1.5,17988,Manufacturing
Transportation Equipment,829771,806472,890958,786232,2.9,-9.5,13.3,1.8,23299,Manufacturing
Food & Beverage Products,1145141,1097140,1300528,1181462,4.4,-15.6,10.1,-1.0,48002,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",727827,649482,802059,633920,12.1,-19.0,26.5,4.7,78345,Manufacturing
Metal Manufacturing,739181,646547,699329,580367,14.3,-7.5,20.5,8.4,92634,Manufacturing
Miscellaneous Manufacturing,1829010,1703745,1977692,1614579,7.4,-13.9,22.5,4.2,125265,Manufacturing
Public Utilities,967306,925800,1070439,1511862,4.5,-13.5,-29.2,-13.8,41506,
Transportation and Warehousing,4335253,3799643,4182869,4134036,14.1,-9.2,1.2,1.6,535610,
Telecommunication,2421653,2236954,2378140,2183630,8.3,-5.9,8.9,3.5,184700,
"Publishing, Broadcasting, and Other Information",1785834,1756655,895621,1631633,1.7,96.1,-45.1,3.1,29179,
Wholesale Trade,3121622,2795711,3376171,2754823,11.7,-17.2,22.6,4.3,325911,
Retail Trade,6631503,5759335,6899277,5471865,15.1,-16.5,26.1,6.6,872167,
Banking & Credit Unions,2493545,2486153,2700960,2408813,0.3,-8.0,12.1,1.2,7392,
Securities / Financial Investments,2700498,2530985,2613239,2351402,6.7,-3.1,11.1,4.7,169513,
Insurance,3614109,3706093,4513396,3983594,-2.5,-17.9,13.3,-3.2,-91984,
"Real Estate, Rental and Leasing",1963912,1780347,2035958,1623527,10.3,-12.6,25.4,6.6,183565,
Health and Social Services,29807181,27609437,30048688,27587249,8.0,-8.1,8.9,2.6,2197744,
Hospitals,15786191,15357957,16788192,16419593,2.8,-8.5,2.2,-1.3,428235,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",3612823,3127922,4125920,3346608,15.5,-24.2,23.3,2.6,484901,Health and Social Services
Outpatient Care Centers and Other Health Services,4920353,4408802,3849579,3213919,11.6,14.5,19.8,15.3,511551,Health and Social Services
Nursing & Personal Care Facilities,2933110,2604629,2703168,2463549,12.6,-3.6,9.7,6.0,328481,Health and Social Services
Social Services,2554705,2110128,2581830,2143581,21.1,-18.3,20.4,6.0,444577,Health and Social Services
Education,14654010,13558205,13279347,12517968,8.1,2.1,6.1,5.4,1095806,
College and Universities,11519083,10771548,10287362,10091917,6.9,4.7,1.9,4.5,747535,Education
"Elementary, Secondary Schools",2162546,1843652,1956844,1650467,17.3,-5.8,18.6,9.4,318894,Education
Other Educational Services,972381,943005,1035142,775584,3.1,-8.9,33.5,7.8,29376,Education
Professional Services,13438207,12941537,15400466,11637487,3.8,-16.0,32.3,4.9,496669,
Legal Services,4730654,4540935,5563349,4394570,4.2,-18.4,26.6,2.5,189718,Professional Services
Management Consulting,2572758,2871564,3120094,2201573,-10.4,-8.0,41.7,5.3,-298806,Professional Services
Engineering & Architectural Services,1643648,1453335,1739501,1555696,13.1,-16.5,11.8,1.9,190313,Professional Services
Computer,1166414,1184787,1478431,956992,-1.6,-19.9,54.5,6.8,-18373,Professional Services
"Accounting, Auditing, Bookkeeping",1489736,1308017,1283192,1163458,13.9,1.9,10.3,8.6,181719,Professional Services
Advertising and Other Professional Services,1834996,1582899,2215899,1365198,15.9,-28.6,62.3,10.4,252097,Professional Services
Hotels,1008657,852243,1047399,813016,18.4,-18.6,28.8,7.5,156413,
Restaurants,3647391,3526534,4227382,3163859,3.4,-16.6,33.6,4.9,120857,
Sport Teams,1504172,1539680,1514231,900498,-2.3,1.7,68.2,18.7,-35508,
"Arts, Entertainment, and Other Recreation",850221,770717,909570,816186,10.3,-15.3,11.4,1.4,79505,
Other Sectors,9776389,8818754,10172991,8152843,10.9,-13.3,24.8,6.2,957635,
Membership Organizations,2851994,2543277,2970067,2382346,12.1,-14.4,24.7,6.2,308717,Other Sectors
Employment/Outsourcing Agencies,2242653,2048611,2429520,1904871,9.5,-15.7,27.5,5.6,194042,Other Sectors
Security and Investigation Services,665440,533558,762164,584027,24.7,-30.0,30.5,4.4,131882,Other Sectors
Services to Buildings,952222,869492,1041199,870647,9.5,-16.5,19.6,3.0,82730,Other Sectors
Miscellaneous Sectors,3064081,2823817,2970041,2410952,8.5,-4.9,23.2,8.3,240264,Other Sectors
Government,13567141,15546022,16425681,19766695,-12.7,-5.4,-16.9,-11.8,-1978881,
State Government (PA),1153433,919730,906206,936637,25.4,1.5,-3.2,7.2,233703,Government
"City, School District, Local Quasi Govt.",8597928,10342442,10941834,10968303,-16.9,-5.5,-0.2,-7.8,-1744514,Government
Federal Government,3675833,4133179,4389062,7674426,-11.1,-5.8,-42.8,-21.8,-457346,Government
Other Governments,139947,150671,188579,187329,-7.1,-20.1,0.7,-9.3,-10724,Government
Unclassified Accounts,335889,232156,352362,220713,44.7,-34.1,59.6,15.0,103733,
