sector,nov_2019,nov_2018,nov_2017,nov_2016,growth_yoy_2019,growth_yoy_2018,growth_yoy_2017,growth_3yr,net_change,parent_sector
Construction,5799317,5637695,5287983,5269249,2.9,6.6,0.4,3.2,161622,
Manufacturing,8100598,7801280,8555334,8321992,3.8,-8.8,2.8,-0.9,299317,
"Chemicals, Petroleum Refining",1162957,1497124,1763503,1594950,-22.3,-15.1,10.6,-10.0,-334168,Manufacturing
Pharmaceuticals,1634924,1419190,1439258,1377464,15.2,-1.4,4.5,5.9,215734,Manufacturing
Transportation Equipment,670922,758024,886911,941524,-11.5,-14.5,-5.8,-10.7,-87101,Manufacturing
Food & Beverage Products,1307976,1182821,1440696,1310747,10.6,-17.9,9.9,-0.1,125155,Manufacturing
"Machinery, Electronic, and Other Electric Equipment",716939,641054,629540,676060,11.8,1.8,-6.9,2.0,75885,Manufacturing
Metal Manufacturing,648053,591964,686213,720690,9.5,-13.7,-4.8,-3.5,56089,Manufacturing
Miscellaneous Manufacturing,1958826,1711104,1709213,1700557,14.5,0.1,0.5,4.8,247722,Manufacturing
Public Utilities,1123027,988016,936133,895656,13.7,5.5,4.5,7.8,135012,
Transportation and Warehousing,5357636,5187314,5712807,5196684,3.3,-9.2,9.9,1.0,170322,
Telecommunication,4140335,3795373,4513877,4227298,9.1,-15.9,6.8,-0.7,344962,
"Publishing, Broadcasting, and Other Information",2031151,1781106,1877574,1722551,14.0,-5.1,9.0,5.6,250045,
Wholesale Trade,3038243,2998588,3053662,2997434,1.3,-1.8,1.9,0.5,39655,
Retail Trade,7585073,6784273,7018311,7194051,11.8,-3.3,-2.4,1.8,800800,
Banking & Credit Unions,2643300,2447928,2952572,2848394,8.0,-17.1,3.7,-2.5,195372,
Securities / Financial Investments,4645992,3133388,3264088,2893905,48.3,-4.0,12.8,17.1,1512604,
Insurance,5078786,4663515,5299975,4831643,8.9,-12.0,9.7,1.7,415271,
"Real Estate, Rental and Leasing",2156720,1893819,1985522,1834961,13.9,-4.6,8.2,5.5,262902,
Health and Social Services,33782780,31557132,35009198,32278271,7.1,-9.9,8.5,1.5,2225648,
Hospitals,17806122,16526308,19554698,17479799,7.7,-15.5,11.9,0.6,1279814,Health and Social Services
"Doctors, Dentists, and Other Health Practitioners",3599661,3403625,3963582,3817967,5.8,-14.1,3.8,-1.9,196035,Health and Social Services
Outpatient Care Centers and Other Health Services,5229029,5038064,5097355,5065995,3.8,-1.2,0.6,1.1,190965,Health and Social Services
Nursing & Personal Care Facilities,2927840,2742255,2978312,2906017,6.8,-7.9,2.5,0.2,185585,Health and Social Services
Social Services,4220127,3846879,3415251,3008493,9.7,12.6,13.5,11.9,373249,Health and Social Services
Education,17492202,17312022,17305095,15927580,1.0,0.0,8.6,3.2,180180,
College and Universities,14140812,14132412,14016900,12789717,0.1,0.8,9.6,3.4,8400,Education
"Elementary, Secondary Schools",2339790,2233908,2337467,2133304,4.7,-4.4,9.6,3.1,105882,Education
Other Educational Services,1011601,945702,950729,1004559,7.0,-0.5,-5.4,0.2,65898,Education
Professional Services,17959402,16228150,18069833,15246736,10.7,-10.2,18.5,5.6,1731252,
Legal Services,5475020,4948174,7958131,5352740,10.6,-37.8,48.7,0.8,526846,Professional Services
Management Consulting,3310630,3463727,2752898,2537039,-4.4,25.8,8.5,9.3,-153097,Professional Services
Engineering & Architectural Services,1925943,1811327,1759694,1745222,6.3,2.9,0.8,3.3,114617,Professional Services
Computer,1560256,1445390,1343151,1321966,7.9,7.6,1.6,5.7,114866,Professional Services
"Accounting, Auditing, Bookkeeping",2178080,1840664,1838089,1904452,18.3,0.1,-3.5,4.6,337416,Professional Services
Advertising and Other Professional Services,3509473,2718867,2417870,2385319,29.1,12.4,1.4,13.7,790605,Professional Services
Hotels,956836,885922,994676,959738,8.0,-10.9,3.6,-0.1,70914,
Restaurants,5346790,4758070,4099994,3947647,12.4,16.1,3.9,10.6,588719,
Sport Teams,2025556,1958592,2202092,1919141,3.4,-11.1,14.7,1.8,66964,
"Arts, Entertainment, and Other Recreation",1425889,1212000,1234376,1157284,17.6,-1.8,6.7,7.2,213889,
Other Sectors,11282797,10796182,10677845,10683719,4.5,1.1,-0.1,1.8,486615,
Membership Organizations,2999789,2844279,2720756,2863524,5.5,4.5,-5.0,1.6,155510,Other Sectors
Employment/Outsourcing Agencies,2714692,2669912,2763426,2759672,1.7,-3.4,0.1,-0.5,44781,Other Sectors
Security and Investigation Services,852947,738672,747320,767212,15.5,-1.2,-2.6,3.6,114276,Other Sectors
Services to Buildings,890493,797246,900704,980217,11.7,-11.5,-8.1,-3.1,93248,Other Sectors
Miscellaneous Sectors,3824875,3746074,3545639,3313094,2.1,5.7,7.0,4.9,78800,Other Sectors
Government,16033695,15011885,14477479,16324675,6.8,3.7,-11.3,-0.6,1021810,
State Government (PA),1066262,1028849,949563,993892,3.6,8.3,-4.5,2.4,37413,Government
"City, School District, Local Quasi Govt.",10263533,9829918,9527724,11400819,4.4,3.2,-16.4,-3.4,433615,Government
Federal Government,4508247,3998409,3844561,3775718,12.8,4.0,1.8,6.1,509838,Government
Other Governments,195653,154708,155630,154246,26.5,-0.6,0.9,8.2,40945,Government
Unclassified Accounts,216631,181963,161039,142884,19.1,13.0,12.7,14.9,34668,
