name,may_fy23,may_fy22,fy23_ytd,fy22_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,3853228,8798475,937711679,831102063,106609616,16451321,98,current
real_estate,2259413,3310100,37763386,33826265,3937121,-4839386,115,prior
real_estate,6112641,12108575,975475065,864928328,110546737,11611935,99,total
school_income,24961073,31703226,56483220,57300315,-817095,1453772,97,current
school_income,230431,70742,2037073,1360908,676165,-480187,131,prior
school_income,25191504,31773968,58520293,58661223,-140930,973585,98,total
use_and_occupancy,16293831,14229522,160753775,159797424,956351,17757835,90,current
use_and_occupancy,488700,1576569,6244032,9758920,-3514888,-476221,108,prior
use_and_occupancy,16782531,15806091,166997807,169556344,-2558537,17281614,91,total
liquor,6903124,6518940,77479734,63231152,14248582,9951841,89,current
liquor,454794,399563,1653800,2449519,-795719,-462071,139,prior
liquor,7357918,6918503,79133534,65680671,13452863,9489770,89,total
other_nontax,880047,95217,5671174,7119108,-1447934,-474752,109,total
total_revenue,56324641,66702354,1285797873,1165945674,119852199,38882152,97,total
