name,jun_fy22,jun_fy21,fy22_ytd,fy21_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,2340292.0,10468046,833442354,866729424,-33287070,13469646,98,current
real_estate,2714477.0,3291186,36540742,33262667,3278075,-1649742,105,prior
real_estate,5054769.0,13759232,869983096,899992091,-30008995,11819904,99,total
school_income,2784216.0,5702099,60084531,65568047,-5483516,-12195788,125,current
school_income,,261440,1360908,2136643,-775735,95068,93,prior
school_income,2784216.0,5963539,61445439,67704689,-6259250,-12100720,125,total
use_and_occupancy,14377105.0,15066944,174174530,172134919,2039611,-6155627,104,current
use_and_occupancy,641195.0,1193893,10400115,9830771,569344,-400115,104,prior
use_and_occupancy,15018300.0,16260837,184574645,181965690,2608955,-6555742,104,total
liquor,6482521.0,5108925,69713674,29967284,39746390,-3449449,105,current
liquor,,377855,2449519,3816808,-1367289,1164102,68,prior
liquor,6482521.0,5486780,72163193,33784092,38379101,-2285347,103,total
other_nontax,949045.0,856378,8068153,4596355,3471798,-2793016,153,total
total_revenue,30288851.0,42326765,1196234526,1188042917,8191609,-11914921,101,total
