name,may_fy21,may_fy20,fy21_ytd,fy20_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,16269245,7943118,856261378,804211736,52049642,-12286378,101,current
real_estate,3904718,596744,29971481,34488762,-4517281,-2469481,109,prior
real_estate,20173963,8539862,886232859,838700497,47532361,-14755859,102,total
school_income,32073999,9371104,59865948,36278471,23587477,-12916200,128,current
school_income,434435,96657,1875203,1514017,361186,-419227,129,prior
school_income,32508433,9467762,61741150,37792488,23948663,-13335426,128,total
use_and_occupancy,13502466,9495772,157067975,160183342,-3115366,6057174,96,current
use_and_occupancy,743098,579944,8636878,7576097,1060780,-299433,104,prior
use_and_occupancy,14245564,10075717,165704853,167759439,-2054586,5757741,97,total
liquor,3455830,1758854,24858359,59668536,-34810177,1558564,94,current
liquor,430301,612370,3438952,5545141,-2106189,174669,95,prior
liquor,3886130,2371224,28297312,65213677,-36916366,1733232,94,total
other_nontax,39669,1148813,3739977,3530864,209113,1888699,66,total
total_revenue,70853760,31603377,1145716151,1112996965,32719186,-18711613,102,total
