name,mar_fy22,mar_fy21,fy22_ytd,fy21_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,415621696,512315609,610772902,702883607,-92110705,236139098,72,current
real_estate,4577914,3907999,25089549,20819532,4270017,9801451,72,prior
real_estate,420199610,516223608,635862451,723703139,-87840688,245940549,72,total
school_income,1047300,1037196,6579803,18811895,-12232092,41308940,14,current
school_income,143728,285492,1147163,1081662,65501,308813,79,prior
school_income,1191028,1322688,7726966,19893557,-12166591,41617753,16,total
use_and_occupancy,16609577,19068808,131705814,127937002,3768812,36313089,78,current
use_and_occupancy,699698,1066901,7324522,6867422,457100,2675478,73,prior
use_and_occupancy,17309275,20135709,139030336,134804424,4225912,38988567,78,total
liquor,5255120,2100963,49828972,18301631,31527341,16435253,75,current
liquor,87640,365657,1889267,2520901,-631634,1724354,52,prior
liquor,5342760,2466620,51718239,20822532,30895707,18159607,74,total
other_nontax,1675815,3013006,3001386,3506759,-505373,2273751,57,total
total_revenue,445718488,543161631,837339378,902730411,-65391033,346980227,71,total
