name,mar_fy21,mar_fy20,fy21_ytd,fy20_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,508919076,131414551,699487074,779238047,-79750973,88222926,89,current
real_estate,7650374,2864700,24561906,31778207,-7216301,11132634,69,prior
real_estate,516569450,134279251,724048980,811016254,-86967274,99355560,88,total
school_income,1041750,1993281,18816449,7223318,11593130,28133299,40,current
school_income,285492,120429,1081662,1287914,-206252,374314,74,prior
school_income,1327242,2113710,19898111,8511232,11386879,28507613,41,total
use_and_occupancy,19068808,14046890,127937002,140044840,-12107838,16382509,89,current
use_and_occupancy,1066901,593349,6867422,6663424,203998,-1035147,118,prior
use_and_occupancy,20135709,14640239,134804424,146708265,-11903840,15347362,90,total
liquor,2100963,3498744,18301631,55632443,-37330813,18025212,50,current
liquor,365657,766287,2520901,4612301,-2091400,2699122,48,prior
liquor,2466620,4265032,20822532,60244744,-39422212,20724334,50,total
other_nontax,3013006,1160770,3506760,1833351,1673409,2121916,62,total
total_revenue,543512028,156459002,903080807,1028313847,-125233040,166056785,84,total
