name,apr_fy22,apr_fy21,fy22_ytd,fy21_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,211530686,137108526,822303588,839992133,-17688545,24608412,97,current
real_estate,5426616,5247231,30516165,26066762,4449402,4374835,87,prior
real_estate,216957301,142355756,852819752,866058895,-13239143,28983248,97,total
school_income,19017286,8980054,25597089,27791949,-2194859,22291654,53,current
school_income,143003,359106,1290166,1440768,-150602,165810,89,prior
school_income,19160289,9339160,26887255,29232717,-2345462,22457464,54,total
use_and_occupancy,13862088,15628507,145567903,143565510,2002393,22451000,87,current
use_and_occupancy,857828,1026358,8182351,7893780,288571,1817649,82,prior
use_and_occupancy,14719917,16654865,153750253,151459290,2290964,24268650,86,total
liquor,6883240,3100899,56712212,21402529,35309683,9552013,86,current
liquor,160689,487751,2049956,3008652,-958696,1563665,57,prior
liquor,7043929,3588649,58762168,24411181,34350987,11115678,84,total
other_nontax,4022505,193549,7023891,3700309,3323583,-1748754,133,total
total_revenue,261903941,172131980,1099243320,1074862392,24380929,85076285,93,total
