name,jul_fy23,jul_fy22,fy23_ytd,fy22_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,10456662,6421233,10456662,6421233,4035429,973438338,1,current
real_estate,3593506,2353921,3593506,2353921,1239585,30599494,11,prior
real_estate,14050168,8775154,14050168,8775154,5275014,1004037832,1,total
school_income,263210,564564,263210,564564,-301354,46804897,1,current
school_income,98657,80770,98657,80770,17887,1357319,7,prior
school_income,361867,645334,361867,645334,-283467,48162216,1,total
use_and_occupancy,14159156,14270347,14159156,14270347,-111191,164919846,8,current
use_and_occupancy,345292,769561,345292,769561,-424269,7992153,4,prior
use_and_occupancy,14504448,15039908,14504448,15039908,-535460,172911999,8,total
liquor,7149113,5405596,7149113,5405596,1743517,62428323,10,current
liquor,143173,290731,143173,290731,-147558,2655827,5,prior
liquor,7292286,5696327,7292286,5696327,1595959,65084150,10,total
other_nontax,1213559,1320951,1213559,1320951,-107392,3982863,23,total
total_revenue,37422328,31477674,37422328,31477674,5944654,1294179060,3,total
