name,nov_fy22,nov_fy21,fy22_ytd,fy21_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,3425317.0,5082491,23516574,38765494,-15248920,823188426,3,current
real_estate,1853187.0,1391616,10926163,12158556,-1232393,24768377,31,prior
real_estate,5278504.0,6474107,34442736,50924049,-16481313,847956804,4,total
school_income,939316.0,359842,4586607,17349322,-12762715,43302136,10,current
school_income,44241.0,51306,436904,309668,127236,1019072,30,prior
school_income,983557.0,411149,5023511,17658990,-12635479,44321208,10,total
use_and_occupancy,14016965.0,13005219,69355392,67587239,1768153,98663511,41,current
use_and_occupancy,168576.0,200960,2723864,1554721,1169143,5613581,33,prior
use_and_occupancy,14185541.0,13206180,72079256,69141960,2937296,104277092,41,total
liquor,4190663.0,2474631,26667566,11256402,15411164,31344746,46,current
liquor,379826.0,198588,1510610,1325279,185331,2103011,42,prior
liquor,4570489.0,2673219,28178176,12581681,15596495,33447757,46,total
other_nontax,,31567,1320951,422048,898904,3954186,25,total
total_revenue,25018091.0,22796222,141044630,150728728,-9684098,1033957047,12,total
