name,apr_fy23,apr_fy22,fy23_ytd,fy22_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,143592937,211530686,933858451,822303588,111554863,20304549,98,current
real_estate,4424772,5426616,35503973,30516165,4987809,-2579973,108,prior
real_estate,148017709,216957301,969362424,852819752,116542672,17724576,98,total
school_income,23664051,19017286,31522148,25597089,5925058,26414844,54,current
school_income,360045,143003,1806642,1290166,516476,-249756,116,prior
school_income,24024096,19160289,33328790,26887255,6441534,26165088,56,total
use_and_occupancy,18290070,13862088,144459944,145567903,-1107958,34051666,81,current
use_and_occupancy,613113,857828,5755332,8182351,-2427019,12479,100,prior
use_and_occupancy,18903183,14719917,150215276,153750253,-3534978,34064145,82,total
liquor,7319129,6883240,70576610,56712212,13864398,16854965,81,current
liquor,312672,160689,1199006,2049956,-850950,-7277,101,prior
liquor,7631801,7043929,71775616,58762168,13013448,16847688,81,total
other_nontax,1923620,4022505,4791126,7023891,-2232765,405296,92,total
total_revenue,200500409,261903941,1229473231,1099243320,130229911,95206794,93,total
