name,feb_fy17,feb_fy16,fy17_ytd,fy16_ytd,net_change,budget_requirement,pct_budgeted
us_government,5454418.0,2208615.0,22984568.0,17455162.0,5529406.0,8382432.0,73.28
commonwealth_of_pa,2680869.0,14382506.0,189270637.0,201787413.0,-12516776.0,31511363.0,85.73
other_governmental_units,4500000.0,60994.0,4575000.0,228522.0,4346478.0,13982000.0,24.65
pica_transfer,25496395.0,50064117.0,240698951.0,235022659.0,5676292.0,146581049.0,62.15
parking_receipts_ppa,,1400000.0,25896406.0,24016495.0,1879911.0,13685594.0,65.42
other_authorized_adjustment,,,,,,2000000.0,0.0
total_revenue_other_govts,38131682.0,68116232.0,483425562.0,478510251.0,4915311.0,216142438.0,69.1
