name,dec_fy18,dec_fy17,fy18_ytd,fy17_ytd,net_change,budget_requirement,pct_budgeted
us_government,2462134.0,2420965.0,17265579.0,15327654.0,1937925.0,18310421.0,48.53
commonwealth_of_pa,4429612.0,1709470.0,199109167.0,180230669.0,18878498.0,22281833.0,89.94
other_governmental_units,66891.0,,197064.0,,197064.0,18384936.0,1.06
pica_transfer,13144055.0,39034169.0,164720055.0,183385702.0,-18665647.0,254492945.0,39.29
parking_receipts_ppa,,2257892.0,20206784.0,22435928.0,-2229144.0,18555216.0,52.13
other_authorized_adjustment,,,,,,2000000.0,0.0
total_revenue_other_govts,20102692.0,45422496.0,401498649.0,401379953.0,118696.0,334025351.0,54.59
