name,may_fy20,may_fy19,fy20_ytd,fy19_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,6537968.0,9736190.0,661440207.0,653345932.0,8094276.0,-7510207.0,101.15,current
real_estate,1388310.0,3505332.0,28860203.0,38874403.0,-10014200.0,8704797.0,76.83,prior
real_estate,7926278.0,13241521.0,690300410.0,692220334.0,-1919924.0,1194590.0,99.83,total
wage_city,99069520.0,122259977.0,1500497843.0,1451675021.0,48822822.0,95275157.0,94.03,current
wage_city,741491.0,105003.0,4751696.0,-3068842.0,7820537.0,-2351696.0,197.99,prior
wage_city,99811011.0,122364980.0,1505249539.0,1448606179.0,56643360.0,92923461.0,94.19,total
wage_pica,31494487.0,38122913.0,477022342.0,452656957.0,24365386.0,29950658.0,94.09,current
wage_pica,237493.0,32942.0,1522032.0,-954659.0,2476691.0,-522032.0,152.2,prior
wage_pica,31731980.0,38155855.0,478544374.0,451702297.0,26842077.0,29428626.0,94.21,total
wage,131542991.0,160520835.0,1983793914.0,1900308477.0,83485437.0,122352086.0,94.19,total
earnings_city,1963714.0,2431056.0,9133126.0,13350203.0,-4217077.0,866874.0,91.33,current
earnings_city,151333.0,332995.0,716095.0,4618214.0,-3902120.0,2283905.0,23.87,prior
earnings_city,2115046.0,2764051.0,9849221.0,17968417.0,-8119197.0,3150779.0,75.76,total
earnings_pica,1067094.0,1294050.0,4962999.0,7106311.0,-2143312.0,-962999.0,124.07,current
earnings_pica,82572.0,177253.0,389468.0,2458275.0,-2068807.0,2110532.0,15.58,prior
earnings_pica,1149666.0,1471304.0,5352466.0,9564586.0,-4212120.0,1147534.0,82.35,total
earnings,3264713.0,4235355.0,15201687.0,27533003.0,-12331316.0,-972239.0,100.15,total
net_profits_city,2225902.0,6699263.0,7995572.0,28025388.0,-20029816.0,23892429.0,25.07,current
net_profits_city,236812.0,428685.0,9039294.0,6846722.0,2192573.0,-4339294.0,192.33,prior
net_profits_city,2462715.0,7127948.0,17034866.0,34872109.0,-17837243.0,19553134.0,46.56,total
net_profits_pica,2031753.0,5956046.0,7299663.0,24915066.0,-17615403.0,20271337.0,26.48,current
net_profits_pica,218848.0,382161.0,8254065.0,6089677.0,2164388.0,-3254065.0,165.08,prior
net_profits_pica,2250602.0,6338208.0,15553728.0,31004743.0,-15451015.0,17017272.0,47.75,total
net_profits,4713316.0,13466156.0,32588594.0,65876852.0,-33288258.0,36570406.0,47.12,total
wage_earnings_net_profits,139521020.0,178222346.0,2031584194.0,1993718332.0,37865863.0,163220806.0,92.56,total
wage_earnings_net_profits_pica,35132248.0,45965367.0,499450568.0,492271626.0,7178943.0,47593432.0,91.3,total
wage_earnings_net_profits_city,104388772.0,132256979.0,1532133626.0,1501446706.0,30686920.0,115627374.0,92.98,total
birt,21306465.0,39033506.0,224860390.0,487814388.0,-262953998.0,,,current
birt,5577027.0,7146475.0,35701989.0,48450561.0,-12748572.0,,,prior
birt,26883492.0,46179981.0,260562379.0,536264949.0,-275702570.0,253486621.0,50.69,total
sales,17728868.0,24218943.0,194856363.0,186718191.0,8138171.0,31867637.0,85.94,total
amusement,48405.0,1107473.0,19919064.0,26467540.0,-6548476.0,-1419064.0,107.67,total
tobacco,3145.0,12576.0,1026856.0,953261.0,73595.0,-64856.0,106.74,total
parking,1943079.0,10107907.0,80127416.0,89793454.0,-9666038.0,3227584.0,96.13,total
valet,8778.0,150694.0,1190761.0,1635958.0,-445197.0,153239.0,88.6,total
real_estate_transfer,14964177.0,28380312.0,298281662.0,299565986.0,-1284324.0,46192338.0,86.59,total
outdoor_ads,120248.0,293256.0,3072223.0,3031525.0,40698.0,587777.0,83.94,total
soda,4433475.0,6971185.0,66783700.0,70008263.0,-3224563.0,,,current
soda,158830.0,25162.0,1511921.0,471352.0,1040569.0,,,prior
soda,4592305.0,6996347.0,68295621.0,70479615.0,-2183994.0,-2537621.0,103.86,total
other_taxes,,2300.0,73273.0,74814.0,-1541.0,9727.0,88.28,total
all_taxes,178607547.0,262948290.0,3149839653.0,3408652332.0,-258812680.0,448325347.0,87.54,total
