name,oct_fy17,oct_fy16,fy17_ytd,fy16_ytd,net_change,budget_requirement,pct_budgeted
us_government,1828815.0,1744783.0,10286553.0,10654530.0,-367977.0,21080447.0,32.79
commonwealth_of_pa,50471682.0,7510250.0,175545666.0,128203079.0,47342587.0,45236334.0,79.51
other_governmental_units,,,,79117.0,-79117.0,18557000.0,0.0
pica_transfer,17795859.0,30787311.0,113026673.0,112665796.0,360877.0,274253327.0,29.18
parking_receipts_ppa,3821146.0,4483238.0,18294035.0,16039984.0,2254051.0,21287965.0,46.22
other_authorized_adjustment,,,,,,2000000.0,0.0
total_revenue_other_govts,73917502.0,44525582.0,317152927.0,267642506.0,49510421.0,382415073.0,45.34
