name,aug_fy18,aug_fy17,fy18_ytd,fy17_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,4816336.0,5229605.0,10334954.0,9730541.0,604413.0,591782046.0,1.72,current
real_estate,3710822.0,4271552.0,7353134.0,7526615.0,-173481.0,41980866.0,14.9,prior
real_estate,8527158.0,9501157.0,17688088.0,17257156.0,430932.0,633762912.0,2.72,total
wage_city,112099682.0,130249370.0,246985435.0,238797911.0,8187524.0,1198890565.0,17.08,current
wage_city,643389.0,101054.0,2218549.0,532961.0,1685588.0,2005451.0,52.52,prior
wage_city,112743071.0,130350424.0,249203984.0,239330872.0,9873112.0,1200896016.0,17.19,total
wage_pica,34071183.0,39390429.0,75068429.0,72218025.0,2850404.0,367024571.0,16.98,current
wage_pica,195549.0,30561.0,674539.0,161180.0,513359.0,2325461.0,22.48,prior
wage_pica,34266732.0,39420990.0,75742968.0,72379205.0,3363763.0,369350032.0,17.02,total
wage,147009803.0,169771414.0,324946952.0,311710077.0,13236875.0,1570246048.0,17.15,total
earnings_city,334583.0,283356.0,675362.0,629104.0,46258.0,10824638.0,5.87,current
earnings_city,539981.0,437002.0,895961.0,685354.0,210607.0,2104039.0,29.87,prior
earnings_city,874564.0,720358.0,1571323.0,1314458.0,256865.0,12928677.0,10.84,total
earnings_pica,170304.0,142552.0,343763.0,316492.0,27271.0,1656237.0,17.19,current
earnings_pica,274853.0,219849.0,456048.0,344791.0,111257.0,2543952.0,15.2,prior
earnings_pica,445157.0,362401.0,799811.0,661283.0,138528.0,4200189.0,16.0,total
earnings,1319721.0,1082759.0,2371134.0,1975741.0,395393.0,17128866.0,12.16,total
net_profits_city,119471.0,87368.0,271056.0,193751.0,77305.0,26350944.0,1.02,current
net_profits_city,277935.0,561062.0,673249.0,812397.0,-139148.0,2442751.0,21.61,prior
net_profits_city,397406.0,648430.0,944305.0,1006148.0,-61843.0,28793695.0,3.18,total
net_profits_pica,111123.0,82973.0,252116.0,184005.0,68111.0,22363884.0,1.11,current
net_profits_pica,258515.0,532839.0,626208.0,771531.0,-145323.0,1873792.0,25.05,prior
net_profits_pica,369638.0,615812.0,878324.0,955536.0,-77212.0,24237676.0,3.5,total
net_profits,767044.0,1264242.0,1822629.0,1961684.0,-139055.0,53031371.0,3.32,total
wage_earnings_net_profits,149096568.0,172118415.0,329140715.0,315647502.0,13493213.0,1640406285.0,16.71,total
wage_earnings_net_profits_pica,35081527.0,40399203.0,77421103.0,73996024.0,3425079.0,397787897.0,16.29,total
wage_earnings_net_profits_city,114015041.0,131719212.0,251719612.0,241651478.0,10068134.0,1242618388.0,16.84,total
birt,4778686.0,3871531.0,8594448.0,4250406.0,4344042.0,,,current
birt,2151164.0,2061892.0,5224059.0,3553485.0,1670574.0,,,prior
birt,6929850.0,5933423.0,13818507.0,7803891.0,6014616.0,476067493.0,2.82,total
sales,28979912.0,27254093.0,57577181.0,52329588.0,5247593.0,140505819.0,29.07,total
amusement,1649435.0,4534878.0,3467430.0,6276221.0,-2808791.0,18680570.0,15.66,total
tobacco,3189.0,1061.0,21175.0,2291.0,18884.0,757825.0,2.72,total
parking,7503077.0,7695360.0,15422317.0,15563752.0,-141435.0,86683683.0,15.1,total
valet,113319.0,122496.0,240279.0,260803.0,-20524.0,1359721.0,15.02,total
real_estate_transfer,29023050.0,18970672.0,67366793.0,44601438.0,22765355.0,175554207.0,27.73,total
outdoor_ads,276417.0,336783.0,547377.0,456703.0,90674.0,1977623.0,21.68,total
soda,6504472.0,,13424866.0,,13424866.0,78987134.0,14.53,total
other_taxes,31.0,1625.0,31.0,2229.0,-2198.0,82969.0,0.04,total
all_taxes,203524951.0,206070760.0,441293656.0,386205550.0,55088106.0,2857038344.0,13.38,total
