name,oct_fy21,oct_fy20,fy21_ytd,fy20_ytd,net_change,budget_requirement,pct_budgeted
us_government,7418805.0,394405.0,16645979.0,2096532.0,14549447.0,6336021.0,72.43
commonwealth_of_pa,5822109.0,48411764.0,138820753.0,184750125.0,-45929372.0,84021247.0,62.3
other_governmental_units,,3694902.0,,21038009.0,-21038009.0,51773000.0,0.0
pica_transfer,23151551.0,45840711.0,146487501.0,156229744.0,-9742243.0,324112499.0,31.13
total_revenue_other_govts,36392465.0,98341782.0,301954234.0,364114410.0,-62160177.0,466242766.0,39.31
