name,jul_fy17,jul_fy16,fy17_ytd,fy16_ytd,net_change,budget_requirement,pct_budgeted
us_government,1718120.0,4254018.0,1718120.0,4254018.0,-2535898.0,29648880.0,5.48
commonwealth_of_pa,2232735.0,2867661.0,2232735.0,2867661.0,-634926.0,218549265.0,1.01
other_governmental_units,,64829.0,,64829.0,-64829.0,18557000.0,0.0
pica_transfer,29662702.0,25700494.0,29662702.0,25700494.0,3962208.0,355059298.0,7.71
parking_receipts_ppa,7998558.0,4659760.0,7998558.0,4659760.0,3338798.0,31583442.0,20.21
other_authorized_adjustment,,,,,,2000000.0,0.0
total_revenue_other_govts,41612115.0,37546762.0,41612115.0,37546762.0,4065353.0,655397885.0,5.97
