name,mar_fy17,mar_fy16,fy17_ytd,fy16_ytd,net_change,budget_requirement,pct_budgeted
us_government,2745337.0,1985502.0,25719857.0,19440664.0,6279193.0,12332143.0,67.59
commonwealth_of_pa,5724548.0,4170007.0,194995184.0,205957420.0,-10962236.0,25231816.0,88.54
other_governmental_units,33755.0,9000000.0,4608755.0,9228522.0,-4619767.0,13948245.0,24.84
pica_transfer,50279452.0,32637217.0,290978403.0,267659876.0,23318527.0,103740597.0,73.72
parking_receipts_ppa,1247907.0,800000.0,27144313.0,24816495.0,2327818.0,10956687.0,71.24
other_authorized_adjustment,,,,,,2000000.0,0.0
total_revenue_other_govts,60030999.0,48592726.0,543446512.0,527102977.0,16343535.0,168209488.0,76.36
