name,jun_fy20,jun_fy19,fy20_ytd,fy19_ytd,net_change,budget_requirement,pct_budgeted
us_government,8017549.0,664090.0,20921116.0,22102591.0,-411803.0,97607165.0,18.09
commonwealth_of_pa,11201045.0,3015393.0,219983630.0,214472247.0,309864.0,2426380.0,98.88
other_governmental_units,25173248.0,14577237.0,488092531.0,53820326.0,7399668.0,-8626994.0,116.4
pica_transfer,7927214.0,34234411.0,61219994.0,491343222.0,-3250690.0,12107468.0,97.58
total_revenue_other_govts,52319056.0,52491131.0,790217271.0,781738386.0,-1549812.0,103514019.0,88.36
