category,num_records,total,parent_category
General Commercial (88-2),75.0,3035468.0,Nonresidential
"Office Buildings, Hotels, and Garages (88-3)",18.0,7316082.0,Nonresidential
Industrial (88-4),80.0,1440314.0,Nonresidential
"Other Nonresidential (88-5,88-6,77,78)",99.0,1096670.0,Nonresidential
Nonresidential,272.0,12888534.0,
Condominiums (88-8),480.0,4819875.0,Residential
Apartments (88-1),45.0,2177251.0,Residential
Single/Multi-family Homes (01 thur 76),5995.0,16219032.0,Residential
Residential,6520.0,23216159.0,
Unclassified,131.0,29273.0,
Total,6923.0,36133966.0,
