category,num_records,total,parent_category
General Commercial (88-2),146.0,4739435.0,Nonresidential
"Office Buildings, Hotels, and Garages (88-3)",31.0,7098494.0,Nonresidential
Industrial (88-4),117.0,2453160.0,Nonresidential
"Other Nonresidential (88-5,88-6,77,78)",293.0,2744944.0,Nonresidential
Nonresidential,587.0,17036032.0,
Condominiums (88-8),538.0,6023154.0,Residential
Apartments (88-1),76.0,6305798.0,Residential
Single/Multi-family Homes (01 thur 76),9635.0,32950054.0,Residential
Residential,10249.0,45279006.0,
Unclassified,163.0,1500.0,
Total,10999.0,62316538.0,
