category,num_records,total,parent_category
General Commercial (88-2),19.0,170423.0,Nonresidential
"Office Buildings, Hotels, and Garages (88-3)",2.0,262240.0,Nonresidential
Industrial (88-4),19.0,3007551.0,Nonresidential
"Other Nonresidential (88-5,88-6,77,78)",89.0,1208384.0,Nonresidential
Nonresidential,129.0,4648598.0,
Condominiums (88-8),201.0,2508648.0,Residential
Apartments (88-1),18.0,1149706.0,Residential
Single/Multi-family Homes (01 thur 76),2597.0,16208042.0,Residential
Residential,2816.0,19866396.0,
Unclassified,51.0,-0.0,
Total,2996.0,24514994.0,
