category,num_records,total,parent_category
General Commercial (88-2),170.0,4381500.0,Nonresidential
"Office Buildings, Hotels, and Garages (88-3)",10.0,900574.0,Nonresidential
Industrial (88-4),108.0,2048071.0,Nonresidential
"Other Nonresidential (88-5,88-6,77,78)",269.0,1636210.0,Nonresidential
Nonresidential,557.0,8966355.0,
Condominiums (88-8),476.0,4135648.0,Residential
Apartments (88-1),58.0,4103279.0,Residential
Single/Multi-family Homes (01 thur 76),6965.0,19880652.0,Residential
Residential,7499.0,28119578.0,
Unclassified,182.0,16752.0,
Total,8238.0,37102686.0,
