category,num_records,total,parent_category
General Commercial (88-2),100.0,2182717.0,Nonresidential
"Office Buildings, Hotels, and Garages (88-3)",15.0,6122858.0,Nonresidential
Industrial (88-4),119.0,1233448.0,Nonresidential
"Other Nonresidential (88-5,88-6,77,78)",134.0,2044202.0,Nonresidential
Nonresidential,368.0,11583225.0,
Condominiums (88-8),543.0,5925372.0,Residential
Apartments (88-1),50.0,1893519.0,Residential
Single/Multi-family Homes (01 thur 76),6007.0,19766087.0,Residential
Residential,6600.0,27584977.0,
Unclassified,142.0,80008.0,
Total,7110.0,39248211.0,
