sector,num_records,total,parent_sector
General Commercial,35.0,1474876.0,Non-Residential
"Office Buildings, Hotels and Garages",3.0,612750.0,Non-Residential
Industrial,31.0,482177.0,Non-Residential
Other Non-Residential,34.0,491582.0,Non-Residential
Non-Residential,103.0,3061385.0,
Condos,135.0,1333950.0,Residential
Apartments,9.0,71850.0,Residential
Single/Multi-family Homes,1612.0,5539750.0,Residential
Residential,1756.0,6945549.0,
Unclassified,41.0,5003.0,
Total,1900.0,10011938.0,
