category,num_records,total,parent_category
General Commercial (88-2),131.0,9094512.0,Nonresidential
"Office Buildings, Hotels, and Garages (88-3)",15.0,5122145.0,Nonresidential
Industrial (88-4),76.0,9608553.0,Nonresidential
"Other Nonresidential (88-5,88-6,77,78)",309.0,6576802.0,Nonresidential
Nonresidential,531.0,30402011.0,
Condominiums (88-8),776.0,11460034.0,Residential
Apartments (88-1),78.0,49831197.0,Residential
Single/Multi-family Homes (01 thur 76),8797.0,57739016.0,Residential
Residential,9651.0,119030247.0,
Unclassified,150.0,2574.0,
Total,10332.0,149434832.0,
