category,num_records,total,parent_category
General Commercial (88-2),31.0,2023114.0,Nonresidential
"Office Buildings, Hotels, and Garages (88-3)",3.0,424501.0,Nonresidential
Industrial (88-4),26.0,748379.0,Nonresidential
"Other Nonresidential (88-5,88-6,77,78)",83.0,1899908.0,Nonresidential
Nonresidential,143.0,5095902.0,
Condominiums (88-8),173.0,1742059.0,Residential
Apartments (88-1),21.0,1209461.0,Residential
Single/Multi-family Homes (01 thur 76),2675.0,16530817.0,Residential
Residential,2869.0,19482336.0,
Unclassified,40.0,0.0,
Total,3052.0,24578238.0,
