category,num_records,total,parent_category
General Commercial (88-2),34.0,1200513.0,Nonresidential
"Office Buildings, Hotels, and Garages (88-3)",4.0,43804.0,Nonresidential
Industrial (88-4),16.0,337129.0,Nonresidential
"Other Nonresidential (88-5,88-6,77,78)",110.0,3919550.0,Nonresidential
Nonresidential,164.0,5500996.0,
Condominiums (88-8),169.0,2002558.0,Residential
Apartments (88-1),14.0,501376.0,Residential
Single/Multi-family Homes (01 thur 76),2832.0,14120780.0,Residential
Residential,3015.0,16624715.0,
Unclassified,54.0,0.0,
Total,3233.0,22125711.0,
