sector,num_records,total,parent_sector
General Commercial,34.0,507022.0,Non-Residential
"Office Buildings, Hotels and Garages",7.0,2739609.0,Non-Residential
Industrial,22.0,488838.0,Non-Residential
Other Non-Residential,126.0,1022216.0,Non-Residential
Non-Residential,189.0,4757684.0,
Condos,183.0,2908452.0,Residential
Apartments,27.0,3022277.0,Residential
Single/Multi-family Homes,2811.0,11757324.0,Residential
Residential,3021.0,17688054.0,
Unclassified,60.0,-0.0,
Total,3270.0,22445737.0,
