category,num_records,total,parent_category
General Commercial (88-2),21.0,408057.0,Nonresidential
"Office Buildings, Hotels, and Garages (88-3)",2.0,278553.0,Nonresidential
Industrial (88-4),16.0,1013722.0,Nonresidential
"Other Nonresidential (88-5,88-6,77,78)",91.0,3722637.0,Nonresidential
Nonresidential,130.0,5422969.0,
Condominiums (88-8),180.0,1560557.0,Residential
Apartments (88-1),14.0,2035007.0,Residential
Single/Multi-family Homes (01 thur 76),2524.0,15329520.0,Residential
Residential,2718.0,18925084.0,
Unclassified,56.0,1313.0,
Total,2904.0,24349366.0,
