category,num_records,total,parent_category
General Commercial (88-2),116.0,4247372.0,Nonresidential
"Office Buildings, Hotels, and Garages (88-3)",12.0,5351900.0,Nonresidential
Industrial (88-4),87.0,3430403.0,Nonresidential
"Other Nonresidential (88-5,88-6,77,78)",338.0,15547755.0,Nonresidential
Nonresidential,553.0,28577431.0,
Condominiums (88-8),724.0,8442940.0,Residential
Apartments (88-1),76.0,4556587.0,Residential
Single/Multi-family Homes (01 thur 76),9625.0,49689684.0,Residential
Residential,10425.0,62689211.0,
Unclassified,156.0,4917.0,
Total,11134.0,91271559.0,
