category,parent_category,year,fiscal_year,fiscal_quarter,variable,value,date
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2019,2019,3,total,3549974.0,2019-01-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2019,2019,3,num_records,342.0,2019-01-01
Total,,2019,2019,3,total,58862535.0,2019-01-01
Condominiums (88-8),Residential,2019,2019,3,num_records,516.0,2019-01-01
Total,,2019,2019,3,num_records,9544.0,2019-01-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2019,2019,3,num_records,16.0,2019-01-01
Industrial (88-4),Nonresidential,2019,2019,3,num_records,78.0,2019-01-01
Industrial (88-4),Nonresidential,2019,2019,3,total,4332699.0,2019-01-01
Condominiums (88-8),Residential,2019,2019,3,total,7361747.0,2019-01-01
Residential,,2019,2019,3,num_records,8834.0,2019-01-01
Residential,,2019,2019,3,total,45647005.0,2019-01-01
Single/Multi-family Homes (01 thur 76),Residential,2019,2019,3,total,33230911.0,2019-01-01
Single/Multi-family Homes (01 thur 76),Residential,2019,2019,3,num_records,8254.0,2019-01-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2019,2019,3,total,3391603.0,2019-01-01
General Commercial (88-2),Nonresidential,2019,2019,3,num_records,114.0,2019-01-01
General Commercial (88-2),Nonresidential,2019,2019,3,total,1928798.0,2019-01-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2018,2019,2,total,2448500.0,2018-10-01
Residential,,2018,2019,2,num_records,10052.0,2018-10-01
Single/Multi-family Homes (01 thur 76),Residential,2018,2019,2,num_records,9384.0,2018-10-01
Single/Multi-family Homes (01 thur 76),Residential,2018,2019,2,total,42945764.0,2018-10-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2018,2019,2,num_records,11.0,2018-10-01
Apartments (88-1),Residential,2018,2019,2,total,12382873.0,2018-10-01
Apartments (88-1),Residential,2018,2019,2,num_records,65.0,2018-10-01
General Commercial (88-2),Nonresidential,2018,2019,2,num_records,126.0,2018-10-01
General Commercial (88-2),Nonresidential,2018,2019,2,total,2868969.0,2018-10-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2018,2019,2,total,5034965.0,2018-10-01
Residential,,2018,2019,2,total,62620813.0,2018-10-01
Unclassified,,2018,2019,2,num_records,196.0,2018-10-01
Condominiums (88-8),Residential,2018,2019,2,total,7292176.0,2018-10-01
Total,,2018,2019,2,total,78462189.0,2018-10-01
Nonresidential,,2018,2019,2,num_records,611.0,2018-10-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2018,2019,2,num_records,387.0,2018-10-01
Condominiums (88-8),Residential,2018,2019,2,num_records,603.0,2018-10-01
Nonresidential,,2018,2019,2,total,15825150.0,2018-10-01
Unclassified,,2018,2019,2,total,16226.0,2018-10-01
Industrial (88-4),Nonresidential,2018,2019,2,total,5472717.0,2018-10-01
Industrial (88-4),Nonresidential,2018,2019,2,num_records,87.0,2018-10-01
Total,,2018,2019,2,num_records,10859.0,2018-10-01
Total,,2018,2019,1,total,87217966.0,2018-07-01
Unclassified,,2018,2019,1,num_records,181.0,2018-07-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2018,2019,1,total,3714544.0,2018-07-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2018,2019,1,num_records,405.0,2018-07-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2018,2019,1,num_records,10.0,2018-07-01
Unclassified,,2018,2019,1,total,0.0,2018-07-01
General Commercial (88-2),Nonresidential,2018,2019,1,total,4494017.0,2018-07-01
Apartments (88-1),Residential,2018,2019,1,num_records,73.0,2018-07-01
Apartments (88-1),Residential,2018,2019,1,total,14537726.0,2018-07-01
Industrial (88-4),Nonresidential,2018,2019,1,total,3805343.0,2018-07-01
General Commercial (88-2),Nonresidential,2018,2019,1,num_records,118.0,2018-07-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2018,2019,1,total,5359454.0,2018-07-01
Total,,2018,2019,1,num_records,11353.0,2018-07-01
Industrial (88-4),Nonresidential,2018,2019,1,num_records,81.0,2018-07-01
Nonresidential,,2018,2019,1,num_records,614.0,2018-07-01
Nonresidential,,2018,2019,1,total,17373358.0,2018-07-01
Single/Multi-family Homes (01 thur 76),Residential,2018,2019,1,num_records,9765.0,2018-07-01
Single/Multi-family Homes (01 thur 76),Residential,2018,2019,1,total,46699574.0,2018-07-01
Condominiums (88-8),Residential,2018,2019,1,total,8607308.0,2018-07-01
Residential,,2018,2019,1,total,69844608.0,2018-07-01
Residential,,2018,2019,1,num_records,10558.0,2018-07-01
Condominiums (88-8),Residential,2018,2019,1,num_records,720.0,2018-07-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2018,2018,4,num_records,12.0,2018-04-01
Unclassified,,2018,2018,4,total,0.0,2018-04-01
Total,,2018,2018,4,num_records,11972.0,2018-04-01
General Commercial (88-2),Nonresidential,2018,2018,4,total,3715214.0,2018-04-01
General Commercial (88-2),Nonresidential,2018,2018,4,num_records,123.0,2018-04-01
Single/Multi-family Homes (01 thur 76),Residential,2018,2018,4,num_records,10215.0,2018-04-01
Single/Multi-family Homes (01 thur 76),Residential,2018,2018,4,total,45318448.0,2018-04-01
Residential,,2018,2018,4,total,65391678.0,2018-04-01
Residential,,2018,2018,4,num_records,11128.0,2018-04-01
Industrial (88-4),Nonresidential,2018,2018,4,num_records,113.0,2018-04-01
Industrial (88-4),Nonresidential,2018,2018,4,total,4079580.0,2018-04-01
Condominiums (88-8),Residential,2018,2018,4,total,10524119.0,2018-04-01
Unclassified,,2018,2018,4,num_records,226.0,2018-04-01
Condominiums (88-8),Residential,2018,2018,4,num_records,841.0,2018-04-01
Total,,2018,2018,4,total,84812315.0,2018-04-01
Nonresidential,,2018,2018,4,num_records,618.0,2018-04-01
Apartments (88-1),Residential,2018,2018,4,num_records,72.0,2018-04-01
Apartments (88-1),Residential,2018,2018,4,total,9549111.0,2018-04-01
Nonresidential,,2018,2018,4,total,19420638.0,2018-04-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2018,2018,4,num_records,370.0,2018-04-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2018,2018,4,total,4163839.0,2018-04-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2018,2018,4,total,7462005.0,2018-04-01
Total,,2018,2018,3,num_records,9728.0,2018-01-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2018,2018,3,total,8198687.0,2018-01-01
Residential,,2018,2018,3,num_records,8945.0,2018-01-01
Residential,,2018,2018,3,total,52787342.0,2018-01-01
Total,,2018,2018,3,total,83377747.0,2018-01-01
Unclassified,,2018,2018,3,num_records,167.0,2018-01-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2018,2018,3,num_records,397.0,2018-01-01
Single/Multi-family Homes (01 thur 76),Residential,2018,2018,3,total,32673444.0,2018-01-01
Unclassified,,2018,2018,3,total,27590.0,2018-01-01
Single/Multi-family Homes (01 thur 76),Residential,2018,2018,3,num_records,8372.0,2018-01-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2018,2018,3,total,14367963.0,2018-01-01
Condominiums (88-8),Residential,2018,2018,3,total,7243847.0,2018-01-01
Industrial (88-4),Nonresidential,2018,2018,3,total,3457662.0,2018-01-01
Nonresidential,,2018,2018,3,total,30562815.0,2018-01-01
Nonresidential,,2018,2018,3,num_records,616.0,2018-01-01
Industrial (88-4),Nonresidential,2018,2018,3,num_records,76.0,2018-01-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2018,2018,3,num_records,21.0,2018-01-01
Apartments (88-1),Residential,2018,2018,3,num_records,65.0,2018-01-01
General Commercial (88-2),Nonresidential,2018,2018,3,total,4538503.0,2018-01-01
General Commercial (88-2),Nonresidential,2018,2018,3,num_records,122.0,2018-01-01
Apartments (88-1),Residential,2018,2018,3,total,12870052.0,2018-01-01
Condominiums (88-8),Residential,2018,2018,3,num_records,508.0,2018-01-01
Unclassified,,2017,2018,2,num_records,158.0,2017-10-01
Apartments (88-1),Residential,2017,2018,2,num_records,79.0,2017-10-01
Apartments (88-1),Residential,2017,2018,2,total,2840440.0,2017-10-01
Unclassified,,2017,2018,2,total,0.0,2017-10-01
General Commercial (88-2),Nonresidential,2017,2018,2,num_records,119.0,2017-10-01
Total,,2017,2018,2,total,81687042.0,2017-10-01
Total,,2017,2018,2,num_records,10436.0,2017-10-01
Condominiums (88-8),Residential,2017,2018,2,num_records,699.0,2017-10-01
General Commercial (88-2),Nonresidential,2017,2018,2,total,2617561.0,2017-10-01
Single/Multi-family Homes (01 thur 76),Residential,2017,2018,2,total,38030517.0,2017-10-01
Single/Multi-family Homes (01 thur 76),Residential,2017,2018,2,num_records,8931.0,2017-10-01
Nonresidential,,2017,2018,2,num_records,569.0,2017-10-01
Nonresidential,,2017,2018,2,total,32382166.0,2017-10-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2017,2018,2,num_records,340.0,2017-10-01
Condominiums (88-8),Residential,2017,2018,2,total,8433919.0,2017-10-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2017,2018,2,total,7688144.0,2017-10-01
Residential,,2017,2018,2,total,49304875.0,2017-10-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2017,2018,2,total,19748600.0,2017-10-01
Residential,,2017,2018,2,num_records,9709.0,2017-10-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2017,2018,2,num_records,24.0,2017-10-01
Industrial (88-4),Nonresidential,2017,2018,2,total,2327861.0,2017-10-01
Industrial (88-4),Nonresidential,2017,2018,2,num_records,86.0,2017-10-01
Residential,,2017,2018,1,total,60264827.0,2017-07-01
Nonresidential,,2017,2018,1,total,23237637.0,2017-07-01
General Commercial (88-2),Nonresidential,2017,2018,1,total,1683985.0,2017-07-01
Condominiums (88-8),Residential,2017,2018,1,num_records,726.0,2017-07-01
Single/Multi-family Homes (01 thur 76),Residential,2017,2018,1,total,42983236.0,2017-07-01
Nonresidential,,2017,2018,1,num_records,659.0,2017-07-01
Total,,2017,2018,1,total,83502464.0,2017-07-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2017,2018,1,num_records,28.0,2017-07-01
Total,,2017,2018,1,num_records,11756.0,2017-07-01
Condominiums (88-8),Residential,2017,2018,1,total,8912260.0,2017-07-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2017,2018,1,total,15201456.0,2017-07-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2017,2018,1,num_records,395.0,2017-07-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2017,2018,1,total,3697510.0,2017-07-01
Single/Multi-family Homes (01 thur 76),Residential,2017,2018,1,num_records,10099.0,2017-07-01
General Commercial (88-2),Nonresidential,2017,2018,1,num_records,119.0,2017-07-01
Industrial (88-4),Nonresidential,2017,2018,1,total,2654686.0,2017-07-01
Unclassified,,2017,2018,1,num_records,199.0,2017-07-01
Apartments (88-1),Residential,2017,2018,1,num_records,73.0,2017-07-01
Apartments (88-1),Residential,2017,2018,1,total,8369331.0,2017-07-01
Unclassified,,2017,2018,1,total,0.0,2017-07-01
Industrial (88-4),Nonresidential,2017,2018,1,num_records,117.0,2017-07-01
Residential,,2017,2018,1,num_records,10898.0,2017-07-01
Total,,2017,2017,4,total,66169110.0,2017-04-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2017,2017,4,total,723905.0,2017-04-01
Industrial (88-4),Nonresidential,2017,2017,4,total,1410431.0,2017-04-01
Total,,2017,2017,4,num_records,11615.0,2017-04-01
Residential,,2017,2017,4,num_records,10775.0,2017-04-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2017,2017,4,num_records,384.0,2017-04-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2017,2017,4,total,3880725.0,2017-04-01
Apartments (88-1),Residential,2017,2017,4,total,2719745.0,2017-04-01
Apartments (88-1),Residential,2017,2017,4,num_records,86.0,2017-04-01
Single/Multi-family Homes (01 thur 76),Residential,2017,2017,4,num_records,9957.0,2017-04-01
Nonresidential,,2017,2017,4,total,10643744.0,2017-04-01
Residential,,2017,2017,4,total,55448292.0,2017-04-01
Nonresidential,,2017,2017,4,num_records,629.0,2017-04-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2017,2017,4,num_records,14.0,2017-04-01
Condominiums (88-8),Residential,2017,2017,4,num_records,732.0,2017-04-01
Condominiums (88-8),Residential,2017,2017,4,total,9408227.0,2017-04-01
General Commercial (88-2),Nonresidential,2017,2017,4,num_records,117.0,2017-04-01
Unclassified,,2017,2017,4,total,77075.0,2017-04-01
Unclassified,,2017,2017,4,num_records,211.0,2017-04-01
Industrial (88-4),Nonresidential,2017,2017,4,num_records,114.0,2017-04-01
General Commercial (88-2),Nonresidential,2017,2017,4,total,4628683.0,2017-04-01
Single/Multi-family Homes (01 thur 76),Residential,2017,2017,4,total,43320319.0,2017-04-01
Condominiums (88-8),Residential,2017,2017,3,total,5244820.0,2017-01-01
Nonresidential,,2017,2017,3,num_records,687.0,2017-01-01
General Commercial (88-2),Nonresidential,2017,2017,3,num_records,137.0,2017-01-01
Nonresidential,,2017,2017,3,total,14550128.0,2017-01-01
Condominiums (88-8),Residential,2017,2017,3,num_records,499.0,2017-01-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2017,2017,3,total,2747615.0,2017-01-01
Residential,,2017,2017,3,total,38699846.0,2017-01-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2017,2017,3,total,6622679.0,2017-01-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2017,2017,3,num_records,23.0,2017-01-01
General Commercial (88-2),Nonresidential,2017,2017,3,total,2797418.0,2017-01-01
Industrial (88-4),Nonresidential,2017,2017,3,num_records,109.0,2017-01-01
Industrial (88-4),Nonresidential,2017,2017,3,total,2382417.0,2017-01-01
Apartments (88-1),Residential,2017,2017,3,num_records,53.0,2017-01-01
Apartments (88-1),Residential,2017,2017,3,total,1632265.0,2017-01-01
Unclassified,,2017,2017,3,total,0.0,2017-01-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2017,2017,3,num_records,418.0,2017-01-01
Unclassified,,2017,2017,3,num_records,206.0,2017-01-01
Residential,,2017,2017,3,num_records,9818.0,2017-01-01
Single/Multi-family Homes (01 thur 76),Residential,2017,2017,3,num_records,9266.0,2017-01-01
Single/Multi-family Homes (01 thur 76),Residential,2017,2017,3,total,31822761.0,2017-01-01
Total,,2017,2017,3,num_records,10711.0,2017-01-01
Total,,2017,2017,3,total,53249973.0,2017-01-01
Residential,,2016,2017,2,total,45279006.0,2016-10-01
Residential,,2016,2017,2,num_records,10249.0,2016-10-01
Condominiums (88-8),Residential,2016,2017,2,num_records,538.0,2016-10-01
Total,,2016,2017,2,num_records,10999.0,2016-10-01
Industrial (88-4),Nonresidential,2016,2017,2,total,2453160.0,2016-10-01
Industrial (88-4),Nonresidential,2016,2017,2,num_records,117.0,2016-10-01
Total,,2016,2017,2,total,62316538.0,2016-10-01
General Commercial (88-2),Nonresidential,2016,2017,2,num_records,146.0,2016-10-01
Condominiums (88-8),Residential,2016,2017,2,total,6023154.0,2016-10-01
General Commercial (88-2),Nonresidential,2016,2017,2,total,4739435.0,2016-10-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2016,2017,2,num_records,293.0,2016-10-01
Nonresidential,,2016,2017,2,num_records,587.0,2016-10-01
Unclassified,,2016,2017,2,num_records,163.0,2016-10-01
Unclassified,,2016,2017,2,total,1500.0,2016-10-01
Apartments (88-1),Residential,2016,2017,2,total,6305798.0,2016-10-01
Apartments (88-1),Residential,2016,2017,2,num_records,76.0,2016-10-01
Single/Multi-family Homes (01 thur 76),Residential,2016,2017,2,num_records,9635.0,2016-10-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2016,2017,2,total,2744944.0,2016-10-01
Nonresidential,,2016,2017,2,total,17036032.0,2016-10-01
Single/Multi-family Homes (01 thur 76),Residential,2016,2017,2,total,32950054.0,2016-10-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2016,2017,2,total,7098494.0,2016-10-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2016,2017,2,num_records,31.0,2016-10-01
Unclassified,,2016,2017,1,total,1200.0,2016-07-01
Single/Multi-family Homes (01 thur 76),Residential,2016,2017,1,total,38845097.0,2016-07-01
Single/Multi-family Homes (01 thur 76),Residential,2016,2017,1,num_records,10391.0,2016-07-01
Condominiums (88-8),Residential,2016,2017,1,num_records,714.0,2016-07-01
Residential,,2016,2017,1,num_records,11165.0,2016-07-01
Residential,,2016,2017,1,total,50358642.0,2016-07-01
Unclassified,,2016,2017,1,num_records,172.0,2016-07-01
Apartments (88-1),Residential,2016,2017,1,num_records,60.0,2016-07-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2016,2017,1,num_records,14.0,2016-07-01
General Commercial (88-2),Nonresidential,2016,2017,1,total,1452287.0,2016-07-01
General Commercial (88-2),Nonresidential,2016,2017,1,num_records,123.0,2016-07-01
Apartments (88-1),Residential,2016,2017,1,total,3918373.0,2016-07-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2016,2017,1,total,5086964.0,2016-07-01
Industrial (88-4),Nonresidential,2016,2017,1,num_records,112.0,2016-07-01
Industrial (88-4),Nonresidential,2016,2017,1,total,2602069.0,2016-07-01
Condominiums (88-8),Residential,2016,2017,1,total,7595171.0,2016-07-01
Nonresidential,,2016,2017,1,num_records,553.0,2016-07-01
Nonresidential,,2016,2017,1,total,11221179.0,2016-07-01
Total,,2016,2017,1,total,61581021.0,2016-07-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2016,2017,1,num_records,304.0,2016-07-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2016,2017,1,total,2079859.0,2016-07-01
Total,,2016,2017,1,num_records,11890.0,2016-07-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2016,2016,4,total,2529681.0,2016-04-01
Apartments (88-1),Residential,2016,2016,4,total,1468225.0,2016-04-01
Apartments (88-1),Residential,2016,2016,4,num_records,65.0,2016-04-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2016,2016,4,num_records,13.0,2016-04-01
Nonresidential,,2016,2016,4,total,10214553.0,2016-04-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2016,2016,4,num_records,340.0,2016-04-01
Nonresidential,,2016,2016,4,num_records,619.0,2016-04-01
Industrial (88-4),Nonresidential,2016,2016,4,total,2807320.0,2016-04-01
Industrial (88-4),Nonresidential,2016,2016,4,num_records,114.0,2016-04-01
General Commercial (88-2),Nonresidential,2016,2016,4,num_records,152.0,2016-04-01
General Commercial (88-2),Nonresidential,2016,2016,4,total,2361308.0,2016-04-01
Condominiums (88-8),Residential,2016,2016,4,num_records,717.0,2016-04-01
Condominiums (88-8),Residential,2016,2016,4,total,8488823.0,2016-04-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2016,2016,4,total,2516244.0,2016-04-01
Residential,,2016,2016,4,num_records,11356.0,2016-04-01
Single/Multi-family Homes (01 thur 76),Residential,2016,2016,4,total,35013836.0,2016-04-01
Unclassified,,2016,2016,4,total,41546.0,2016-04-01
Unclassified,,2016,2016,4,num_records,235.0,2016-04-01
Single/Multi-family Homes (01 thur 76),Residential,2016,2016,4,num_records,10574.0,2016-04-01
Total,,2016,2016,4,total,55226983.0,2016-04-01
Residential,,2016,2016,4,total,44970884.0,2016-04-01
Total,,2016,2016,4,num_records,12210.0,2016-04-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2016,2016,3,total,2238971.0,2016-01-01
Industrial (88-4),Nonresidential,2016,2016,3,num_records,106.0,2016-01-01
Unclassified,,2016,2016,3,num_records,193.0,2016-01-01
General Commercial (88-2),Nonresidential,2016,2016,3,num_records,145.0,2016-01-01
Industrial (88-4),Nonresidential,2016,2016,3,total,2367981.0,2016-01-01
Single/Multi-family Homes (01 thur 76),Residential,2016,2016,3,total,27095207.0,2016-01-01
Nonresidential,,2016,2016,3,num_records,556.0,2016-01-01
Condominiums (88-8),Residential,2016,2016,3,num_records,428.0,2016-01-01
Unclassified,,2016,2016,3,total,4566.0,2016-01-01
Condominiums (88-8),Residential,2016,2016,3,total,4372093.0,2016-01-01
Nonresidential,,2016,2016,3,total,21180779.0,2016-01-01
Residential,,2016,2016,3,total,37072422.0,2016-01-01
Residential,,2016,2016,3,num_records,9067.0,2016-01-01
Single/Multi-family Homes (01 thur 76),Residential,2016,2016,3,num_records,8589.0,2016-01-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2016,2016,3,total,12815498.0,2016-01-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2016,2016,3,num_records,17.0,2016-01-01
Apartments (88-1),Residential,2016,2016,3,num_records,50.0,2016-01-01
Apartments (88-1),Residential,2016,2016,3,total,5605122.0,2016-01-01
Total,,2016,2016,3,total,58257768.0,2016-01-01
General Commercial (88-2),Nonresidential,2016,2016,3,total,3758329.0,2016-01-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2016,2016,3,num_records,288.0,2016-01-01
Total,,2016,2016,3,num_records,9816.0,2016-01-01
Single/Multi-family Homes (01 thur 76),Residential,2015,2016,2,num_records,9103.0,2015-10-01
Single/Multi-family Homes (01 thur 76),Residential,2015,2016,2,total,27603776.0,2015-10-01
Apartments (88-1),Residential,2015,2016,2,num_records,113.0,2015-10-01
Apartments (88-1),Residential,2015,2016,2,total,7207514.0,2015-10-01
Industrial (88-4),Nonresidential,2015,2016,2,num_records,127.0,2015-10-01
Nonresidential,,2015,2016,2,num_records,607.0,2015-10-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2015,2016,2,total,5415370.0,2015-10-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2015,2016,2,num_records,26.0,2015-10-01
Unclassified,,2015,2016,2,total,4200.0,2015-10-01
Unclassified,,2015,2016,2,num_records,205.0,2015-10-01
Condominiums (88-8),Residential,2015,2016,2,num_records,476.0,2015-10-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2015,2016,2,num_records,286.0,2015-10-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2015,2016,2,total,2416231.0,2015-10-01
Industrial (88-4),Nonresidential,2015,2016,2,total,2924706.0,2015-10-01
Nonresidential,,2015,2016,2,total,15272404.0,2015-10-01
Condominiums (88-8),Residential,2015,2016,2,total,5469716.0,2015-10-01
Total,,2015,2016,2,total,55557611.0,2015-10-01
Residential,,2015,2016,2,total,40281007.0,2015-10-01
Residential,,2015,2016,2,num_records,9692.0,2015-10-01
General Commercial (88-2),Nonresidential,2015,2016,2,total,4516097.0,2015-10-01
General Commercial (88-2),Nonresidential,2015,2016,2,num_records,168.0,2015-10-01
Total,,2015,2016,2,num_records,10504.0,2015-10-01
Unclassified,,2015,2016,1,num_records,174.0,2015-07-01
Apartments (88-1),Residential,2015,2016,1,total,8502899.0,2015-07-01
Unclassified,,2015,2016,1,total,0.0,2015-07-01
Apartments (88-1),Residential,2015,2016,1,num_records,76.0,2015-07-01
Condominiums (88-8),Residential,2015,2016,1,num_records,688.0,2015-07-01
Condominiums (88-8),Residential,2015,2016,1,total,7344524.0,2015-07-01
General Commercial (88-2),Nonresidential,2015,2016,1,total,4356589.0,2015-07-01
General Commercial (88-2),Nonresidential,2015,2016,1,num_records,157.0,2015-07-01
Total,,2015,2016,1,num_records,10468.0,2015-07-01
Total,,2015,2016,1,total,66761236.0,2015-07-01
Single/Multi-family Homes (01 thur 76),Residential,2015,2016,1,total,33053489.0,2015-07-01
Single/Multi-family Homes (01 thur 76),Residential,2015,2016,1,num_records,8890.0,2015-07-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2015,2016,1,num_records,330.0,2015-07-01
Nonresidential,,2015,2016,1,num_records,640.0,2015-07-01
Industrial (88-4),Nonresidential,2015,2016,1,num_records,133.0,2015-07-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2015,2016,1,num_records,20.0,2015-07-01
Industrial (88-4),Nonresidential,2015,2016,1,total,2413845.0,2015-07-01
Residential,,2015,2016,1,total,48900911.0,2015-07-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2015,2016,1,total,7349888.0,2015-07-01
Nonresidential,,2015,2016,1,total,17860325.0,2015-07-01
Residential,,2015,2016,1,num_records,9654.0,2015-07-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2015,2016,1,total,3740003.0,2015-07-01
Apartments (88-1),Residential,2015,2015,4,total,5396709.0,2015-04-01
Residential,,2015,2015,4,total,42318128.0,2015-04-01
Residential,,2015,2015,4,num_records,9434.0,2015-04-01
Industrial (88-4),Nonresidential,2015,2015,4,total,1640523.0,2015-04-01
Industrial (88-4),Nonresidential,2015,2015,4,num_records,105.0,2015-04-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2015,2015,4,total,1754454.0,2015-04-01
Unclassified,,2015,2015,4,total,0.0,2015-04-01
Unclassified,,2015,2015,4,num_records,185.0,2015-04-01
Total,,2015,2015,4,num_records,10156.0,2015-04-01
Total,,2015,2015,4,total,63872352.0,2015-04-01
General Commercial (88-2),Nonresidential,2015,2015,4,total,2642612.0,2015-04-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2015,2015,4,num_records,283.0,2015-04-01
Apartments (88-1),Residential,2015,2015,4,num_records,43.0,2015-04-01
Condominiums (88-8),Residential,2015,2015,4,num_records,689.0,2015-04-01
Single/Multi-family Homes (01 thur 76),Residential,2015,2015,4,num_records,8702.0,2015-04-01
Single/Multi-family Homes (01 thur 76),Residential,2015,2015,4,total,28814815.0,2015-04-01
Condominiums (88-8),Residential,2015,2015,4,total,8106604.0,2015-04-01
Nonresidential,,2015,2015,4,total,21554224.0,2015-04-01
Nonresidential,,2015,2015,4,num_records,537.0,2015-04-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2015,2015,4,total,15516636.0,2015-04-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2015,2015,4,num_records,35.0,2015-04-01
General Commercial (88-2),Nonresidential,2015,2015,4,num_records,114.0,2015-04-01
Condominiums (88-8),Residential,2015,2015,3,total,4135648.0,2015-01-01
Apartments (88-1),Residential,2015,2015,3,num_records,58.0,2015-01-01
Single/Multi-family Homes (01 thur 76),Residential,2015,2015,3,total,19880652.0,2015-01-01
"Other Nonresidential (88-5,88-6,77,78)",Nonresidential,2015,2015,3,num_records,269.0,2015-01-01
General Commercial (88-2),Nonresidential,2015,2015,3,num_records,170.0,2015-01-01
Nonresidential,,2015,2015,3,total,8966355.0,2015-01-01
Unclassified,,2015,2015,3,total,16752.0,2015-01-01
Unclassified,,2015,2015,3,num_records,182.0,2015-01-01
Total,,2015,2015,3,num_records,8238.0,2015-01-01
General Commercial (88-2),Nonresidential,2015,2015,3,total,4381500.0,2015-01-01
Total,,2015,2015,3,total,37102686.0,2015-01-01
Condominiums (88-8),Residential,2015,2015,3,num_records,476.0,2015-01-01
Apartments (88-1),Residential,2015,2015,3,total,4103279.0,2015-01-01
Residential,,2015,2015,3,num_records,7499.0,2015-01-01
Nonresidential,,2015,2015,3,num_records,557.0,2015-01-01
Single/Multi-family Homes (01 thur 76),Residential,2015,2015,3,num_records,6965.0,2015-01-01
Residential,,2015,2015,3,total,28119578.0,2015-01-01
Industrial (88-4),Nonresidential,2015,2015,3,num_records,108.0,2015-01-01
"Office Buildings, Hotels, and Garages (88-3)",Nonresidential,2015,2015,3,total,900574.0,2015-01-01
