name,fiscal_year,total,month_name,month,fiscal_month,year,date,kind
outdoor_ads,2022,216846.0,may,5,11,2022,2022-05-01,Tax
real_estate_transfer,2022,54448509.0,may,5,11,2022,2022-05-01,Tax
valet,2022,157314.0,may,5,11,2022,2022-05-01,Tax
parking,2022,8131664.0,may,5,11,2022,2022-05-01,Tax
tobacco,2022,187683.0,may,5,11,2022,2022-05-01,Tax
amusement,2022,2407108.0,may,5,11,2022,2022-05-01,Tax
sales,2022,34074566.0,may,5,11,2022,2022-05-01,Tax
wage_earnings_net_profits_city,2022,159843080.0,may,5,11,2022,2022-05-01,Tax
real_estate,2022,9938350.0,may,5,11,2022,2022-05-01,Tax
wage_earnings_net_profits,2022,218317464.0,may,5,11,2022,2022-05-01,Tax
net_profits,2022,11093373.0,may,5,11,2022,2022-05-01,Tax
net_profits_pica,2022,5332593.0,may,5,11,2022,2022-05-01,Tax
net_profits_city,2022,5760780.0,may,5,11,2022,2022-05-01,Tax
earnings,2022,6666161.0,may,5,11,2022,2022-05-01,Tax
earnings_pica,2022,817177.0,may,5,11,2022,2022-05-01,Tax
earnings_city,2022,5848984.0,may,5,11,2022,2022-05-01,Tax
wage,2022,200557930.0,may,5,11,2022,2022-05-01,Tax
wage_pica,2022,52324614.0,may,5,11,2022,2022-05-01,Tax
all_taxes,2022,343686095.0,may,5,11,2022,2022-05-01,Tax
wage_city,2022,148233316.0,may,5,11,2022,2022-05-01,Tax
other_taxes,2022,1035181.0,apr,4,10,2022,2022-04-01,Tax
net_profits,2022,36774551.0,apr,4,10,2022,2022-04-01,Tax
soda,2022,5833147.0,apr,4,10,2022,2022-04-01,Tax
real_estate,2022,178352177.0,apr,4,10,2022,2022-04-01,Tax
wage_city,2022,128982426.0,apr,4,10,2022,2022-04-01,Tax
wage_pica,2022,53609485.0,apr,4,10,2022,2022-04-01,Tax
wage,2022,182591911.0,apr,4,10,2022,2022-04-01,Tax
earnings_city,2022,1141444.0,apr,4,10,2022,2022-04-01,Tax
earnings_pica,2022,3067903.0,apr,4,10,2022,2022-04-01,Tax
earnings,2022,4209347.0,apr,4,10,2022,2022-04-01,Tax
net_profits_city,2022,19206010.0,apr,4,10,2022,2022-04-01,Tax
net_profits_pica,2022,17568541.0,apr,4,10,2022,2022-04-01,Tax
wage_earnings_net_profits_pica,2022,74245929.0,apr,4,10,2022,2022-04-01,Tax
wage_earnings_net_profits,2022,223575809.0,apr,4,10,2022,2022-04-01,Tax
tobacco,2022,24415.0,apr,4,10,2022,2022-04-01,Tax
all_taxes,2022,819978640.0,apr,4,10,2022,2022-04-01,Tax
real_estate_transfer,2022,71384398.0,apr,4,10,2022,2022-04-01,Tax
valet,2022,149233.0,apr,4,10,2022,2022-04-01,Tax
parking,2022,7436792.0,apr,4,10,2022,2022-04-01,Tax
outdoor_ads,2022,289377.0,apr,4,10,2022,2022-04-01,Tax
amusement,2022,1958363.0,apr,4,10,2022,2022-04-01,Tax
sales,2022,26860445.0,apr,4,10,2022,2022-04-01,Tax
birt,2022,377182744.0,apr,4,10,2022,2022-04-01,Tax
wage_earnings_net_profits_city,2022,149329880.0,apr,4,10,2022,2022-04-01,Tax
wage_earnings_net_profits_pica,2022,48522372.0,mar,3,9,2022,2022-03-01,Tax
wage_pica,2022,46303013.0,mar,3,9,2022,2022-03-01,Tax
wage,2022,207421174.0,mar,3,9,2022,2022-03-01,Tax
earnings_city,2022,646112.0,mar,3,9,2022,2022-03-01,Tax
earnings_pica,2022,371998.0,mar,3,9,2022,2022-03-01,Tax
earnings,2022,1018110.0,mar,3,9,2022,2022-03-01,Tax
net_profits_city,2022,1970823.0,mar,3,9,2022,2022-03-01,Tax
net_profits_pica,2022,1847360.0,mar,3,9,2022,2022-03-01,Tax
net_profits,2022,3818183.0,mar,3,9,2022,2022-03-01,Tax
wage_earnings_net_profits,2022,212257467.0,mar,3,9,2022,2022-03-01,Tax
parking,2022,6645979.0,mar,3,9,2022,2022-03-01,Tax
wage_earnings_net_profits_city,2022,163735095.0,mar,3,9,2022,2022-03-01,Tax
birt,2022,47353605.0,mar,3,9,2022,2022-03-01,Tax
sales,2022,15276233.0,mar,3,9,2022,2022-03-01,Tax
amusement,2022,1684627.0,mar,3,9,2022,2022-03-01,Tax
tobacco,2022,6444.0,mar,3,9,2022,2022-03-01,Tax
valet,2022,105197.0,mar,3,9,2022,2022-03-01,Tax
real_estate_transfer,2022,72872690.0,mar,3,9,2022,2022-03-01,Tax
outdoor_ads,2022,228524.0,mar,3,9,2022,2022-03-01,Tax
soda,2022,5240903.0,mar,3,9,2022,2022-03-01,Tax
other_taxes,2022,-83550.0,mar,3,9,2022,2022-03-01,Tax
all_taxes,2022,658726705.0,mar,3,9,2022,2022-03-01,Tax
wage_city,2022,161118161.0,mar,3,9,2022,2022-03-01,Tax
real_estate,2022,345638641.0,mar,3,9,2022,2022-03-01,Tax
all_taxes,2022,297715960.0,feb,2,8,2022,2022-02-01,Tax
wage_earnings_net_profits_pica,2022,40524013.0,feb,2,8,2022,2022-02-01,Tax
outdoor_ads,2022,293125.0,feb,2,8,2022,2022-02-01,Tax
real_estate_transfer,2022,63977935.0,feb,2,8,2022,2022-02-01,Tax
valet,2022,168068.0,feb,2,8,2022,2022-02-01,Tax
parking,2022,5408338.0,feb,2,8,2022,2022-02-01,Tax
tobacco,2022,374888.0,feb,2,8,2022,2022-02-01,Tax
amusement,2022,1172613.0,feb,2,8,2022,2022-02-01,Tax
sales,2022,18445855.0,feb,2,8,2022,2022-02-01,Tax
birt,2022,13268212.0,feb,2,8,2022,2022-02-01,Tax
wage_earnings_net_profits_city,2022,122881070.0,feb,2,8,2022,2022-02-01,Tax
wage_earnings_net_profits,2022,163405083.0,feb,2,8,2022,2022-02-01,Tax
other_taxes,2022,-4215608.0,feb,2,8,2022,2022-02-01,Tax
net_profits,2022,711418.0,feb,2,8,2022,2022-02-01,Tax
net_profits_pica,2022,385044.0,feb,2,8,2022,2022-02-01,Tax
net_profits_city,2022,326374.0,feb,2,8,2022,2022-02-01,Tax
earnings,2022,1232273.0,feb,2,8,2022,2022-02-01,Tax
earnings_pica,2022,437397.0,feb,2,8,2022,2022-02-01,Tax
earnings_city,2022,794876.0,feb,2,8,2022,2022-02-01,Tax
wage,2022,161461392.0,feb,2,8,2022,2022-02-01,Tax
wage_pica,2022,39701571.0,feb,2,8,2022,2022-02-01,Tax
wage_city,2022,121759821.0,feb,2,8,2022,2022-02-01,Tax
soda,2022,6039946.0,feb,2,8,2022,2022-02-01,Tax
real_estate,2022,69892766.0,feb,2,8,2022,2022-02-01,Tax
