name,aug_fy17,aug_fy16,fy17_ytd,fy16_ytd,net_change,budget_requirement,pct_budgeted
us_government,3283694.0,2865671.0,5001814.0,7119689.0,-2117875.0,26365186.0,15.95
commonwealth_of_pa,50274664.0,52446644.0,52507398.0,55314305.0,-2806907.0,168274602.0,23.78
other_governmental_units,,,,64829.0,-64829.0,18557000.0,0.0
pica_transfer,33768283.0,28767935.0,63430986.0,54468429.0,8962557.0,323849014.0,16.38
parking_receipts_ppa,3765795.0,4489516.0,11764353.0,9149276.0,2615077.0,27817647.0,29.72
other_authorized_adjustment,,,,,,2000000.0,0.0
total_revenue_other_govts,91092436.0,88569766.0,132704551.0,126116528.0,6588023.0,566863449.0,18.97
