name,mar_fy18,mar_fy17,fy18_ytd,fy17_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,111507402.0,156324766.0,564812738.0,509701986.0,55110752.0,43112262.0,92.91,current
real_estate,3217867.0,4532526.0,30804319.0,33291215.0,-2486896.0,7527681.0,80.36,prior
real_estate,114725269.0,160857292.0,595617057.0,542993201.0,52623856.0,50639943.0,92.16,total
wage_city,128574646.0,127347285.0,1124500214.0,1068042710.0,56457504.0,393289786.0,74.09,current
wage_city,227818.0,905864.0,3770160.0,3643539.0,126621.0,-1020160.0,137.1,prior
wage_city,128802464.0,128253149.0,1128270374.0,1071686249.0,56584125.0,392269626.0,74.2,total
wage_pica,39290146.0,38705485.0,343627194.0,324617143.0,19010051.0,117377806.0,74.54,current
wage_pica,69617.0,275543.0,1152190.0,1122772.0,29418.0,1347810.0,46.09,prior
wage_pica,39359763.0,38981028.0,344779384.0,325739915.0,19039469.0,118725616.0,74.39,total
wage,168162227.0,167234177.0,1473049758.0,1397426164.0,75623594.0,510995242.0,74.24,total
earnings_city,900669.0,1072400.0,3726763.0,3406763.0,320000.0,6073237.0,38.03,current
earnings_city,428191.0,851414.0,3830347.0,5188926.0,-1358579.0,1669653.0,69.64,prior
earnings_city,1328860.0,1923814.0,7557110.0,8595689.0,-1038579.0,7742890.0,49.39,total
earnings_pica,475483.0,545857.0,1967440.0,1734058.0,233382.0,2032560.0,49.19,current
earnings_pica,226051.0,433479.0,2022124.0,2641782.0,-619658.0,677876.0,74.89,prior
earnings_pica,701534.0,979336.0,3989564.0,4375840.0,-386276.0,2710436.0,59.55,total
earnings,2030394.0,2903150.0,11546674.0,12971529.0,-1424855.0,10453326.0,52.48,total
net_profits_city,2430274.0,2811630.0,6206396.0,4057763.0,2148633.0,21300604.0,22.56,current
net_profits_city,290083.0,115632.0,2970015.0,2576424.0,393591.0,-470015.0,118.8,prior
net_profits_city,2720357.0,2927262.0,9176411.0,6634187.0,2542224.0,20830589.0,30.58,total
net_profits_pica,2286819.0,2615337.0,5842972.0,3775112.0,2067860.0,17782028.0,24.73,current
net_profits_pica,273185.0,107784.0,2797004.0,2397112.0,399892.0,702996.0,79.91,prior
net_profits_pica,2560004.0,2723121.0,8639976.0,6172224.0,2467752.0,18485024.0,31.85,total
net_profits,5280361.0,5650383.0,17816387.0,12806411.0,5009976.0,39315613.0,31.18,total
wage_earnings_net_profits,175472982.0,175787710.0,1502412819.0,1423204104.0,79208715.0,560764181.0,72.82,total
wage_earnings_net_profits_pica,42621301.0,42683485.0,357408924.0,336287979.0,21120945.0,139921076.0,71.87,total
wage_earnings_net_profits_city,132851681.0,133104225.0,1145003895.0,1086916125.0,58087770.0,420843105.0,73.12,total
birt,35947553.0,50870656.0,98492288.0,102697984.0,-4205696.0,,,current
birt,4356943.0,4910022.0,21294771.0,20232524.0,1062247.0,,,prior
birt,40304496.0,55780678.0,119787059.0,122930508.0,-3143449.0,293737941.0,28.97,total
sales,12997255.0,11359504.0,149378003.0,139325710.0,10052293.0,55073997.0,73.06,total
amusement,1083610.0,1460045.0,16954759.0,15414042.0,1540717.0,4332241.0,79.65,total
tobacco,3503.0,11491.0,978003.0,843892.0,134111.0,-199003.0,125.55,total
parking,7812644.0,7822761.0,69758687.0,70009584.0,-250897.0,25758313.0,73.03,total
valet,125923.0,124984.0,2162174.0,1044925.0,1117249.0,337826.0,86.49,total
real_estate_transfer,19049560.0,20963811.0,247124659.0,176579355.0,70545304.0,40011341.0,86.07,total
outdoor_ads,202733.0,245390.0,2160468.0,2070287.0,90181.0,729532.0,74.76,total
soda,5351158.0,,57447001.0,12112109.0,45334892.0,,,current
soda,99944.0,,144694.0,72241.0,72453.0,,,prior
soda,5451102.0,6180869.0,57591695.0,,57591695.0,21234305.0,73.06,total
other_taxes,5.0,,92333.0,,92333.0,667.0,99.28,total
all_taxes,334607781.0,397911050.0,2406608792.0,2170311979.0,236296813.0,912500208.0,72.51,total
