name,jan_fy17,jan_fy16,fy17_ytd,fy16_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,45629551.0,43260668.0,76589865.0,70393682.0,6196183.0,461308135.0,14.24,current
real_estate,3263718.0,5248702.0,24385341.0,30463820.0,-6078479.0,32637659.0,42.76,prior
real_estate,48893269.0,48509370.0,100975206.0,100857502.0,117704.0,493945794.0,16.97,total
wage_city,154966966.0,130797741.0,833806433.0,781170923.0,52635510.0,574792567.0,59.19,current
wage_city,523979.0,622887.0,2713456.0,4731214.0,-2017758.0,3319544.0,44.98,prior
wage_city,155490945.0,131420628.0,836519889.0,785902137.0,50617752.0,578112111.0,59.13,total
wage_pica,47100115.0,39556269.0,253424194.0,236244197.0,17179997.0,171144806.0,59.69,current
wage_pica,159256.0,188375.0,824718.0,1430828.0,-606110.0,2175282.0,27.49,prior
wage_pica,47259371.0,39744644.0,254248912.0,237675025.0,16573887.0,173320088.0,59.46,total
wage,202750316.0,171165272.0,1090768801.0,1023577162.0,67191639.0,751432199.0,59.21,total
earnings_city,429490.0,342547.0,1900654.0,1847910.0,52744.0,9099346.0,17.28,current
earnings_city,545666.0,200310.0,3925024.0,1601179.0,2323845.0,-2925024.0,392.5,prior
earnings_city,975156.0,542857.0,5825678.0,3449089.0,2376589.0,6174322.0,48.55,total
earnings_pica,218613.0,172330.0,967442.0,929655.0,37787.0,532558.0,64.5,current
earnings_pica,277747.0,100773.0,1997856.0,805529.0,1192327.0,1502144.0,57.08,prior
earnings_pica,496360.0,273103.0,2965298.0,1735184.0,1230114.0,2034702.0,59.31,total
earnings,1471516.0,815960.0,8790976.0,5184273.0,3606703.0,8209024.0,51.71,total
net_profits_city,472706.0,17202.0,1125033.0,1430796.0,-305763.0,20292967.0,5.25,current
net_profits_city,290611.0,8113.0,2482918.0,1569523.0,913395.0,600082.0,80.54,prior
net_profits_city,763317.0,25315.0,3607951.0,3000319.0,607632.0,20893049.0,14.73,total
net_profits_pica,439677.0,16337.0,1046425.0,1358824.0,-312399.0,17977575.0,5.5,current
net_profits_pica,270306.0,7705.0,2309435.0,1490573.0,818862.0,-1309435.0,230.94,prior
net_profits_pica,709983.0,24042.0,3355860.0,2849397.0,506463.0,16668140.0,16.76,total
net_profits,1473300.0,49357.0,6963811.0,5849716.0,1114095.0,37561189.0,15.64,total
wage_earnings_net_profits,205695132.0,172030589.0,1106523588.0,1034611151.0,71912437.0,797202412.0,58.12,total
wage_earnings_net_profits_pica,48465714.0,40041789.0,260570070.0,272581590.0,-12011520.0,192022930.0,57.57,total
wage_earnings_net_profits_city,157229418.0,131988800.0,845953518.0,762029561.0,83923957.0,605179482.0,58.3,total
birt,9986138.0,2676525.0,54333091.0,52706116.0,1626975.0,,,current
birt,2697247.0,2946527.0,12602155.0,17175026.0,-4572871.0,,,prior
birt,12683385.0,5623052.0,66935246.0,69881142.0,-2945896.0,379106754.0,15.01,total
sales,11303441.0,12433173.0,112793543.0,100244416.0,12549127.0,69375457.0,61.92,total
amusement,1226691.0,1004229.0,12710977.0,11093194.0,1617783.0,7832023.0,61.87,total
tobacco,477819.0,249288.0,483129.0,296301.0,186828.0,273871.0,63.82,total
parking,7875780.0,7417009.0,55312520.0,52004772.0,3307748.0,38215480.0,59.14,total
valet,107775.0,103292.0,845585.0,838682.0,6903.0,754415.0,52.85,total
real_estate_transfer,19452552.0,18869429.0,141375563.0,140283185.0,1092378.0,108232437.0,56.64,total
outdoor_ads,102547.0,68240.0,1512046.0,1635372.0,-123326.0,1543954.0,49.48,total
soda,,,,,,46183000.0,0.0,total
other_taxes,1811.0,8700.0,72241.0,36871.0,35370.0,-22241.0,144.48,total
all_taxes,259354488.0,226274582.0,1338969574.0,1239200998.0,99768576.0,1750620426.0,43.34,total
