name,dec_fy17,dec_fy16,fy17_ytd,fy16_ytd,net_change,budget_requirement,pct_budgeted,kind
real_estate,11390469.0,7690553.0,30960315.0,27133014.0,3827301.0,506937685.0,5.76,current
real_estate,3040154.0,3504740.0,21121623.0,25215118.0,-4093495.0,35901377.0,37.04,prior
real_estate,14430623.0,11195293.0,52081938.0,52348132.0,-266194.0,542839062.0,8.75,total
wage_city,95623591.0,92391208.0,678839467.0,650373182.0,28466285.0,729759533.0,48.19,current
wage_city,-92655.0,3724644.0,2189478.0,4108327.0,-1918849.0,3843522.0,36.29,prior
wage_city,95530936.0,96115852.0,681028945.0,654481509.0,26547436.0,733603055.0,48.14,total
wage_pica,29946078.0,32574214.0,206324079.0,196687928.0,9636151.0,218244921.0,48.6,current
wage_pica,-24708.0,1133473.0,665462.0,1242453.0,-576991.0,2334538.0,22.18,prior
wage_pica,29921370.0,33707687.0,206989541.0,197930381.0,9059160.0,220579459.0,48.41,total
wage,125452306.0,129823539.0,888018486.0,852411890.0,35606596.0,954182514.0,48.2,total
earnings_city,98042.0,305373.0,1471163.0,1505363.0,-34200.0,9528837.0,13.37,current
earnings_city,1018243.0,-86721.0,3379358.0,1400869.0,1978489.0,-2379358.0,337.94,prior
earnings_city,1116285.0,218652.0,4850521.0,2906232.0,1944289.0,7149479.0,40.42,total
earnings_pica,58034.0,-249965.0,748829.0,757325.0,-8496.0,751171.0,49.92,current
earnings_pica,532243.0,449900.0,1720109.0,704756.0,1015353.0,1779891.0,49.15,prior
earnings_pica,590277.0,199935.0,2468938.0,1462081.0,1006857.0,2531062.0,49.38,total
earnings,1706562.0,418587.0,7319459.0,4368313.0,2951146.0,9680541.0,43.06,total
net_profits_city,138153.0,1291524.0,652327.0,1413594.0,-761267.0,20765673.0,3.05,current
net_profits_city,-115871.0,405173.0,2192307.0,1561410.0,630897.0,890693.0,71.11,prior
net_profits_city,22282.0,1696697.0,2844634.0,2975004.0,-130370.0,21656366.0,11.61,total
net_profits_pica,118438.0,-1748414.0,606748.0,1342487.0,-735739.0,18417252.0,3.19,current
net_profits_pica,-153043.0,1691105.0,2039130.0,1482868.0,556262.0,-1039130.0,203.91,prior
net_profits_pica,-34605.0,-57309.0,2645878.0,2825355.0,-179477.0,17378122.0,13.21,total
net_profits,-12323.0,1639388.0,5490512.0,5800359.0,-309847.0,39034488.0,12.33,total
wage_earnings_net_profits,127146545.0,131881514.0,900828457.0,862580562.0,38247895.0,1002897543.0,47.32,total
wage_earnings_net_profits_pica,30477042.0,33850313.0,212104357.0,202217817.0,9886540.0,240488643.0,46.86,total
wage_earnings_net_profits_city,96669503.0,98031201.0,688724100.0,660362745.0,28361355.0,762408900.0,47.46,total
birt,12930800.0,6970831.0,44346953.0,50029591.0,-5682638.0,,,current
birt,1596002.0,2016296.0,9904908.0,14228498.0,-4323590.0,,,prior
birt,14526802.0,8987127.0,54251861.0,64258089.0,-10006228.0,391790139.0,12.16,total
sales,11894519.0,10030278.0,101490102.0,87811243.0,13678859.0,80678898.0,55.71,total
amusement,1303449.0,1085860.0,11484286.0,10088965.0,1395321.0,9058714.0,55.9,total
tobacco,1340.0,12365.0,5311.0,47013.0,-41702.0,751689.0,0.7,total
parking,7867654.0,7206277.0,47436740.0,44587762.0,2848978.0,46091260.0,50.72,total
valet,108457.0,121027.0,737809.0,735391.0,2418.0,862191.0,46.11,total
real_estate_transfer,20022197.0,14407944.0,121923010.0,121413756.0,509254.0,127684990.0,48.85,total
outdoor_ads,227258.0,262299.0,1409499.0,1567132.0,-157633.0,1646501.0,46.12,total
other_taxes,7300.0,16600.0,70429.0,28169.0,42260.0,-20429.0,140.86,total
all_taxes,167059102.0,151356271.0,1079615085.0,1043248397.0,36366688.0,2009974915.0,34.94,total
