name,dec_fy21,dec_fy20,fy21_ytd,fy20_ytd,net_change,budget_requirement,pct_budgeted
us_government,634507.0,498859.0,25319570.0,4821347.0,20498223.0,-2337570.0,110.17
commonwealth_of_pa,9329483.0,1861379.0,159075998.0,196898130.0,-37822133.0,63766002.0,71.39
other_governmental_units,2642385.0,4945591.0,2642385.0,28829761.0,-26187376.0,49130615.0,5.1
pica_transfer,30452446.0,57515448.0,239026618.0,234851617.0,4175001.0,231573382.0,50.79
total_revenue_other_govts,43058821.0,64821277.0,426064571.0,465400855.0,-39336284.0,342132429.0,55.46
